food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
29967,2259,"No.2 Ham, Turkey",328,5,2,0,38,"1,327",46,3,4,22,0,0,0,0,0,0,0
29968,2259,No.5 Smoked Ham Turkey,320,5,1,0,34,"1,343",46,3,6,21,0,0,0,0,0,0,0
29969,2259,No.6 Vegetarian,238,2,1,0,0,865,44,4,3,7,0,0,0,0,0,0,0
29970,2259,No.7 Roast Beef,315,4,1,0,7,884,43,3,3,23,0,0,0,0,0,0,0
29971,2259,No.8 Turkey,315,4,1,0,29,"1,233",47,3,3,21,0,0,0,0,0,0,0
29972,2259,No. 9 Peppered Pastram,293,4,2,0,8,708,44,3,4,16,0,0,0,0,0,0,0
29973,2259,No. 10 Roasted Chicken Breast,304,3,1,0,38,"1,130",44,3,5,24,0,0,0,0,0,0,0
29974,2259,No.14 Smoked Ham,301,4,2,0,30,"1,184",44,3,3,18,0,0,0,0,0,0,0
29975,2259,No.18 Roast Beef Turkey,315,4,1,0,18,"1,059",45,3,4,22,0,0,0,0,0,0,0
29976,2260,"No. 1 Ham, Salami, Capicolla, Pepperoni, Provolone",532,26,10,0,69,"1,676",45,3,3,28,0,0,0,0,0,0,0
29977,2260,"No. 2 Ham, Turkey, Provolone",434,15,5,0,48,"1,467",46,3,4,26,0,0,0,0,0,0,0
29978,2260,"No. 3 Salami, Turkey, Provolone",465,20,7,0,42,"1,371",46,3,3,23,0,0,0,0,0,0,0
29979,2260,"No. 4 Ham, Salami, Provolone",469,21,8,0,51,"1,465",45,3,3,24,0,0,0,0,0,0,0
29980,2260,"No. 5 Smoked Ham, Turkey, Smokey Cheddar",431,15,5,0,50,"1,599",47,3,6,25,0,0,0,0,0,0,0
29981,2260,No. 6 Vegetarian,599,33,14,0,50,"1,555",49,4,5,24,0,0,0,0,0,0,0
29982,2260,No. 7 Roast Beef Provolone,421,14,4,0,17,"1,024",43,3,3,27,0,0,0,0,0,0,0
29983,2260,No. 8 Turkey Provolone,421,14,4,0,38,"1,373",47,3,3,25,0,0,0,0,0,0,0
29984,2260,No. 9 Peppered Pastrami Swiss,439,17,7,0,32,766,44,3,4,21,0,0,0,0,0,0,0
29985,2260,No. 10 Roasted Chicken Breast Provolone,410,13,4,0,47,"1,270",45,3,5,28,0,0,0,0,0,0,0
29986,2260,No. 11 Ham American,382,20,8,0,80,"1,814",45,3,5,29,0,0,0,0,0,0,0
29987,2260,No. 12 Salami Provolone,479,25,9,0,39,"1,228",45,3,3,22,0,0,0,0,0,0,0
29988,2260,No. 13 Peppered Pastrami Turkey Swiss,511,26,13,0,50,834,44,3,3,23,0,0,0,0,0,0,0
29989,2260,No. 14 Smoked Ham Swiss,447,17,7,0,54,"1,242",45,3,3,23,0,0,0,0,0,0,0
29990,2260,No. 15 Salami Pepperoni Provolone,511,27,11,0,48,"1,265",45,3,3,26,0,0,0,0,0,0,0
29991,2260,No. 16 Bacon Lettuce & Tomato,519,30,7,0,50,"1,205",43,3,3,20,0,0,0,0,0,0,0
29992,2260,No. 17 Tuna,422,18,4,0,17,760,45,3,5,19,0,0,0,0,0,0,0
29993,2260,No. 18 Roast Beef Turkey Provolone,421,14,4,0,27,"1,199",45,3,3,26,0,0,0,0,0,0,0
29994,2261,Macaroni Salad,440,30,5,0,20,"1,027",36,3,11,7,0,0,0,0,0,0,0
29995,2261,Potato Salad,360,26,4,0,20,980,54,6,14,4,0,0,0,0,0,0,0
29996,2261,Caesar Salad,333,30,7,0,20,853,7,2,4,3,0,0,0,0,0,0,0
29997,2261,Grilled Chicken Caesar Salad,541,34,8,0,108,"1,830",15,5,6,37,0,0,0,0,0,0,0
29998,2261,Grilled Chicken Salad,300,10,1,0,89,"1,023",16,3,6,36,0,0,0,0,0,0,0
29999,2261,Garden Salad,93,5,1,0,1,45,10,2,5,2,0,0,0,0,0,0,0
30000,2261,Tuna Salad,311,23,3,0,38,495,12,2,6,16,0,0,0,0,0,0,0
30001,2261,Chef Salad,388,25,12,0,66,"1,409",13,2,5,26,0,0,0,0,0,0,0
30002,2262,Hot Pastrami,758,17,7,0,158,"1,853",62,3,4,42,0,0,0,0,0,0,0
30003,2262,Meatball,653,25,10,0,58,"1,648",76,4,6,29,0,0,0,0,0,0,0
30004,2262,Grilled Chicken,563,11,3,0,80,"1,194",68,3,5,43,0,0,0,0,0,0,0
30005,2263,Turkey & Bacon Ranch,589,38,8,0,59,"1,771",34,17,1,43,0,0,0,0,0,0,0
30006,2263,Chicken Caesar,632,34,5,0,105,"1,711",35,18,4,56,0,0,0,0,0,0,0
30007,2263,Hot Grilled Chicken & Smokey Cheddar,484,18,4,0,105,"1,782",35,18,1,59,0,0,0,0,0,0,0
30008,2263,Tortilla Only,200,7,1,0,0,520,27,17,0,21,0,0,0,0,0,0,0
30009,2264,Minestrone,53,1,0,0,4,773,8,2,2,2,0,0,0,0,0,0,0
30010,2264,Minestrone,88,1,0,0,6,"1,288",14,3,3,4,0,0,0,0,0,0,0
30011,2264,Broccoli Cheese,120,6,3,0,4,743,13,2,2,5,0,0,0,0,0,0,0
30012,2264,Broccoli Cheese,200,10,5,0,6,"1,238",21,4,3,8,0,0,0,0,0,0,0
30013,2264,Roasted Chicken Noodle,83,2,1,0,23,623,9,1,1,7,0,0,0,0,0,0,0
30014,2264,Roasted Chicken Noodle,138,3,1,0,38,"1,038",15,1,1,11,0,0,0,0,0,0,0
30015,2264,Boston Clam Chowder,105,4,1,0,8,795,13,1,1,4,0,0,0,0,0,0,0
30016,2264,Boston Clam Chowder,175,6,2,0,13,"1,325",21,1,1,6,0,0,0,0,0,0,0
30017,2265,Turkey,190,3,0.5,0,20,710,4,1,2,8,0,0,0,0,0,0,0
30018,2265,Ham,200,3,0.5,0,16,521,4,1,2,10,0,0,0,0,0,0,0
30019,2265,Salami,254,9,1.9,0,18,599,4,1,2,9,0,0,0,0,0,0,0
30020,2266,Mayo,130,14,2,0,28,52,0,0,0,3,0,0,0,0,0,0,0
30021,2266,Mustard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30022,2266,Mayo & Mustard Mix,108,12,1,0,23,43,0,0,0,3,0,0,0,0,0,0,0
30023,2267,Brownies,300,10,3,1,10,320,48,1,32,4,0,0,0,0,0,0,0
