food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
30036,2269,Strawberry Breakfast Bowl,373,12.4,3.9,0,0,0.1,50.6,3.1,32.9,14.6,0,0,0,0,0,0,0
30037,2269,Smoked Salmon & Egg,438,18.3,3.9,0,0,1.1,37.8,3.7,2.3,30.1,0,0,0,0,0,0,0
30038,2269,Cream Cheese & Roasted Peppers,501,17.5,5,0,0,0.3,69.4,5.8,4.5,16.3,0,0,0,0,0,0,0
30039,2269,Skinny Dips (Humous),167,12,1.3,0,0,0.1,9.4,3.9,4.2,5.8,0,0,0,0,0,0,0
30040,2269,Health & Humous (no dressing),292,21.8,2,0,0,0.2,14.6,6.9,5.7,10.6,0,0,0,0,0,0,0
30041,2269,Skinny Dips (Yummy Yoghurt),89,4.9,2.2,0,0,0,6.3,2.2,4.8,5.2,0,0,0,0,0,0,0
30042,2269,Kids Chicken Baguette,254,6.9,3.8,0,0,0.2,31.2,0.3,0.2,16.4,0,0,0,0,0,0,0
30043,2269,Pret Muesli (Bionic Breakfast),414,21,5.4,0,0,0.1,57,6.8,4.6,12.2,0,0,0,0,0,0,0
30044,2269,Crayfish & Avocado,436,23.5,4.2,0,0,0.9,39.9,6.9,3.9,15.9,0,0,0,0,0,0,0
30045,2269,Strawberry Pret Pot,127,5,2.9,0,0,0,12.4,0,11.6,8,0,0,0,0,0,0,0
30046,2270,Smoked Salmon & Egg,438,18.3,3.9,0,0,1.1,37.8,3.7,2.3,30.1,0,0,0,0,0,0,0
30047,2270,Crayfish & Avocado,436,23.5,4.2,0,0,0.9,39.9,6.9,3.9,15.9,0,0,0,0,0,0,0
30048,2270,Summer Chicken,531,28.7,4.9,0,0,0.7,40.1,4.9,5.4,28.5,0,0,0,0,0,0,0
30049,2270,Double Cheese & Roasted Peppers,536,31.1,10.9,0,0,0.8,46,4.5,7,21.6,0,0,0,0,0,0,0
30050,2270,Egg Florentine,440,20.4,5.6,0,0,0.8,40.3,4.5,4.5,23.5,0,0,0,0,0,0,0
30051,2270,Tasty Cheddar,584,34.6,16.6,0,0,1.1,41.5,3.7,7.4,26.7,0,0,0,0,0,0,0
30052,2270,Chicken Provencal,449,17.8,2.4,0,0,0.9,42,4.6,7.4,24.9,0,0,0,0,0,0,0
30053,2270,Mediterranean Club,262,4.4,1.7,0,0,0.3,45.1,4.8,10.4,10.7,0,0,0,0,0,0,0
30054,2270,Prosciutto Mozzarella,543,28.9,8.4,0,0,1.1,39.4,3.9,4.7,26.8,0,0,0,0,0,0,0
30055,2270,Brie & Roasted Tomato,530,30,10.8,0,0,0.7,40.4,3.5,6.1,19.5,0,0,0,0,0,0,0
