food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
30233,2280,100. Thai Peanut Chicken On Low-Carb,378,15.2,6.8,0,73.6,"1,073",27.2,16.9,2.6,31,0,0,0,0,0,0,0
30234,2280,100. Thai Peanut Chicken On Low-Carb,378,15.2,6.8,0,147.2,"2,146",54.4,33.8,5.2,62,0,0,0,0,0,0,0
30235,2280,100. Thai Peanut Chicken On Wheat,395,15.6,6.6,0,73.6,"1,034",30,4.2,3.2,29.8,0,0,0,0,0,0,0
30236,2280,100. Thai Peanut Chicken On Wheat,395,15.6,6.6,0,147.2,"2,068",60,8.4,6.4,59.6,0,0,0,0,0,0,0
30237,2280,100. Thai Peanut Chicken On White,405,16,6.7,0,73.6,"1,050",32.7,2.5,4.3,29.6,0,0,0,0,0,0,0
30238,2280,100. Thai Peanut Chicken On White,405,16,6.7,0,147.2,"2,100",65.4,5,8.6,59.2,0,0,0,0,0,0,0
30239,2280,100. Thai Peanut Tofu On Low-Carb,218,8.5,1.5,0,0,496,28.1,17.5,2.7,11,0,0,0,0,0,0,0
30240,2280,100. Thai Peanut Tofu On Low-Carb,218,8.5,1.5,0,0,992,56.2,35,5.4,22,0,0,0,0,0,0,0
30241,2280,100. Thai Peanut Tofu On Wheat,236,8.9,1.4,0,0,457,30.8,4.8,3.3,9.8,0,0,0,0,0,0,0
30242,2280,100. Thai Peanut Tofu On Wheat,236,8.9,1.4,0,0,914,61.6,9.6,6.6,19.6,0,0,0,0,0,0,0
30243,2280,100. Thai Peanut Tofu On White,246,9.3,1.5,0,0,473,33.5,3.1,4.4,9.6,0,0,0,0,0,0,0
30244,2280,100. Thai Peanut Tofu On White,246,9.3,1.5,0,0,946,67,6.2,8.8,19.2,0,0,0,0,0,0,0
30245,2280,104. Huevos Rancheros On Low-Carb,331,16.8,7.8,0,145.5,771,29.9,17.9,2.5,16.9,0,0,0,0,0,0,0
30246,2280,104. Huevos Rancheros On Low-Carb,331,16.8,7.8,0,291,"1,542",59.8,35.8,5,33.8,0,0,0,0,0,0,0
30247,2280,104. Huevos Rancheros On Wheat,349,17.2,7.6,0,145.5,732,32.7,5.2,3.1,15.8,0,0,0,0,0,0,0
30248,2280,104. Huevos Rancheros On Wheat,349,17.2,7.6,0,291,"1,464",65.4,10.4,6.2,31.6,0,0,0,0,0,0,0
30249,2280,104. Huevos Rancheros On White,359,17.6,7.7,0,145.5,748,35.4,3.6,4.2,15.6,0,0,0,0,0,0,0
30250,2280,104. Huevos Rancheros On White,359,17.6,7.7,0,291,"1,496",70.8,7.2,8.4,31.2,0,0,0,0,0,0,0
