food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
30910,2308,California BBQ Chicken,659,27,14,0,85,"1,503",78,1,0,29,0,0,0,0,0,0,0
30911,2308,4 Cheese Bianco,904,65,23,0,78,"1,474",69,1,0,20,0,0,0,0,0,0,0
30912,2308,Margherita,553,21,10,0,43,"1,238",71,2,0,24,0,0,0,0,0,0,0
30913,2308,Golden Gate Sausage & Artichoke,660,30,12,0,61,"1,622",74,3,0,27,0,0,0,0,0,0,0
30914,2308,Roasted Garlic & Chicken,597,23,10,0,48,"1,383",72,2,0,27,0,0,0,0,0,0,0
30915,2308,Vegetable Ranch,673,36,11,0,29,"1,316",71,2,0,21,0,0,0,0,0,0,0
30916,2308,Pepperoni,572,23,10,0,37,"1,517",72,1,0,23,0,0,0,0,0,0,0
30917,2308,Bay Bridge Broccoli,839,55,17,0,50,"1,444",72,2,0,23,0,0,0,0,0,0,0
30918,2308,Classic Cheese,501,17,7,0,26,"1,228",72,1,0,20,0,0,0,0,0,0,0
30919,2308,Mushroom,511,18,8,0,30,"1,028",71,1,0,21,0,0,0,0,0,0,0
30920,2308,Pizza Rustica,714,35,14,0,71,"1,912",73,2,0,31,0,0,0,0,0,0,0
30921,2308,Sausalito Sausage,657,31,23,0,64,"1,550",73,2,0,28,0,0,0,0,0,0,0
30922,2308,Sausalito Chicken & Pesto,549,19,8,0,58,"1,055",68,1,0,31,0,0,0,0,0,0,0
30923,2308,Angel Island Crab & Pesto,572,24,10,0,42,"1,370",67,1,0,24,0,0,0,0,0,0,0
30924,2308,Pepperoni Bread,599,27,9,0,31,"1,224",66,0,0,22,0,0,0,0,0,0,0
30925,2308,Bruschetta,828,47,14,0,44,"2,866",87,7,0,19,0,0,0,0,0,0,0
30926,2308,Bruschetta,804,41,11,0,32,"2,643",85,5,0,19,0,0,0,0,0,0,0
30927,2309,California BBQ Chicken,"3,034",93,53,0,359,"6,883",362,14,0,136,0,0,0,0,0,0,0
30928,2309,4 Cheese Bianco,"3,478",179,80,0,334,"6,120",315,14,0,108,0,0,0,0,0,0,0
30929,2309,Margherita,"2,491",63,35,0,167,"5,388",324,16,0,108,0,0,0,0,0,0,0
30930,2309,Golden Gate Sausage & Artichoke,"2,885",94,45,0,238,"6,762",335,20,0,126,0,0,0,0,0,0,0
30931,2309,Roasted Garlic & Chicken,"2,920",81,39,0,286,"6,330",336,18,0,158,0,0,0,0,0,0,0
30932,2309,Vegetable Ranch,"3,282",144,51,0,177,"6,372",332,21,0,118,0,0,0,0,0,0,0
30933,2309,Pepperoni,"2,609",76,37,0,167,"6,333",323,15,0,109,0,0,0,0,0,0,0
30934,2309,Bay Bridge Broccoli,"3,041",130,49,0,186,"5,703",321,16,0,106,0,0,0,0,0,0,0
30935,2309,Classic Cheese,"2,328",51,28,0,123,"5,176",322,15,0,97,0,0,0,0,0,0,0
30936,2309,Mushroom,"2,584",67,34,0,152,"5,682",339,18,0,111,0,0,0,0,0,0,0
30937,2309,Pizza Rustica,"2,895",99,45,0,246,"7,138",326,16,0,124,0,0,0,0,0,0,0
30938,2309,Sausalito Sausage,"2,849",98,44,0,236,"6,266",324,16,0,118,0,0,0,0,0,0,0
30939,2309,Sausalito Chicken & Pesto,"2,881",82,42,0,314,"5,665",320,16,0,164,0,0,0,0,0,0,0
30940,2309,Angel Island Crab & Pesto,"2,756",83,44,0,225,"6,354",322,18,0,129,0,0,0,0,0,0,0
30941,2310,Avocado Chicken,756,17,6,0,152,"1,299",79,6,0,68,0,0,0,0,0,0,0
30942,2310,California Mozzarella Tomato Focaccia,827,45,18,0,89,521,75,5,0,32,0,0,0,0,0,0,0
30943,2310,Fisherman's Wharf Tuna Salad,964,35,7,0,140,"2,505",97,5,0,73,0,0,0,0,0,0,0
30944,2310,Chicken Caesar Wrap,579,24,5,0,46,"1,182",67,2,0,25,0,0,0,0,0,0,0
30945,2310,Turkey Focaccia Club,979,33,16,0,88,"2,968",81,5,0,39,0,0,0,0,0,0,0
30946,2310,Coastline BBQ Chicken Panini,673,11,6,0,59,"2,855",109,3,0,30,0,0,0,0,0,0,0
30947,2310,Layfette French Dip,950,36,12,0,96,"1,877",109,6,0,45,0,0,0,0,0,0,0
30948,2310,49er Grinder,967,63,18,0,96,"2,553",68,4,0,33,0,0,0,0,0,0,0
30949,2310,Ham & Smoked Gouda Panini,830,36,15,0,129,"3,195",80,4,0,42,0,0,0,0,0,0,0
30950,2310,California Chicken Salad Croissant,807,36,17,0,109,"1,257",44,3,0,26,0,0,0,0,0,0,0
