food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
31148,2328,"5"" Mother Lode",575,29,9,0,93,"1,944",41,1,4,34,22,14,22,32,0,0,0
31149,2328,"8"" Mother Lode",999,53,17,0,183,"3,665",61,1,5,64,34,18,36,50,0,0,0
31150,2328,"11"" Mother Lode","1,423",76,25,0,273,"5,384",82,2,7,94,47,24,51,68,0,0,0
31151,2328,"5"" Georgetown",423,18,6,0,40,"1,181",41,2,2,22,13,12,18,23,0,0,0
31152,2328,"8"" Georgetown",673,30,10,0,70,"1,954",60,2,3,38,17,17,32,34,0,0,0
31153,2328,"11"" Georgetown",924,41,14,0,101,"2,726",80,3,3,53,23,23,45,45,0,0,0
31154,2328,"5"" Tombstone",376,13,4,0,39,"1,068",40,1,1,24,10,10,18,23,0,0,0
31155,2328,"8"" Tombstone",617,22,7,0,74,"1,912",59,1,2,44,13,15,32,35,0,0,0
31156,2328,"11"" Tombstone",858,31,10,0,110,"2,756",79,2,2,64,17,20,46,46,0,0,0
31157,2328,"5"" Dodge City",616,39,14,0,87,"1,558",41,1,3,23,20,13,21,27,0,0,0
31158,2328,"8"" Dodge City","1,011",66,24,0,154,"2,647",61,1,4,39,32,17,35,41,0,0,0
31159,2328,"11"" Dodge City","1,407",93,34,0,220,"3,736",81,2,4,56,44,23,49,54,0,0,0
31160,2328,"5"" Lawless Leadville",382,14,4,0,43,"1,163",40,1,2,23,10,10,18,25,0,0,0
31161,2328,"8"" Lawless Leadville",629,24,8,0,82,"2,102",60,1,3,42,13,14,32,39,0,0,0
31162,2328,"11"" Lawless Leadville",877,34,11,0,121,"3,040",79,1,4,60,17,19,46,52,0,0,0
31163,2328,"5"" King Bullion",385,14,5,0,44,"1,078",39,1,2,23,10,11,19,26,0,0,0
31164,2328,"8"" King Bullion",635,24,8,0,85,"1,933",59,1,2,42,12,15,33,41,0,0,0
31165,2328,"11"" King Bullion",886,34,12,0,126,"2,787",78,1,2,61,16,20,46,55,0,0,0
31166,2328,"5"" Caribou",423,19,7,0,39,952,41,2,2,22,14,14,29,23,0,0,0
31167,2328,"8"" Caribou",700,32,12,0,74,"1,664",60,3,2,40,19,21,53,35,0,0,0
31168,2328,"11"" Caribou",978,46,18,0,110,"2,374",80,3,2,57,25,29,78,46,0,0,0
31169,2328,"5"" California Gulch",417,17,5,0,39,727,45,1,4,21,9,9,22,22,0,0,0
31170,2328,"8"" California Gulch",736,34,10,0,77,"1,252",70,2,7,38,12,14,40,34,0,0,0
31171,2328,"11"" California Gulch","1,055",51,16,0,116,"1,776",95,2,11,55,16,19,59,45,0,0,0
31172,2328,"5"" Silver City",511,28,8,0,67,"1,420",41,1,3,23,20,12,20,28,0,0,0
31173,2328,"8"" Silver City",870,50,16,0,130,"2,616",61,1,4,42,32,16,34,42,0,0,0
31174,2328,"11"" Silver City","1,230",72,23,0,193,"3,811",82,2,6,61,45,22,49,57,0,0,0
