food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
31721,2398,Smoked Chicken,293,4,0,0,34,839,40,0,0,17,0,0,0,0,0,0,0
31722,2398,Smoked Chicken,375,6,0,0,53,"1,163",48,0,0,25,0,0,0,0,0,0,0
31723,2398,Garden Fresh,365,5,1,0,5,730,62,5,0,13,0,0,0,0,0,0,0
31724,2398,Garden Fresh,480,7,2,0,8,975,81,8,0,18,0,0,0,0,0,0,0
31725,2398,NADA Chicken,435,11,1,0,0,"1,200",60,4,0,20,0,0,0,0,0,0,0
31726,2398,NADA Chicken,585,15,2,0,0,"1,680",78,6,0,29,0,0,0,0,0,0,0
31727,2398,Turkey,281,4,0,0,28,985,41,0,0,15,0,0,0,0,0,0,0
31728,2398,Turkey,358,5,0,0,44,"1,390",50,0,0,22,0,0,0,0,0,0,0
31729,2398,Ham & Cheese,375,12,5,0,45,"1,286",42,0,0,16,0,0,0,0,0,0,0
31730,2398,Ham & Cheese,506,17,8,0,73,"1,906",52,0,0,24,0,0,0,0,0,0,0
31731,2398,Roast Beef,315,4,1,0,39,726,40,0,0,22,0,0,0,0,0,0,0
31732,2398,Roast Beef,410,6,1,0,61,988,48,0,0,32,0,0,0,0,0,0,0
31733,2398,Genoa Salami,289,6,1,0,22,832,40,0,0,11,0,0,0,0,0,0,0
31734,2398,Genoa Salami,398,11,3,0,44,"1,344",49,0,0,18,0,0,0,0,0,0,0
31735,2398,Hot Pastrami,429,13,5,0,69,"1,457",41,0,0,23,0,0,0,0,0,0,0
31736,2398,Hot Pastrami,514,15,5,0,87,"1,822",49,0,0,30,0,0,0,0,0,0,0
31737,2399,Smoked Chicken,293,4,0,0,34,839,40,0,0,17,0,0,0,0,0,0,0
31738,2399,Smoked Chicken,375,6,0,0,53,"1,163",48,0,0,25,0,0,0,0,0,0,0
31739,2399,Classsic Club w/ch,434,15,6,0,63,"1,601",43,0,0,23,0,0,0,0,0,0,0
31740,2399,Classsic Club w/ch,589,23,9,0,89,"2,146",52,0,0,30,0,0,0,0,0,0,0
31741,2399,California Club w/ch,464,19,6,0,54,"1,441",45,1,0,20,0,0,0,0,0,0,0
31742,2399,California Club w/ch,647,32,10,0,71,"1,826",55,3,0,25,0,0,0,0,0,0,0
31743,2399,NY Italian w/ch,566,30,11,0,95,"1,952",42,0,0,23,0,0,0,0,0,0,0
31744,2399,NY Italian w/ch,692,36,14,0,119,"2,485",51,0,0,29,0,0,0,0,0,0,0
31745,2399,RB & Avocodo,452,16,5,0,58,"1,062",43,0,0,24,0,0,0,0,0,0,0
31746,2399,RB & Avocodo,641,26,9,0,89,"1,509",54,0,0,36,0,0,0,0,0,0,0
31747,2399,Office Favorite,625,37,9,0,442,"1,020",41,0,0,22,0,0,0,0,0,0,0
31748,2399,Office Favorite,734,43,10,0,474,"1,243",49,0,0,26,0,0,0,0,0,0,0
31749,2399,Garden Fresh,365,5,1,0,5,730,62,5,0,13,0,0,0,0,0,0,0
31750,2399,Garden Fresh,480,7,2,0,8,975,81,8,0,18,0,0,0,0,0,0,0
31751,2399,Veggie Delite (w/Hummus),463,16,2,0,0,949,62,9,0,17,0,0,0,0,0,0,0
