food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
31787,2401,Deli Subs - Famous,464,28,7,0,0,0,39,3,0,19,0,0,0,0,0,0,0
31788,2401,Deli Subs - Ham & Cheese,401,22,4,0,0,0,38,3,0,19,0,0,0,0,0,0,0
31789,2401,Deli Subs - Turkey Club,476,27,6,0,0,0,36,3,0,23,0,0,0,0,0,0,0
31790,2401,Deli Subs - Turkey & Cheese,423,23,5,0,0,0,36,3,0,20,0,0,0,0,0,0,0
31791,2401,Deli Subs - Club Sub,481,29,6,0,0,0,36,3,0,22,0,0,0,0,0,0,0
31792,2401,Deli Subs - Famous,664,39,10,0,0,0,55,4,0,26,0,0,0,0,0,0,0
31793,2401,Deli Subs - Ham & Cheese,568,30,6,0,0,0,54,4,0,27,0,0,0,0,0,0,0
31794,2401,Deli Subs - Turkey Club,678,38,9,0,0,0,52,4,0,34,0,0,0,0,0,0,0
31795,2401,Deli Subs - Turkey & Cheese,598,32,7,0,0,0,51,4,0,29,0,0,0,0,0,0,0
31796,2401,Deli Subs - Club Sub,701,41,9,0,0,0,53,4,0,36,0,0,0,0,0,0,0
31797,2401,Deli Subs - Famous,"1,007",64,14,0,0,0,78,6,0,28,0,0,0,0,0,0,0
31798,2401,Deli Subs - Ham & Cheese,882,52,10,0,0,0,76,6,0,27,0,0,0,0,0,0,0
31799,2401,Deli Subs - Turkey Club,"1,053",66,14,0,0,0,72,6,0,36,0,0,0,0,0,0,0
31800,2401,Deli Subs - Turkey & Cheese,947,59,11,0,0,0,71,6,0,30,0,0,0,0,0,0,0
31801,2401,Deli Subs - Club Sub,"1,094",70,14,0,0,0,73,6,0,41,0,0,0,0,0,0,0
31802,2401,Steak Subs - Mushroom Steak,578,39,13,0,0,0,37,3,0,26,0,0,0,0,0,0,0
31803,2401,Steak Subs - Pepper Steak,577,39,13,0,0,0,37,3,0,25,0,0,0,0,0,0,0
31804,2401,Steak Subs - Pizza Steak,585,39,13,0,0,0,38,4,0,25,0,0,0,0,0,0,0
31805,2401,Steak Subs - Steak & Cheese,571,39,18,0,0,0,36,3,0,25,0,0,0,0,0,0,0
31806,2401,Steak Subs - Portabella Mushroom,503,28,12,0,0,0,39,4,0,27,0,0,0,0,0,0,0
31807,2401,Steak Subs - Philly Cheesesteak,476,27,13,0,0,0,35,3,0,26,0,0,0,0,0,0,0
31808,2401,Steak Subs - Steak Special,605,39,13,0,0,0,42,5,0,27,0,0,0,0,0,0,0
31809,2401,Steak Subs - Steak & Cheddar,576,39,14,0,0,0,36,3,0,25,0,0,0,0,0,0,0
31810,2401,Steak Subs - Mushroom Steak,833,26,6,0,0,0,52,4,0,13,0,0,0,0,0,0,0
31811,2401,Steak Subs - Pepper Steak,709,46,15,0,0,0,52,4,0,29,0,0,0,0,0,0,0
31812,2401,Steak Subs - Pizza Steak,986,57,20,0,0,0,85,7,0,42,0,0,0,0,0,0,0
31813,2401,Steak Subs - Steak & Cheese,823,56,20,0,0,0,51,4,0,36,0,0,0,0,0,0,0
31814,2401,Steak Subs - Portabella Mushroom,801,48,22,0,0,0,54,5,0,43,0,0,0,0,0,0,0
31815,2401,Steak Subs - Philly Cheesesteak,685,40,19,0,0,0,49,4,0,37,0,0,0,0,0,0,0
31816,2401,Steak Subs - Steak Special,746,46,15,0,0,0,58,6,0,31,0,0,0,0,0,0,0
31817,2401,Steak Subs - Steak & Cheddar,833,56,20,0,0,0,52,4,0,37,0,0,0,0,0,0,0
31818,2401,Steak Subs - Mushroom Steak,"1,235",86,28,0,0,0,74,6,0,41,0,0,0,0,0,0,0
31819,2401,Steak Subs - Pepper Steak,"1,233",86,28,0,0,0,75,6,0,40,0,0,0,0,0,0,0
31820,2401,Steak Subs - Pizza Steak,"1,259",87,28,0,0,0,79,7,0,40,0,0,0,0,0,0,0
31821,2401,Steak Subs - Steak & Cheese,"1,221",86,28,0,0,0,72,6,0,39,0,0,0,0,0,0,0
31822,2401,Steak Subs - Portabella Mushroom,"1,129",67,29,0,0,0,79,7,0,49,0,0,0,0,0,0,0
31823,2401,Steak Subs - Philly Cheesesteak,902,50,23,0,0,0,70,6,0,39,0,0,0,0,0,0,0
31824,2401,Steak Subs - Steak Special,"1,298",87,28,0,0,0,86,10,0,45,0,0,0,0,0,0,0
31825,2401,Steak Subs - Steak & Cheddar,"1,728",91,28,0,0,0,180,13,0,47,0,0,0,0,0,0,0
31826,2401,Burger Subs - Cheeseburger,591,41,14,0,0,0,36,3,0,25,0,0,0,0,0,0,0
