food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
31973,2403,French,160,0.5,0,0,0,360,34,1,1,5,0,0,0,10,0,0,0
31974,2403,Sourdough,140,1,0,0,0,300,29,1,1,6,0,0,0,10,0,0,0
31975,2403,Italian,150,1.5,0,0,5,350,29,1,1,6,0,0,0,10,0,0,0
31976,2403,"Romano, Swiss & Parsley ",150,4,1.5,0,10,290,26,1,1,6,0,0,2,10,0,0,0
31977,2403,Seven Grain,150,2.5,0,0,0,260,29,3,1,7,0,0,0,10,0,0,0
31978,2403,Rye,150,1,0,0,0,330,30,4,1,8,4,0,4,10,0,0,0
31979,2403,Multigrain,150,2,0,0,0,290,28,3,3,7,0,0,2,10,0,0,0
31980,2403,Sun-Dried Tomato,140,1,0,0,0,300,29,1,2,6,0,0,2,10,0,0,0
31981,2403,Egg Bread,190,2.5,0.5,0,35,310,36,1,8,6,0,0,0,10,0,0,0
31982,2404,Medium Curved Butter Croissant (Eastern),230,12,7,0,30,250,27,1,5,5,0,8,4,8,0,0,0
31983,2404,Medium Curved Butter Croissant (Western),230,12,7,0,30,250,27,1,5,5,0,8,4,8,0,0,0
31984,2404,Petite Curved Butter Croissant (Eastern),120,6,4,0,15,125,13,0,2,3,0,4,0,4,0,0,0
31985,2404,Petite Curved Butter Croissant (Western),120,6,4,0,15,125,13,0,2,3,0,4,0,4,0,0,0
31986,2404,Large Curved Butter Croissant (Eastern),310,15,9,0,35,370,39,1,7,7,0,8,6,10,0,0,0
31987,2404,Large Curved Butter Croissant (Western),310,15,9,0,35,370,39,1,7,7,0,8,6,10,0,0,0
31988,2405,Large Curved Whole Wheat Croissant (Eastern),310,15,9,0,35,350,39,2,7,8,0,8,6,10,0,0,0
31989,2405,Large Curved Whole Wheat Croissant (Western),310,15,9,0,35,350,39,2,7,8,0,8,6,10,0,0,0
31990,2406,Honey Wheat Croissant (Eastern),300,13,8,0,30,360,41,2,9,8,0,8,6,10,0,0,0
31991,2406,Honey Wheat Croissant (Western),300,13,8,0,30,360,41,2,9,8,0,8,6,10,0,0,0
31992,2407,Large Curved Margarine Croissant (Eastern),320,16,4.5,4.5,0,360,38,1,7,7,0,15,4,10,0,0,0
31993,2407,Large Curved Margarine Croissant (Western),320,16,4.5,4.5,0,360,38,1,7,7,0,15,4,10,0,0,0
31994,2408,Petit Curved - Pre-Proof Butter Croissant (Eastern),110,5,3.5,0,15,120,13,0,2,3,0,4,0,4,0,0,0
31995,2408,Petit Curved - Pre-Proof Butter Croissant (Western),110,5,3.5,0,15,125,13,0,2,3,0,4,0,4,0,0,0
31996,2408,Medium Curved - Pre-Proof Croissant (Eastern),220,11,7,0,25,240,27,1,5,5,0,6,4,8,0,0,0
31997,2408,Medium Curved - Pre-Proof Croissant (Western),220,11,7,0,25,250,27,1,5,5,0,6,2,8,0,0,0
31998,2408,Large Curved - Pre-Proof Croissant (Eastern),330,16,10,0,40,370,40,1,7,8,0,10,4,10,0,0,0
31999,2408,Large Curved - Pre-Proof Croissant (Western),320,15,9,0,40,360,38,1,7,7,0,8,4,10,0,0,0
32000,2409,Croissant Sheets (Eastern),210,10,10,0,25,250,27,1,5,5,0,6,4,8,0,0,0
32001,2409,Croissant Sheets (Western),210,10,6,0,25,250,27,1,5,5,0,6,4,8,0,0,0
32002,2409,Large Butter Croissant Triangles (Eastern),310,15,9,0,35,370,39,1,7,7,0,8,6,10,0,0,0
