menu_id,menu_name,restaurant_id
2403,Frozen Dough Blocks,311
2404,Frozen Dough Curved All Butter Croissants,311
2405,Frozen Dough Whole Wheat All Butter Croissant,311
2406,Frozen Dough Honey Wheat All Butter Croissant,311
2407,Frozen Dough Curved Margarine Croissant,311
2408,Pre-Proofed Butter Croissants,311
2409,Frozen Croissant Sheet Dough,311
2410,Frozen Puff Pastry Dough,311
2411,Frozen Dough Filled All Butter Croissants,311
2412,Frozen Dough Swirl All Butter Croissants,311
2413,Frozen Dough Sweet Rolls,311
2414,Frozen Dough Entrée All Butter Croissants,311
2415,Frozen Dough All Butter Omelette Croissants,311
2416,Frozen Danish Dough,311
2417,Frozen Dough Brioche,311
2418,Frozen Dough Pre-portioned Gourmet Cookies,311
2419,Frozen Dough Palmier,311
2420,Frozen Muffin Batter - Portion & Bake,311
2421,Pre-Proofed Danish,311
2422,Pre-Proofed Sweet Filled Croissants,311
2423,Pre-Proofed Cinnamon Rolls,311
2424,Frzn Dough Pre-Portioned Unique Indulgence Cookie,311
2425,Frozen Partially Baked Bistro Rolls,311
2426,Frozen Partially Baked Petit Pain Rolls,311
2427,Frozen Partially Baked Breadsticks,311
2428,Frozen Partially Baked Sandwich Rounds,311
2429,Frozen Partially Baked Small Hearth Loaves,311
2430,Frozen Partially Baked Boules,311
2431,Frozen Partially Baked Hearth Loaves,311
2432,Frozen Partially Baked Flat Bread,311
2433,Frozen Partially Baked Pane d' Italia,311
2434,Frozen Partially Baked Sub Rolls,311
2435,Thaw-and-Serve All Butter Croissants,311
2436,Thaw-and-Serve Sliced All Butter Croissants,311
2437,Thaw-and-Serve Honey Wheat All Butter Croissants,311
2438,Thaw-and-Serve Filled All Butter Croissants,311
2439,Thaw-and-Serve Bistro Rolls,311
2440,Thaw-and-Serve Country Rolls,311
2441,Thaw-and-Serve Hearth Loaves,311
2442,Thaw-and-Serve Sliced Loaves,311
2443,Thaw-and-Serve Sliced Sandwich Rounds,311
2444,Thaw-and-Serve Artisan Breads,311
2445,Thaw-and-Serve Artisan Focaccia Bread Sheets,311
2446,Thaw-and-Serve International Breads,311
2447,Thaw-and-Serve Country Classic Breads,311
2448,European Classics Cakes (Whole),311
2449,European Classics Cakes (Precut),311
2450,American Classics - (Precut),311
2451,True Temptations (Whole),311
2452,True Temptations (Precut),311
2453,Extreme Desserts (Precut),311
2454,Cheesecakes (Whole),311
2455,Cheesecakes (Precut),311
2456,Sweet Fantasy Truffle Cakes (whole),311
2457,Pies and Tartes (Whole),311
2458,Retail Cake,311
2459,Retail Tartes,311
2460,Seasonal Products,311
2461,''Soda Shoppe Desserts'' (Precut),311
2462,Rustic Tartes (Whole),311
