food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
32285,2463,Tofu and Mushroom Teriyaki,387.2,6.5,0.7,0,0,0,57.7,5.1,0,11.1,0,0,0,0,0,0,0
32286,2463,Portabello and Goat Cheese,390.5,13.1,3.1,0,0,0,54.7,5.1,0,13.2,0,0,0,0,0,0,0
32287,2463,Bean and Cheese,451.6,13.4,3.2,0,0,0,66.8,11,0,15.8,0,0,0,0,0,0,0
32288,2463,Bombay Curry Veggie,495,13.8,2.2,0,0,0,80.9,22.9,0,11.6,0,0,0,0,0,0,0
32289,2463,Baja Veggie,541.2,13.4,3.7,0,0,0,89.5,11.2,0,17.9,0,0,0,0,0,0,0
32290,2463,Tofu and Mushroom Teriyaki,704,11.8,1.2,0,0,0,104.9,9.2,0,20.2,0,0,0,0,0,0,0
32291,2463,Portabello and Goat Cheese,710,23.8,5.7,0,0,0,99.5,9.2,0,24.1,0,0,0,0,0,0,0
32292,2463,Classic Burrito,821,24.4,5.8,0,0,0,121.5,19.9,0,28.7,0,0,0,0,0,0,0
32293,2463,Bombay Curry Veggie,900,25,4,0,0,0,147,41.6,0,21,0,0,0,0,0,0,0
32294,2463,Burrito Wrapp with Veggies,984,24.4,6.7,0,0,0,162.7,20.4,0,32.5,0,0,0,0,0,0,0
32295,2464,Tequila Lime Shrimp,421.9,10.2,2.7,0,0,0,64.5,7.3,0,18.4,0,0,0,0,0,0,0
32296,2464,Spicy Southwest Shrimp,459.8,8.1,3.2,0,0,0,74.7,7.8,0,22,0,0,0,0,0,0,0
32297,2464,Barcelona,459.8,11.4,2.3,0,0,0,65.4,3.7,0,23.9,0,0,0,0,0,0,0
32298,2464,NW Lemon Dill Salmon,477.4,20.2,4.3,0,0,0,52.4,5.4,0,21.1,0,0,0,0,0,0,0
32299,2464,Teriyaki Chicken,481.8,9.8,2.7,0,0,0,73.1,7.8,0,25.3,0,0,0,0,0,0,0
32300,2464,Tequila Lime Shrimp,767,18.5,4.9,0,0,0,117.3,13.2,0,33.5,0,0,0,0,0,0,0
32301,2464,Bean and Cheese,821,24.4,5.8,0,0,0,121.5,19.9,0,28.7,0,0,0,0,0,0,0
32302,2464,Spicy Southwest Shrimp,836,14.8,5.9,0,0,0,135.8,14.2,0,39.9,0,0,0,0,0,0,0
32303,2464,Barcelona,836,20.8,4.2,0,0,0,119,6.7,0,43.5,0,0,0,0,0,0,0
32304,2464,NW Lemon Dill Salmon,868,36.8,7.9,0,0,0,95.3,9.9,0,38.4,0,0,0,0,0,0,0
32305,2464,Teriyaki Chicken,876,17.8,4.9,0,0,0,132.9,14.1,0,46.1,0,0,0,0,0,0,0
32306,2465,Burrito Wrapp with Shrimp,421.9,10.2,2.7,0,0,0,64.5,7.3,0,18.4,0,0,0,0,0,0,0
32307,2465,Teriyaki Steak,497.2,10.3,4.2,0,0,0,68.7,8.5,0,30,0,0,0,0,0,0,0
32308,2465,Burrito Wrapp with Shrimp,767,18.5,4.9,0,0,0,117.3,13.2,0,33.5,0,0,0,0,0,0,0
32309,2465,Teriyaki Steak,904,18.8,7.6,0,0,0,124.9,15.4,0,54.6,0,0,0,0,0,0,0
32310,2466,Chicken Parmesan,495,15.8,5.4,0,0,0,53.4,2.4,0,31.6,0,0,0,0,0,0,0
32311,2466,Thai Chicken,507.7,17.2,4.1,0,0,0,58.5,4.4,0,30.1,0,0,0,0,0,0,0
32312,2466,Texas Roadhouse BBQ Chicken,512.1,16.9,5.1,0,0,0,63.7,3.8,0,26.5,0,0,0,0,0,0,0
32313,2466,Caribbean Sole,522.5,13.7,3,0,0,0,80,3.5,0,22.6,0,0,0,0,0,0,0
32314,2466,Baja Veggie,541.2,13.4,3.7,0,0,0,162.7,20.4,0,32.5,0,0,0,0,0,0,0
32315,2466,Samurai Salmon,543.4,21.7,1.2,0,0,0,64.5,2.4,0,22.2,0,0,0,0,0,0,0
32316,2466,Chicken Caesar,546.7,30.2,5.6,0,0,0,43.7,4.9,0,25.3,0,0,0,0,0,0,0
32317,2466,Texas Roadhouse BBQ Steak,568.7,22.9,7.9,0,0,0,64.2,3.9,0,28,0,0,0,0,0,0,0
32318,2466,Burrito Wrapp with Steak,573.1,20.3,7.2,0,0,0,65.7,6.9,0,34.1,0,0,0,0,0,0,0
32319,2466,Burrito Wrapp with Chicken,575.9,21,0.8,0,0,0,66.2,9.7,0,25.7,0,0,0,0,0,0,0
32320,2466,Bombay Curry Chicken,577,14.4,2.7,0,0,0,84.4,3.5,0,27.7,0,0,0,0,0,0,0
32321,2466,Chicken Parmesan,900,31.5,9.7,0,0,0,97.1,4.4,0,57.5,0,0,0,0,0,0,0
32322,2466,Thai Chicken,923,31.2,7.4,0,0,0,106.3,8,0,54.8,0,0,0,0,0,0,0
32323,2466,Texas Roadhouse BBQ Chicken,931,30.7,9.3,0,0,0,115.8,7,0,48.2,0,0,0,0,0,0,0
32324,2466,Caribbean Sole,950,24.9,5.4,0,0,0,145.5,6.3,0,41,0,0,0,0,0,0,0
32325,2466,Baja Veggie,984,24.4,6.7,0,0,0,162.7,20.4,0,32.5,0,0,0,0,0,0,0
32326,2466,Samurai Salmon,988,39.5,2.1,0,0,0,117.3,4.3,0,40.4,0,0,0,0,0,0,0
32327,2466,Chicken Caesar,994,54.9,10.1,0,0,0,79.4,8.9,0,46,0,0,0,0,0,0,0
32328,2466,Texas Roadhouse BBQ Steak,"1,034",41.6,14.3,0,0,0,116.7,7.1,0,50.9,0,0,0,0,0,0,0
32329,2466,Mexican Grilled Steak,"1,042",37,13.2,0,0,0,119.5,12.5,0,61.9,0,0,0,0,0,0,0
32330,2466,Mexican Grilled Chicken,"1,047",38.2,1.5,0,0,0,120.4,17.6,0,46.8,0,0,0,0,0,0,0
32331,2466,Bombay Curry Chicken,"1,049",26.1,4.9,0,0,0,153.4,6.3,0,50.4,0,0,0,0,0,0,0
32332,2467,Strawberry Orange Banana,268,1.1,0.6,0,0,0,61.5,4.9,0,3.1,0,0,0,0,0,0,0
32333,2467,"Caribbean ""C""",276,1,0.7,0,0,0,63.6,3.1,0,3.2,0,0,0,0,0,0,0
32334,2467,Blue Mango Boost,295,1.2,0.1,0,0,0,70.3,4.7,0,4.5,0,0,0,0,0,0,0
32335,2467,Tropical Storm,309,3.2,2.4,0,0,0,71.8,3.4,0,5.5,0,0,0,0,0,0,0
32336,2467,Black and Blue,319,0.3,0.1,0,0,0,77.3,2.9,0,1.7,0,0,0,0,0,0,0
32337,2467,Triathlete,341,1.4,0.6,0,0,0,79.8,3,0,5.1,0,0,0,0,0,0,0
32338,2467,Georgia Peach,343,0.3,0.1,0,0,0,85.6,1.4,0,0.6,0,0,0,0,0,0,0
32339,2467,"Caribbean ""C""",407,2.5,0.9,0,0,0,98.1,5.3,0,3.6,0,0,0,0,0,0,0
32340,2467,Tropical Storm,466,5.5,4.2,0,0,0,105.5,5.9,0,7.4,0,0,0,0,0,0,0
32341,2467,Blue Mango Boost,488,2.3,0.3,0,0,0,120.8,8.1,0,7.6,0,0,0,0,0,0,0
32342,2467,Black and Blue,492,1.4,0.2,0,0,0,126.8,6.5,0,2.3,0,0,0,0,0,0,0
32343,2467,Peanut Butter Banana,502,17.4,4.8,0,0,0,68.5,4.1,0,17.8,0,0,0,0,0,0,0
32344,2467,Georgia Peach,548,0.6,0.2,0,0,0,136.3,2.8,0,1.2,0,0,0,0,0,0,0
32345,2467,Strawberry Orange Banana,554,2.5,0.8,0,0,0,139.2,8.5,0,3.7,0,0,0,0,0,0,0
32346,2467,Triathlete,561,2.2,1,0,0,0,131.2,6,0,9.8,0,0,0,0,0,0,0
32347,2467,Peanut Butter Banana,792,35.6,8,0,0,0,94.2,7.2,0,33.3,0,0,0,0,0,0,0
32348,2468,Classic Caesar Salad,417,41,8,0,0,0,7,4,0,9,0,0,0,0,0,0,0
32349,2468,C.C.S.,527,42,8,0,0,0,7,4,0,31,0,0,0,0,0,0,0
32350,2468,Blackened Salmon Caesar,612,54,10,0,0,0,9,5,0,27,0,0,0,0,0,0,0
32351,2468,Thai Asian Chicken Salad,613,36,3,0,0,0,41,15,0,36,0,0,0,0,0,0,0
32352,2468,California Cobb Salad,636,62,14,0,0,0,16,6,0,29,0,0,0,0,0,0,0
32353,2468,BBQ Ranch Chicken Salad,633,48,6,0,0,0,43,15,0,29,0,0,0,0,0,0,0
32354,2468,Garden Veggie Salad,492,51,7,0,0,0,12,15,0,4,0,0,0,0,0,0,0
