food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
2679,169,Artichoke Eggs Florentine,900,69,39,0,583,"1,524",46,4,2,26,8,105,25,35,0,0,0
2680,169,Double Bacon Eggs Benedict,"1,059",81,44,0,633,"2,599",43,2,2,40,25,55,20,35,0,0,0
2681,169,Smoked Turkey Eggs Benedict,940,69,39,0,608,"1,968",43,2,2,37,0,55,20,30,0,0,0
2682,169,Three Eggs - Egg Whites - Bacon,521,26,8,0,61,"2,035",27,3,0,43,0,0,6,10,0,0,0
2683,169,Three Eggs - Egg Whites - Canadian Bacon,316,6,2,0,33,"1,668",27,3,0,36,20,0,6,10,0,0,0
2684,169,Three Eggs - Egg Whites - Chicken Sausage,333,10,3,0,68,"1,378",31,3,1,30,0,0,10,25,0,0,0
2685,169,Three Eggs - Fried - Bacon,795,55,18,0,826,"1,503",26,3,1,45,30,25,15,30,0,0,0
2686,169,Three Eggs - Fried - Canadian Bacon,573,32,9,0,810,"1,474",27,3,1,41,20,25,15,30,0,0,0
2687,169,Three Eggs - Fried - Chicken Sausage,590,36,10,0,845,"1,184",30,3,2,35,0,25,20,40,0,0,0
2688,169,Three Eggs - Poached - Bacon,657,41,13,0,694,"1,935",26,3,1,44,0,15,15,25,0,0,0
2689,169,Three Eggs - Poached - Canadian Bacon,451,21,7,0,666,"1,568",26,3,1,37,20,15,15,25,0,0,0
2690,169,Three Eggs - Poached - Chicken Sausage,469,24,8,0,701,"1,278",30,3,2,31,0,15,20,40,0,0,0
2691,169,Three Eggs - Scrambled - Bacon,735,50,16,0,647,"1,632",28,3,3,41,30,20,15,25,0,0,0
2692,169,Three Eggs - Scrambled - Canadian Bacon,513,27,8,0,632,"1,604",29,3,3,37,20,20,15,20,0,0,0
2693,169,Three Eggs - Scrambled - Chicken Sausage,531,30,9,0,667,"1,313",33,3,4,31,0,20,20,35,0,0,0
2694,169,Toad in the Hole - Scrambled Eggs,449,30,7,0,435,852,29,1,0,15,0,30,10,20,0,0,0
2695,169,Toad in the Hole - Egg Whites,257,8,1,0,0,544,29,1,1,17,0,6,4,8,0,0,0
2696,169,Toad in the Hole - Fried Eggs,383,22,5,0,420,543,29,1,1,17,0,20,10,20,0,0,0
2697,169,Toad in the Hole - Poached Eggs,345,17,5,0,422,650,28,1,1,17,0,15,10,20,0,0,0
2698,169,Two Egg Whites - Bacon,493,26,8,0,61,"1,855",26,3,0,37,0,0,6,10,0,0,0
2699,169,Two Egg Whites - Canadian Bacon,287,6,2,0,33,"1,488",26,3,0,30,20,0,6,10,0,0,0
2700,169,Two Eggs Whites - Chicken Sausage,305,10,3,0,68,"1,197",30,3,1,24,0,0,10,25,0,0,0
2701,169,Two Fried Eggs - Bacon,638,44,14,0,469,"1,343",25,3,1,34,30,15,10,25,0,0,0
2702,169,Two Fried Eggs - Canadian Bacon,416,20,6,0,453,"1,315",26,3,1,31,20,15,10,20,0,0,0
2703,169,Two Fried Eggs - Chicken Sausage,433,24,7,0,488,"1,025",30,3,2,25,0,15,15,35,0,0,0
2704,169,Two Poached Eggs - Bacon,584,36,11,0,483,"1,788",26,3,1,37,0,10,10,20,0,0,0
2705,169,Two Poached Eggs - Canadian Bacon,378,16,5,0,455,"1,421",26,3,1,31,20,10,10,20,0,0,0
2706,169,Two Poached Eggs - Chicken Sausage,395,20,6,0,490,"1,131",30,3,2,25,0,10,15,35,0,0,0
2707,169,Two Scrambled Eggs - Bacon,704,52,16,0,483,"1,652",26,3,0,32,30,25,10,20,0,0,0
2708,169,Two Scrambled Eggs - Canadian Bacon,483,29,7,0,468,"1,624",26,3,0,29,20,25,10,20,0,0,0
2709,169,Two Srambled Eggs - Chicken Sausage,500,32,8,0,503,"1,333",30,3,1,23,0,25,15,30,0,0,0
2710,169,Flap Jacks - Full Stack,"1,545",66,14,0,401,"2,987",193,0,0,44,4,25,150,70,0,0,0
2711,169,Flap Jacks - Half Stack,"1,545",66,14,0,401,"2,987",193,0,0,44,4,25,150,70,0,0,0
2712,169,Hashbrowns,154,9,2,0,54,288,16,1,0,3,20,2,0,4,0,0,0
2713,169,Bacon Bomb - Egg Whites,198,7,4,0,31,809,2,0,1,29,10,4,10,4,0,0,0
2714,169,Bacon Bomb - Whole Eggs,360,24,9,0,751,764,2,0,1,32,10,20,20,20,0,0,0
2715,169,Grand Canyon - Canadian Bacon,382,24,9,0,751,768,7,1,4,33,55,25,20,20,0,0,0
2716,169,Grand Canyon - Egg Whites - Canadian Bacon,199,10,3,0,25,662,8,1,5,28,45,10,15,6,0,0,0
2717,169,Grand Canyon - Egg Whites - Maple Baked Ham,199,10,3,0,25,662,8,1,5,28,45,10,15,6,0,0,0
2718,169,Grand Canyon - Egg Whites - No Meat,168,5,3,0,15,374,7,1,4,23,45,10,15,4,0,0,0
2719,169,Grand Canyon - Maple Baked Ham,360,27,8,0,745,618,8,1,6,31,45,25,20,20,0,0,0
2720,169,Grand Canyon - No Meat,330,22,8,0,734,329,7,1,4,26,45,25,20,20,0,0,0
2721,169,Green Garden - Egg Whites - No Meat,182,6,3,0,15,447,8,2,4,23,50,10,15,4,0,0,0
2722,169,Green Garden - Whole Eggs - No Meat,344,23,8,0,734,403,8,2,4,26,50,25,20,20,0,0,0
2723,169,Ham I Am - Egg Whites,176,10,3,0,25,659,3,0,3,27,0,4,10,4,0,0,0
2724,169,Ham I Am - Whole Eggs,338,27,8,0,745,615,3,0,3,30,0,20,20,20,0,0,0
2725,169,Spinach and Artichoke Omelet - Egg Whites,210,8,5,0,32,516,6,2,2,27,8,50,25,8,0,0,0
2726,169,Spinach and Artichoke Omelet - Whole Eggs,372,25,10,0,752,472,6,2,2,30,8,65,35,25,0,0,0
2727,169,Spinach and Feta - Egg Whites,396,26,11,0,63,"1,413",5,1,2,34,8,45,10,10,0,0,0
2728,169,Spinach and Feta - Whole Eggs,557,42,17,0,783,"1,369",5,1,2,36,8,65,20,25,0,0,0
2729,169,Tex Mex Omelet - Egg Whites,130,3,2,0,6,511,4,1,1,19,35,20,4,2,0,0,0
2730,169,Tex Mex Omelet - Whole Eggs,291,20,7,0,726,467,4,1,1,22,35,35,10,20,0,0,0
2731,169,Mango Mama - No Syrup,896,26,15,0,205,"1,421",110,2,7,12,15,6,50,35,0,0,0
2732,169,Mango Mama - Syrup,970,26,15,0,205,"1,423",129,2,24,12,15,6,50,40,0,0,0
2733,169,Plain Jane - No Syrup,878,25,15,0,205,"1,420",105,1,3,12,0,2,50,35,0,0,0
2734,169,Plain Jane - Syrup,952,26,15,0,205,"1,423",124,1,20,12,0,2,50,35,0,0,0
2735,169,Strawberry Shortcake - No Syrup,897,26,15,0,205,"1,430",110,3,3,12,20,2,50,35,0,0,0
2736,169,Strawberry Shortcake - Syrup,971,26,15,0,205,"1,433",129,3,20,12,20,2,50,40,0,0,0
2737,170,Asian Ginger Dressing,134,12,1,0,0,267,6,0,1,0,0,0,0,0,0,0,0
2738,170,Athenian Dressing And Marinade,144,16,3,0,2,206,1,0.5,1,0,1,0,2,1,0,0,0
2739,170,Empire Caesar Dressing,163,18,2,0,11,186,1,0,0,1,0,0,4,1,0,0,0
2740,170,Extra Chunky Blue Cheese Dressing,136,14,4,0,16,184,1,0,0,2,0,2,4,0,0,0,0
2741,170,Fat Free Raspberry Vinaigrette With Poppyseeds Dressing,41,0.5,0,0,0,75,9,1,7,0,0,0,0,0,0,0,0
2742,170,Fat Free Lemon Herb Dressing,17,0,0,0,0,118,3,0,1,0,0,0,0,0,0,0,0
2743,170,Honey - Lime Vinaigrette,270,29,2,0,0,321,4,0,3,0,4,0,0,0,0,0,0
2744,170,Honey Poppyseed Dressing,157,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2745,170,Low Fat Caribbean Mango Dressing And Marinade,51,1,0,0,1,82,9,0,5.5,0,1,2,0,1,0,0,0
2746,170,"Low Fat, Reduced Calorie Caesar Dressing",43,3,0,0,3,339,2,1,0,1,0,0,1,0,0,0,0
2747,170,"Low Fat, Low Calorie Honey Dijon Dressing",57,2.6,0,0,0,264,8,1,5,0,0,0,0,0,0,0,0
2748,170,"Low Fat, Low Calorie Italian Dressing",29,3,0,0,0,253,1,0,1,0,0,0,0,0,0,0,0
2749,170,Low Fat Peppercorn Ranch Dressing,50,3,1,0,5,220,4,0,4,1,0,0,2,0,0,0,0
2750,170,Spicy Peanut Sauce,196,15,2,0,0,629,13,1,9,5,0,2,0,4,0,0,0
2751,170,Sesame French Dressing,146,12,2,0,1,396,10,0,6,0,2,2,1,1,0,0,0
2752,170,Sun Dried Tomato Vinaigrette,161,17.8,2,0,0,22.4,0.9,0.1,0.5,0,1,0,0,0,0,0,0
2753,170,Wasabi Teriyaki Marinade,50,3,0,0,0,583,4,0,3,1,1,0,0,0,0,0,0
2754,171,Applenut - Albacore Tuna - Dressing,639,47,8,0,46,658,28,6,14,32,50,150,20,20,0,0,0
2755,171,Applenut - Albacore Tuna - No Dressing,407,23,4,0,46,267,23,6,14,32,50,150,20,20,0,0,0
2756,171,Applenut - Albacore Tuna - Balsamic Vinegar - No Oil,426,23,5,0,46,263,35,6,11,31,50,145,20,20,0,0,0
2757,171,Applenut - Albacore Tuna Salad - Dressing,689,52,9,0,22,957,36,6,14,26,55,150,20,20,0,0,0
2758,171,Applenut - Albacore Tuna Salad - No Dressing,457,28,5,0,22,567,31,6,14,26,55,150,20,20,0,0,0
2759,171,Applenut - Albacore Tuna Salad - Balsamic Vinegar - No Oil,476,29,5,0,22,562,43,6,11,24,50,150,20,20,0,0,0
2760,171,Applenut - Buffalo Calamari - Dressing,759,53,10,0,299,"1,183",43,6,14,32,60,155,25,25,0,0,0
2761,171,Applenut - Buffalo Calamari - No Dressing,527,30,6,0,299,793,38,6,14,32,60,155,25,25,0,0,0
2762,171,Applenut - Buffalo Calamari - Balsamic Vinegar - No Oil,546,30,7,0,299,788,50,6,11,30,60,150,25,20,0,0,0
2763,171,Applenut - Buffalo Chicken Tenders - Dressing,760,56,10,0,54,"1,281",43,6,14,27,55,155,20,20,0,0,0
2764,171,Applenut - Buffalo Chicken Tenders - No Dressing,528,32,7,0,54,891,38,6,14,27,55,155,20,20,0,0,0
2765,171,Applenut - Buffalo Chicken Tenders - Balsamic Vinegar - No Oil,548,33,7,0,54,886,51,6,11,26,55,150,20,20,0,0,0
2766,171,Applenut - Buffalo Shrimp - Dressing,816,58,11,0,219,"1,288",44,6,14,36,60,155,25,35,0,0,0
2767,171,Applenut - Buffalo Shrimp - No Dressing,584,34,7,0,219,898,39,6,14,35,60,155,25,35,0,0,0
2768,171,Applenut - Buffalo Shrimp - Balsamic Vinegar - No Oil,669,27,5,0,507,860,40,6,11,77,65,150,35,60,0,0,0
2769,171,Applenut - Chicken Tenders - Dressing,753,56,10,0,54,"1,126",41,6,14,27,50,150,20,20,0,0,0
2770,171,Applenut - Chicken Tenders - No Dressing,521,32,7,0,54,736,36,6,14,27,50,150,20,20,0,0,0
2771,171,Applenut - Chicken Tenders - Balsamic Vinegar - No Oil,540,33,7,0,54,731,49,6,11,26,50,150,20,15,0,0,0
2772,171,Applenut - Fried Calamari - Dressing,751,53,10,0,299,"1,028",41,6,14,32,55,150,25,25,0,0,0
2773,171,Applenut - Fried Calamari - No Dressing,519,30,6,0,299,638,36,6,14,32,55,150,20,20,0,0,0
2774,171,Applenut - Fried Calamari - Balsamic Vinegar - No Oil,538,30,7,0,299,633,48,6,11,30,55,150,20,20,0,0,0
