food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
32970,2546,Battered Fish,260,16,4,4.5,35,790,17,1,0,12,8,2,2,4,0,0,0
32971,2546,Baked Cod,120,4.5,1,0,90,240,1,0,0,22,0,4,2,4,0,0,0
32972,2546,Battered Shrimp,45,3,1,1,15,160,3,0,0,2,2,0,0,0,0,0,0
32973,2546,Popcorn Shrimp (Snack Box),270,16,4,4.5,75,570,23,1,1,9,0,0,35,8,0,0,0
32974,2546,Buttered Lobster Bites (Snack Box),250,9,3,3.5,65,560,27,2,0,14,0,4,4,4,0,0,0
32975,2546,Breaded Clams,240,13,2,2.5,10,"1,110",22,1,5,8,0,0,2,6,0,0,0
32976,2547,Chicken Plank,140,8,2,2.5,20,480,9,1,0,8,4,0,0,4,0,0,0
32977,2548,Fish Sandwich,470,23,5,4.5,45,"1,210",48,3,4,18,4,8,6,15,0,0,0
32978,2548,Ultimate Fish Sandwich,530,28,8,5,60,"1,400",49,3,4,21,8,10,15,15,0,0,0
32979,2548,Chicken Sandwich,360,15,3.5,2.5,25,900,40,3,4,14,4,6,6,15,0,0,0
32980,2549,Shrimp & Seafood Salad,260,12,4.5,2,85,820,22,4,6,18,40,120,35,15,0,0,0
32981,2549,Crispy Chicken Club Salad,510,30,9,6.5,65,"1,550",35,5,4,28,50,120,15,15,0,0,0
32982,2549,Lite Italian Dressing,20,1,0,0,0,780,3,0,2,0,0,0,0,0,0,0,0
32983,2549,Garden Ranch Dressing,230,24,4,0,10,400,2,0,2,1,0,2,2,2,0,0,0
32984,2549,Thousand Island Dressing,220,21,3.5,0,25,350,7,0,6,0,0,2,0,2,0,0,0
32985,2550,Cocktail Sauce,25,0,0,0,0,250,6,0,5,0,0,6,0,0,0,0,0
32986,2550,Tartar Sauce,100,9,1.5,0,15,250,4,0,3,0,0,0,0,0,0,0,0
32987,2551,Regular Fries,230,10,2.5,3,0,350,34,3,0,3,25,0,0,0,0,0,0
32988,2551,Large Fries,390,17,4,5,0,580,56,5,1,4,40,0,0,0,0,0,0
32989,2551,Hushpuppies,60,2.5,0.5,1,0,200,9,1,1,1,0,0,2,2,0,0,0
32990,2551,Lobster Stuffed Crab Cake,170,9,2,0,30,390,16,1,0,6,0,0,6,4,0,0,0
32991,2551,Cole Slaw,200,15,2.5,0,20,340,15,3,10,1,30,8,4,2,0,0,0
32992,2551,Corn Cobbette,90,3,0.5,0,0,0,14,3,6,3,2,8,0,2,0,0,0
32993,2551,Cheesesticks,140,8,2,1.5,10,320,12,1,0,4,0,4,10,4,0,0,0
32994,2551,Rice,180,3.5,1,0,0,540,34,3,1,3,2,25,6,6,0,0,0
32995,2551,Crumblies,170,12,2.5,4,0,420,14,1,0,1,0,0,0,2,0,0,0
32996,2551,Clam Chowder,220,10,4,1,25,810,23,0,8,9,0,6,15,4,0,0,0
32997,2552,Chocolate Cream Pie,310,22,14,1.5,15,170,24,1,18,5,2,4,4,8,0,0,0
32998,2552,Pineapple Cream Pie,290,13,7,1.5,15,210,39,1,26,4,10,4,8,4,0,0,0
32999,2552,Pecan Pie,370,15,2.5,2,40,190,55,2,20,4,2,4,2,6,0,0,0
33000,2553,Cola,145,0,0,0,0,23,37,0,37,0,0,0,0,0,0,0,0
33001,2553,Cola,195,0,0,0,0,28,51,0,51,0,0,0,0,0,0,0,0
33002,2553,Cola,290,0,0,0,0,43,74,0,74,0,0,0,0,0,0,0,0
33003,2553,Diet Cola,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
33004,2553,Diet Cola,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
33005,2553,Diet Cola,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
