food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
33019,2559,Fish,510,29,11,0,15,"1,650",59,2,6,18,0,0,0,0,0,0,0
33020,2559,Fish,590,32,15,0,15,"2,130",71,3,7,25,0,0,0,0,0,0,0
33021,2559,Fish,670,36,18,0,15,"2,610",83,4,8,32,0,0,0,0,0,0,0
33022,2559,Halibut,580,30,4.5,0,45,"1,280",51,0,4,23,0,0,0,0,0,0,0
33023,2560,Fish Bites & Chips,490,17,3.5,0,0,"1,630",94,7,0,7,0,0,0,0,0,0,0
33024,2560,Fish Bites & Chips,830,43,25,0,15,"3,570",107,6,10,46,0,0,0,0,0,0,0
33025,2560,Fish Bites & Chips,"1,070",54,36,0,15,"5,010",143,9,13,67,0,0,0,0,0,0,0
33026,2561,Chicken & Fish Basket,620,27,9,0,45,"1,650",59,1,5,26,0,0,0,0,0,0,0
33027,2561,Shrimp & Fish Basket,650,27,8,0,90,"2,060",83,2,6,25,0,0,0,0,0,0,0
33028,2561,Chicken & Shrimp Basket,760,25,5,0,120,"2,060",84,1,5,33,0,0,0,0,0,0,0
33029,2561,Clams & Fish Basket,740,32,9,0,50,"1,720",91,8,5,30,0,0,0,0,0,0,0
33030,2562,Clam Strip Basket,890,34,6,0,75,"1,670",113,12,4,38,0,0,0,0,0,0,0
33031,2562,Original Recipe Shrimp Basket,800,25,4,0,165,"2,470",107,3,6,32,0,0,0,0,0,0,0
33032,2562,Skippers Platter,930,33,9,0,12,"2,550",122,8,6,42,0,0,0,0,0,0,0
33033,2562,Prawn Seafood Basket,720,40,7,0,280,"1,200",52,0,4,36,0,0,0,0,0,0,0
33034,2562,Popcorn Shrimp Basket,750,25,4.5,0,180,"2,090",96,2,5,33,0,0,0,0,0,0,0
33035,2562,Prawn & Fish Basket,730,41,10,0,235,"1,600",61,2,5,38,0,0,0,0,0,0,0
33036,2562,Shrimp Trio Basket,"1,040",38,9,0,305,"3,020",123,4,7,56,0,0,0,0,0,0,0
33037,2563,Chicken Basket,730,25,7,0,70,"1,650",60,0,4,33,0,0,0,0,0,0,0
33038,2563,Chicken Basket,930,26,9,0,105,"2,170",73,0,4,50,0,0,0,0,0,0,0
33039,2564,Grilled Halibut - Fish only,200,4,0.5,0,60,100,0,0,0,38,0,0,0,0,0,0,0
33040,2564,Grilled Salmon -Fish only,200,6,1.5,0,80,80,0,0,0,33,0,0,0,0,0,0,0
33041,2564,Grilled Chicken Breast - Chicken only,190,4,1,0,95,85,0,0,0,35,0,0,0,0,0,0,0
33042,2565,Fish Sandwich,800,34,9,0,20,"1,780",105,4,14,22,0,0,0,0,0,0,0
33043,2565,Grilled Chicken Sandwich,"1,070",50,13,0,145,"1,510",92,3,12,57,0,0,0,0,0,0,0
33044,2565,Fried Chicken Sandwich,"1,260",49,15,0,105,"2,390",117,3,12,52,0,0,0,0,0,0,0
33045,2566,Caesar,150,13,2.5,0,5,300,8,2,4,2,0,0,0,0,0,0,0
33046,2566,Caesar,300,25,4.5,0,5,590,17,4,7,3,0,0,0,0,0,0,0
33047,2566,Caesar,340,17,3.5,0,100,380,8,2,4,37,0,0,0,0,0,0,0
33048,2566,Caesar,510,29,6,0,125,670,12,2,6,47,0,0,0,0,0,0,0
33049,2566,Caesar,350,19,4,0,80,380,8,2,4,35,0,0,0,0,0,0,0
33050,2566,Caesar,530,36,7,0,95,640,12,2,6,37,0,0,0,0,0,0,0
33051,2566,Green Salad,25,0,0,0,0,20,5,2,3,1,0,0,0,0,0,0,0
33052,2566,Green Salad,45,0,0,0,0,35,10,3,6,3,0,0,0,0,0,0,0
33053,2567,Hush Puppies,240,9,1.5,0,0,820,47,3,0,3,0,0,0,0,0,0,0
33054,2567,Hush Puppies,490,17,3.5,0,0,"1,630",94,7,0,7,0,0,0,0,0,0,0
