food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
33746,2623,All Day Breakfast Panini,343,11.5,2.1,0,0,1.1,37.2,5,2.5,22.7,0,0,0,0,0,0,0
33747,2623,All Day Breakfast Panini,137,4.6,0.8,0,0,0.4,14.8,2,1,9,0,0,0,0,0,0,0
33748,2623,Beef & Horseradish Panini,353,12.5,5.1,0,0,0.9,44.2,2.2,7.4,16,0,0,0,0,0,0,0
33749,2623,Beef & Horseradish Panini,177,6.2,2.5,0,0,0.4,22.1,1.1,3.7,8,0,0,0,0,0,0,0
33750,2623,Breakfast Panini - Bacon,292,10.1,3.1,0,0,0.8,38.4,1.9,3.1,11.9,0,0,0,0,0,0,0
33751,2623,Breakfast Panini - Bacon,258,8.9,2.7,0,0,0.7,34,1.7,2.7,10.5,0,0,0,0,0,0,0
33752,2623,"Breakfast Panini - Egg, Mushroom & Tomato",297,9.8,2.3,0,0,0.6,39.7,2.4,4,12.5,0,0,0,0,0,0,0
33753,2623,"Breakfast Panini - Egg, Mushroom & Tomato",205,6.8,1.6,0,0,0.4,27.4,1.7,2.8,8.6,0,0,0,0,0,0,0
33754,2623,Breakfast Panini - Ham & Egg,334,12.8,4,0,0,1.2,37.1,1.9,1,17.6,0,0,0,0,0,0,0
33755,2623,Breakfast Panini - Ham & Egg,230,8.8,2.8,0,0,0.8,25.6,1.3,0.7,12.1,0,0,0,0,0,0,0
33756,2623,Butternut Squash & Cream Cheese Panini,289,8.6,3.5,0,0,0.8,42.1,2.9,6.7,10.9,0,0,0,0,0,0,0
33757,2623,Butternut Squash & Cream Cheese Panini,139,4.1,1.7,0,0,0.4,20.2,1.4,3.2,5.2,0,0,0,0,0,0,0
33758,2623,Chicken Caesar Panini,473,26,4.1,0,0,0.8,38.6,2.1,3.3,21.2,0,0,0,0,0,0,0
