food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
34579,2663,White Chocolate Mocha,240,8,0,0,15,130,35,0,33,7,4,10,25,2,0,0,0
34580,2663,Sugar Free Caffi Mocha Tall,80,0,0,0,5,90,16,0,9,7,2,6,20,0,0,0,0
34581,2663,Sugar Free Caffi Mocha Grande,120,0,0,0,5,125,23,0,13,10,4,8,25,0,0,0,0
34582,2663,Sugar Free Caffi Mocha XL,140,0,0,0,5,150,28,0,15,12,4,10,30,0,0,0,0
34583,2663,Latte,130,5,0,0,20,130,14,0,11,9,4,15,30,2,0,0,0
34584,2663,Cappuccino,130,5,0,0,20,130,14,0,11,9,4,15,30,2,0,0,0
34585,2663,Caffe Mocha,250,9,0,0,15,135,45,2,39,8,4,10,25,4,0,0,0
34586,2663,Cappuccino AuChocolat,210,10,0,0,20,120,29,1,25,7,4,10,25,2,0,0,0
34587,2663,Chocolate Espresso,80,25,0,0,0,20,18,1,15,1,0,0,0,0,0,0,0
34588,2663,Hot Cocoa,340,12,0,0,40,125,43,0,38,15,4,8,30,0,0,0,0
34589,2663,Hot Spiced Viennese,240,8,0,0,10,35,52,2,46,1,0,0,0,4,0,0,0
34590,2663,Mocha Cream,120,6,0,0,20,85,10,0,9,6,2,10,20,0,0,0,0
34591,2663,Café Carmel,200,7,0,0,20,10,35,0,28,1,0,4,6,0,0,0,0
34592,2663,Beanery Blend,2,0,0,0,0,1,0,0,0,0.1,0,0,0,0.1,0,0,0
34593,2663,Beanery Blend Decaff,2,0,0,0,0,2,0.4,0,0,0.1,0,0,0,0.1,0,0,0
34594,2663,Coffee Brewed Espresso rest-prep,9,0.2,0,0,0,14,1.5,0,0,0,0.2,0,0,0.1,0,0,0
34595,2663,Caramelatte tall,390,15,0,0,55,330,56,0,46,10,4,20,30,2,0,0,0
34596,2663,Caramelatte Grande,490,17,0,0,65,430,74,0,60,14,6,20,40,2,0,0,0
34597,2663,Caramelate XL,580,18,0,0,70,530,90,0,74,17,8,25,50,2,0,0,0
34598,2663,Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34599,2664,White Mocha Frapplatte (Powder to Syrup),460,17,0,0,20,30,76,0,74,1,0,6,4,0,0,0,0
34600,2664,Raspberry Chiller,210,0,0,0,0,10,53,0,53,0,0,0,0,0,0,0,0
34601,2664,Iced Fudge Ripple,160,5,0,0,10,95,29,0,28,2,0,4,6,0,0,0,0
34602,2664,Mocha Frappalatte,410,17,0,0,20,300,70,1,66,2,0,6,4,2,0,0,0
34603,2664,Café Carmel Chiller (Blended),180,6,0,0,10,100,30,0,27,1,0,0,2,0,0,0,0
