food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
35280,2680,DQ Vanilla Soft Serve,140,4.5,3,0,15,70,22,0,19,3,0,10,15,4,0,0,0
35281,2680,DQ Chocolate Soft Serve,150,5,3.5,0,15,75,22,0,17,4,0,10,10,4,0,0,0
35282,2680,Small Vanilla Cone,230,7,4.5,0,20,115,38,0,27,6,2,10,20,6,0,0,0
35283,2680,Medium Vanilla Cone,330,9,6,0,30,160,53,0,38,8,4,15,25,10,0,0,0
35284,2680,Large Vanilla Cone,480,15,9,0.5,45,230,76,0,55,11,6,20,35,15,0,0,0
35285,2680,Small Chocolate Cone,240,8,5,0,20,115,37,0,25,6,0,15,15,6,0,0,0
35286,2680,Medium Chocolate Cone,340,11,7,0,30,160,53,0,34,8,2,15,25,10,0,0,0
35287,2680,Small Dipped Cone,340,17,9,1,20,130,42,1,31,6,2,10,20,6,0,0,0
35288,2680,Medium Dipped Cone,490,24,13,1.5,30,190,59,1,43,8,4,15,25,10,0,0,0
35289,2680,Large Dipped Cone,710,36,17,2.5,45,250,85,0,63,12,6,20,35,15,0,0,0
35290,2681,Small Chocolate Malt,640,16,11,0.5,55,340,111,1,97,15,4,20,45,10,0,0,0
35291,2681,Medium Chocolate Malt,870,22,14,1,70,450,153,2,134,20,4,25,60,10,0,0,0
35292,2681,Large Chocolate Malt,"1,320",35,22,1.5,110,670,222,2,194,29,8,40,90,20,0,0,0
35293,2681,Small Chocolate Shake,560,15,10,0.5,50,280,93,1,83,13,4,20,45,8,0,0,0
35294,2681,Medium Chocolate Shake,760,20,13,1,70,370,129,2,115,17,4,25,60,10,0,0,0
35295,2681,Large Chocolate Shake,"1,140",33,21,1.5,105,550,186,2,165,26,8,40,90,15,0,0,0
35296,2681,Small Arctic Rush™ Slush,220,0,0,0,0,20,56,0,56,0,0,0,0,0,0,0,0
35297,2681,Medium Arctic Rush™ Slush,290,0,0,0,0,30,74,0,74,0,0,0,0,0,0,0,0
35298,2682,Cappuccino MooLatté,490,18,14,0,30,170,68,0,60,7,2,15,25,6,0,0,0
35299,2682,Cappuccino MooLatté,690,23,18,1,50,260,102,0,90,11,2,20,40,10,0,0,0
35300,2682,Mocha MooLatté,590,23,15,0,30,210,80,1,70,8,2,15,25,6,0,0,0
35301,2682,Mocha MooLatté,830,31,19,1,50,310,118,1,103,12,2,20,40,10,0,0,0
35302,2682,French Vanilla MooLatté,570,18,14,0,30,170,87,0,73,7,2,15,25,6,0,0,0
35303,2682,French Vanilla MooLatté,790,23,18,1,50,260,127,0,107,11,2,20,40,10,0,0,0
35304,2682,Caramel MooLatté,630,20,15,1,35,250,96,0,85,9,2,15,30,6,0,0,0
35305,2682,Caramel MooLatté,870,26,19,1,55,360,139,0,124,13,4,20,45,10,0,0,0
35306,2683,Small Strawberry Sundae,240,7,4.5,0,20,110,40,0,35,5,10,15,20,4,0,0,0
35307,2683,Medium Strawberry Sundae,340,9,6,0,30,160,58,1,51,7,15,25,30,8,0,0,0
35308,2683,Large Strawberry Sundae,500,15,9,0,45,230,83,1,72,10,30,25,40,10,0,0,0
35309,2683,Small Chocolate Sundae,280,7,4.5,0,20,140,49,0,42,5,0,10,20,6,0,0,0
35310,2683,Medium Chocolate Sundae,400,10,6,0,30,210,71,0,61,8,0,15,25,8,0,0,0
35311,2683,Large Chocolate Sundae,580,15,10,0,45,260,100,1,87,11,2,20,35,10,0,0,0
35312,2684,Banana Split,510,12,8,0,30,180,96,3,82,8,25,20,25,10,0,0,0
35313,2684,Peanut Buster Parfait,730,31,17,0,35,400,99,2,85,16,2,15,30,10,0,0,0
35314,2684,Brownie Earthquake™,740,27,16,0.5,50,350,112,0,86,10,0,15,25,10,0,0,0
35315,2684,Peanut Butter Blast™,700,37,19,0,35,380,79,2,64,12,2,15,25,6,0,0,0
35316,2685,DQ Sandwich,200,6,3,1,10,140,31,1,18,4,0,4,8,6,0,0,0
35317,2685,Chocolate Dilly Bar,220,13,10,1,15,85,25,0,20,3,0,6,10,0,0,0,0
35318,2685,Buster Bar,500,28,15,1,15,230,45,2,37,11,0,8,20,6,0,0,0
35319,2685,StarKiss,80,0,0,0,0,10,21,0,21,0,0,0,0,0,0,0,0
35320,2685,DQ Fudge Bar,50,0,0,0,0,70,13,0,3,4,0,6,10,0,0,0,0
35321,2685,DQ Vanilla Orange Bar,60,0,0,0,0,40,17,0,2,2,0,2,6,0,0,0,0
35322,2686,Small Oreo Cookies Blizzard,570,21,10,0.5,40,430,83,1,64,11,2,20,35,15,0,0,0
35323,2686,Medium Oreo Cookies Blizzard,700,26,12,1,45,560,103,1,77,13,2,20,40,15,0,0,0
35324,2686,Large Oreo Cookies Blizzard,"1,010",37,18,1.5,70,770,148,2,113,19,4,30,60,25,0,0,0
35325,2686,Small Chocolate Chip Cookie Dough Blizzard,720,28,14,2.5,50,370,105,0,78,12,2,30,35,15,0,0,0
35326,2686,Medium Chocolate Chip Cookie Dough Blizzard,"1,030",40,20,4,70,520,150,0,112,17,2,40,45,20,0,0,0
35327,2686,Large Chocolate Chip Cookie Dough Blizzard,"1,320",52,26,5,90,670,193,0,143,21,4,50,60,25,0,0,0
35328,2686,Small Banana Split Blizzard,460,14,9,0,40,210,73,1,63,10,8,20,35,8,0,0,0
35329,2686,Medium Banana Split Blizzard,580,17,11,0.5,50,260,97,1,83,12,15,25,40,10,0,0,0
35330,2686,Large Banana Split Blizzard,810,23,15,1,70,360,134,2,115,17,20,30,60,15,0,0,0
35331,2686,Small Reese's PB Cup Blizzard,600,21,16,0,40,220,87,0,76,14,0,25,40,10,0,0,0
35332,2686,Medium Reese's PB Cup Blizzard,790,28,22,0.5,50,280,114,0,99,18,0,30,50,15,0,0,0
35333,2686,Large Reese's PB Cup Blizzard,"1,050",38,29,1,70,370,152,0,133,25,0,45,70,20,0,0,0
35334,2686,Small Strawberry CheeseQuake™ Blizzard,530,21,13,1,85,320,76,1,62,10,0,30,40,10,0,0,0
35335,2686,Medium Strawberry CheeseQuake™ Blizzard,730,29,18,1,120,440,105,1,84,13,0,40,50,15,0,0,0
35336,2686,Large Strawberry CheeseQuake™ Blizzard,990,39,24,1.5,160,600,143,1,114,18,0,55,70,20,0,0,0
35337,2687,"8"" Oreo Cookies Blizzard Cakes",490,20,12,1,30,250,67,1,51,8,0,15,25,10,0,0,0
35338,2687,"8"" Reese's PB Cup Blizzard Cake",490,20,13,0,30,190,67,1,54,9,0,15,25,10,0,0,0
35339,2687,"8"" Chocolate Xtreme Blizzard Cake",530,24,14,1,35,250,71,2,54,9,2,15,25,10,0,0,0
35340,2688,"8"" Round Cake (Undecorated)",370,13,8,1,25,280,56,1,42,7,0,10,20,8,0,0,0
35341,2689,DQ Homestyle Burger,290,12,5,0,45,630,29,2,5,17,6,4,6,15,0,0,0
35342,2689,DQ Homestyle Cheeseburger,340,17,8,0,55,850,29,2,5,20,6,10,15,20,0,0,0
35343,2689,DQ Homestyle Double Cheeseburger,540,31,16,0,115,"1,130",30,2,5,35,6,15,25,25,0,0,0
35344,2689,DQ Homestyle Bacon Double Cheeseburger,610,36,18,0,130,"1,380",31,2,6,41,10,15,25,25,0,0,0
35345,2689,DQ Ultimate Burger,670,43,19,0,135,"1,210",29,2,6,40,15,15,25,25,0,0,0
