food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
35383,2698,Banana Split,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35384,2698,Bubble Gum,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35385,2698,Butter Pecan,190,9,6,0,40,70,22,0,22,4,0,8,10,0,0,0,0
35386,2698,Candy Bar Crunch,208,13,8,0,23,41,34,0,18,3,0,6,10,0,0,0,0
35387,2698,Caramel Brownie Sundae,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35388,2698,Chocolate,165,10,7,0,29,16,15,0,14,3,0,8,10,0,0,0,0
35389,2698,Chocolate Chip Cookie Dough,213,11,6,0,34,81,26,0,14,3,0,6,10,0,0,0,0
35390,2698,Java Delight,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35391,2698,Cookies 'n Cream,203,11,7,1,28,79,22,5,17,3,0,7,10,4,0,0,0
35392,2698,Cotton Candy,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35393,2698,Mint Chocolate,165,10,7,0,29,16,15,0,14,3,0,8,10,0,0,0,0
35394,2698,Peanut Butter Chip,165,10,7,0,29,16,15,0,14,3,0,8,10,0,0,0,0
35395,2698,Root Beer Float,111,3,2,0,13,34,20,0,16,1,0,2,4,0,0,0,0
35396,2698,Strawberry,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35397,2698,Tropical Tye Die,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35398,2698,Vanilla,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35399,2699,CherryBerry,91,0,0,0,0,12,23,0,16,0,0,0,0,0,0,0,0
35400,2699,Pink Lemonade,90,0,0,0,0,0,23,0,12,0,0,0,0,0,0,0,0
35401,2699,Rainbow Ice,90,0,0,0,0,0,23,0,12,0,0,0,0,0,0,0,0
35402,2699,Watermelon,90,0,0,0,0,0,23,0,12,0,0,0,0,0,0,0,0
35403,2700,Strawberry Cheesecake Yogurt,100,0,0,0,0,80,21,0,17,4,0,0,8,0,0,0,0
35404,2701,Lemon Lime,100,0,1,0,5,15,21,0,21,1,0,2,4,0,0,0,0
35405,2701,Orange Sherbet,97,1,1,0,3,18,22,0,19,1,0,2,4,0,0,0,0
35406,2701,Red Raspberry,97,1,1,0,3,16,22,0,19,1,0,2,4,0,0,0,0
35407,2702,No Sugar Added Fudge (Fat Free),92,1,0,0,2,95,18,0,7,4,0,0,8,0,0,0,0
35408,2702,No Sugar Added Vanilla (Low Fat),123,6,4,0,15,35,13,0,1,3,0,4,10,0,0,0,0
35409,2703,Banana Split,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35410,2703,Chocolate,165,10,7,0,29,16,15,0,14,3,0,8,10,0,0,0,0
35411,2703,Mint Chocolate,165,10,7,0,29,16,15,0,14,3,0,8,10,0,0,0,0
35412,2703,Cookies 'n Cream,203,11,7,1,28,79,22,5,17,3,0,7,10,4,0,0,0
35413,2703,Rainbow Ice,90,0,0,0,0,0,23,0,12,0,0,0,0,0,0,0,0
35414,2703,Strawberry,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35415,2703,Strawberry Cheesecake Yogurt,100,0,0,0,0,80,21,0,17,4,0,0,8,0,0,0,0
35416,2703,Vanilla,170,10,7,0,32,22,16,0,14,3,0,8,10,0,0,0,0
35417,2704,Banana Split Cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35418,2704,Confetti Cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35419,2704,Fudge Frenzy Cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35420,2704,Cookie Dough Dotwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35421,2704,Mint Chocolate Dotwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35422,2704,Vanilla Fudge Dotwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35423,2704,Dippin Stix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
