food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
35861,2748,Yogurt (Soft Serve Yogurt),23,0,0,0,0,15,4,0,0,1,0,0,0,0,0,0,0
35862,2748,Hand Dipped Ice Cream,150,6,0,0,100,35,22,0,0,5,0,0,0,0,0,0,0
35863,2749,Jamaican Jammer,355,0,0,0,0,177,78,2,69,12,160,100,40,4,0,0,0
35864,2749,Strawberry Squeeze,313,0,0,0,0,176,68,1,62,11,180,100,40,4,0,0,0
35865,2749,All That Razz,360,0,0,0,0,179,79,3,69,12,150,110,40,4,0,0,0
35866,2749,Peachy Pineapple,327,0,0,0,0,181,69,2,63,11,170,110,40,2,0,0,0
35867,2749,Blueberry Bay,376,0,0,0,0,185,81,4,75,12,120,100,40,0,0,0,0
35868,2749,Caribbean Craze,288,0,0,0,0,16,73,2,66,1,150,100,30,8,0,0,0
35869,2749,Strawberry Shooter,246,0,0,0,0,15,64,1,59,1,170,100,30,8,0,0,0
35870,2749,Raspberry Royale,270,0,0,0,0,20,67,3,59,1,210,110,30,6,0,0,0
35871,2749,Peach Sunset,268,0,0,0,0,21,67,2,61,1,170,100,30,6,0,0,0
35872,2749,Berry Breeze,306,0,0,0,0,24,77,3,70,1,140,100,30,6,0,0,0
35873,2749,Strawberry Oasis,89,0,0,0,0,17,49,1,9,1,170,100,30,8,0,0,0
35874,2749,Mango Beach,90,0,0,0,0,23,48,1,5,0,130,130,30,6,0,0,0
35875,2749,Strawberry Sunrise,153,0,0,0,14,162,35,1,6,10,170,110,40,6,0,0,0
35876,2749,Peach Passion,152,0,0,0,14,169,32,1,5,10,160,110,35,2,0,0,0
35877,2749,Maui Mango,292,0,0,0,0,22,74,2,60,1,160,150,30,6,0,0,0
35878,2749,Mystic Mango,357,3,0,0,10,47,82,2,53,3,170,150,35,4,0,0,0
35879,2749,Pina Collider,429,4,0,0,0,187,88,2,81,12,120,100,40,2,0,0,0
35880,2749,Orange Sunrise,353,3,0,0,10,41,81,2,59,3,170,100,35,6,0,0,0
35881,2749,Orange Shooter,334,3,0,0,10,41,77,1,55,3,200,100,35,8,0,0,0
35882,2749,Pineapple Paradise,331,4,0,0,0,25,77,1,72,0,160,100,30,6,0,0,0
35883,2750,Gourmet Pretzels,255,3,0.3,0,0,390,49,2,8,7,0,0,10,10,0,0,0
35884,2750,Pretzels Gourmet Pretzel Bites,"2,000",65,20,0,300,"2,400",300,25,0,0,0,0,0,0,0,0,0
