food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
35885,2751,Non-Fat Flavors,68,0,0,0,0,76,15,0,9,3,10,4,0,0,0,0,0
35886,2751,Non-Fat Flavors,136,0,0,0,0,152,30,0,18,6,20,8,0,0,0,0,0
35887,2751,Non-Fat Flavors,170,0,0,0,0,190,36,0,23,8,25,10,0,0,0,0,0
35888,2751,Non-Fat Flavors,204,0,0,0,0,228,45,0,27,9,30,12,0,0,0,0,0
35889,2751,Non-Fat Flavors,272,0,0,0,0,304,60,0,36,12,40,16,0,0,0,0,0
35890,2751,HeathBar Flavor-99% Fat-free,90,1,1,0,5,80,21,0,15,3,10,4,0,0,0,0,0
35891,2751,HeathBar Flavor-99% Fat-free,180,2,1,0,5,160,42,0,30,6,20,8,0,0,0,0,0
35892,2751,HeathBar Flavor-99% Fat-free,225,2,1,0,5,200,53,0,38,8,25,10,0,0,0,0,0
35893,2751,HeathBar Flavor-99% Fat-free,270,3,1,0,5,240,63,0,45,9,30,12,0,0,0,0,0
35894,2751,HeathBar Flavor-99% Fat-free,360,4,1,0,5,320,84,0,60,12,40,16,0,0,0,0,0
35895,2752,Waffle Cone,90,1,0,0,0,35,20,0,7,2,0,0,0,4,0,0,0
35896,2752,Cake Cone,25,0,0,0,0,15,5,0,0,0,0,0,0,2,0,0,0
35897,2753,Roasted Almonds,170,16,1,0,0,85,5,3,1,6,8,0,0,6,0,0,0
35898,2753,Peanuts,210,18,3,0,0,110,5,3,0,10,2,0,0,2,0,0,0
35899,2753,Walnuts,200,16,2,0,0,0,10,4,1,7,4,0,0,8,0,0,0
35900,2754,Raspberries,40,0,0,0,0,0,10,2,4,1,1,0,8,3,0,0,0
35901,2754,Boysenberries,55,0,0,0,0,0,13,2,6,1,2,0,2,3,0,0,0
35902,2754,Mixed Berries,40,0,0,0,0,0,10,4,5,1,4,2,2,4,0,0,0
35903,2754,Fresh Strawberries,25,0,0,0,0,0,6,2,4,1,11,0,45,1,0,0,0
35904,2754,Strawberry Topping,120,0,0,0,0,10,28,0,26,0,0,0,15,0,0,0,0
35905,2754,Raspberry Topping,140,0,0,0,0,90,36,0,34,0,0,0,4,4,0,0,0
35906,2754,Pineapple Topping,120,0,0,0,0,5,14,0,14,0,0,0,2,0,0,0,0
35907,2755,Fudge,240,9,8,0,0,110,38,1,36,2,8,0,0,0,0,0,0
35908,2755,"Fudge, Fat-Free",200,0,0,0,0,230,48,0,42,1,2,0,0,12,0,0,0
35909,2755,"Fudge, Fat-Free & Sugar-Free",220,0,0,0,0,70,50,1,1,2,4,0,0,8,0,0,0
35910,2755,Caramel,260,0.5,0,0,5,150,60,0,22,0,0,0,0,0,0,0,0
35911,2755,Hot Buttered Pecans,300,9,2,0,0,80,52,0,23,2,0,0,0,0,0,0,0
35912,2755,Spiced Apples,100,0,0,0,0,50,28,0,26,0,0,0,260,0,0,0,0
35913,2755,Cherries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35914,2755,Marshmallow Creme,200,0,0,0,0,90,48,0,19,0,0,0,0,0,0,0,0
35915,2756,Cookie Dough Pieces,216,9,3,0,0,190,35,1,23,1,0,0,0,0,0,0,0
35916,2756,Graham Cracker Crumbs,130,3,0.5,0,0,190,25,1,8,2,15,0,0,6,0,0,0
35917,2756,Brownies,180,9,2,2.5,35,55,22,1,0,0,0,4,0,8,0,0,0
35918,2756,"Brownies, Fat-Free",120,1,0,0,0,115,22,1,0,5,2,0,0,8,0,0,0
35919,2756,OREO Cookies,135,6,1,0,0,185,20,1,11,2,0,0,0,0,0,0,0
35920,2756,Crunchy Granola,210,0,0,0,0,30,23,8,0,17,0,15,0,3,0,0,0
35921,2756,Fat-Free Granola,120,0,0,0,0,0,0,8,3.5,7.5,0,12,0,3,0,0,0
35922,2757,Butterfinger Candy,202,8,4,0,0,97,33,1,15,3,2,0,0,2,0,0,0
35923,2757,Reese's Peanut Butter Cups,230,13,5,0,5,130,23,1,20,4,2,0,0,2,0,0,0
35924,2757,S'mores,230,11,6,0,5,65,31,1,21,2,4,0,0,2,0,0,0
35925,2757,Almond Roca,210,15,7,0,15,125,18,1,17,3,2,0,0,2,0,0,0
35926,2757,Nestle Crunch Bar,220,11,7,0,5,40,30,1,23,2,4,0,0,0,0,0,0
35927,2757,Gummi Bears,110,0,0,0,0,10,25,0,18,2,0,0,0,0,0,0,0
35928,2757,Heath Candy Bar,220,13,7,0,10,140,24,0,24,1,2,0,0,0,0,0,0
35929,2757,Sno Caps,135,7,5,0,6,112,15,0,14,1,2,2,0,2,0,0,0
35930,2757,M & M's Candy,240,10,6,0,5,30,34,1,31,2,4,0,0,2,0,0,0
35931,2757,Peanut M & M's,250,13,5,0,5,25,30,2,25,5,4,0,0,2,0,0,0
35932,2757,Snickers Candy,210,10,4,0,5,105,26,1,22,3,4,0,0,2,0,0,0
35933,2757,Andes Mints,200,13,11,0,0,20,22,1,20,2,0,0,4,2,0,0,0
35934,2757,Rainbow Sno Caps,135,7,5,0,6,112,15,0,14,1,2,2,0,2,0,0,0
35935,2757,Jelly Bellies,210,0,0,0,0,15,55,0,42,0,0,0,0,0,0,0,0
35936,2757,Whoppers Candy,190,7,6,0,0,135,31,1,25,1,8,0,0,2,0,0,0
35937,2757,Reese's Pieces,220,11,7,0,0,80,26,1,23,5,2,0,0,0,0,0,0
35938,2757,Chocolate Mint Cookies,170,5,3,0,0,0,31,4,27,1,0,0,0,0,0,0,0
35939,2757,Chocolate Almonds,220,13,6,0,10,10,22,2,19,3,4,0,0,6,0,0,0
35940,2757,Chocolate Raisens,170,6,5,0,10,10,28,1,26,1,0,0,0,4,0,0,0
35941,2757,Chocolate Chips,195,10,7,0,0,0,24,1.5,21,2,0,0,6,0,0,0,0
35942,2757,White Chocolate Chips,240,13,12,0,5,67,27,0,27,3,12,0,0,0,0,0,0
35943,2757,Carob Chips,225,12,9,0,0,60,31,0,18,1,6,0,0,0,0,0,0
35944,2757,Yogurt Chips,0,28,3,0,4,150,67,0,0,1,0,4,1,0,0,0,0
35945,2757,Mixed Chips,217,11,9,0,5,33,25,1,10,1,6,0,3,0,0,0,0
35946,2757,Chocolate Sprinkles,31,0,0,0,0,30,7,0,7,0,0,5,0,0,0,0,0
35947,2757,Carob Sprinkles,31,0,0,0,0,140,7,0,7,0,0,0,0,0,0,0,0
35948,2757,Rainbow Sprinkles,31,0,0,0,0,140,7,0,7,0,0,0,0,0,0,0,0
35949,2757,Cappuccino Pieces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35950,2757,Caramel Cups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
