food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
35951,2758,Baileys Irish Cream,270,17,10,0.5,115,70,23,0,22,5,0,10,15,0,0,0,0
35952,2758,Almond Hazelnut Swirl,320,22,10,0,100,100,26,1,22,5,0,8,8,2,0,0,0
35953,2758,Banana Split,280,16,9,0,90,70,31,0,27,4,2,8,10,2,0,0,0
35954,2758,Black Raspberry Chip,280,18,11,0.5,100,55,24,0,24,5,0,10,10,4,0,0,0
35955,2758,Black Walnut,300,22,11,0.5,105,85,21,0,19,5,0,8,10,2,0,0,0
35956,2758,Butter Pecan,310,23,11,0.5,110,110,21,1,18,5,0,10,15,2,0,0,0
35957,2758,Caramel Cone,320,19,10,0.5,100,190,32,0,27,4,0,10,10,2,0,0,0
35958,2758,Cherry Vanilla,240,15,9,0.5,100,60,23,0,22,4,2,10,10,0,0,0,0
35959,2758,Chocolate,270,18,11,0.5,115,60,22,1,21,5,0,10,15,6,0,0,0
35960,2758,Chocolate Chip Cookie Dough,310,20,12,0,95,125,29,0,24,4,0,10,10,2,0,0,0
35961,2758,Chocolate Chocolate Chip,300,20,12,0.5,105,55,26,2,24,5,0,10,10,8,0,0,0
35962,2758,Chocolate Peanut Butter,360,24,11,0,100,100,27,2,24,8,0,10,10,10,0,0,0
35963,2758,Coffee,270,18,11,0.5,120,70,21,0,21,5,0,15,15,0,0,0,0
35964,2758,Cookies & Cream,270,17,10,0.5,105,95,23,0,21,5,0,10,15,2,0,0,0
35965,2758,Crème Brulée,280,19,12,0.5,120,75,23,0,22,4,0,6,15,2,0,0,0
35966,2758,Dulce De Leche,290,17,10,0.5,100,95,28,0,28,0,0,10,15,0,0,0,0
35967,2758,Eggnog,300,18,11,0.5,145,100,30,0,24,4,0,10,10,2,0,0,0
35968,2758,English Toffee,350,22,13,0.5,110,150,33,0,31,4,0,10,10,0,0,0,0
35969,2758,German Chocolate Cake (January to October),300,18,11,0,90,110,29,1,24,5,0,10,10,6,0,0,0
35970,2758,Macadamia Brittle,300,20,12,0.5,110,110,25,0,24,4,0,10,15,0,0,0,0
35971,2758,Mango,250,14,8,0,85,50,28,1,27,4,8,20,10,0,0,0,0
35972,2758,Mayan Chocolate,310,19,11,0.5,90,55,29,1,26,5,0,10,10,15,0,0,0
35973,2758,Mint Chip,300,19,12,0.5,105,85,26,1,23,5,0,10,10,4,0,0,0
35974,2758,Mocha Almond Fudge,340,23,12,0.5,100,85,28,1,26,5,0,6,10,4,0,0,0
35975,2758,Peaches & Cream,240,12,7,0,75,55,29,0,27,3,2,8,6,2,0,0,0
35976,2758,Pineapple Coconut,230,13,8,0.5,90,55,25,0,24,4,0,10,10,0,0,0,0
35977,2758,Pistachio,290,20,11,0.5,110,80,22,1,19,5,0,15,10,2,0,0,0
35978,2758,Rocky Road,300,18,9,0,90,75,29,1,24,5,0,10,10,8,0,0,0
35979,2758,Rum Raisin,150,17,10,0.5,110,60,22,0,21,4,0,10,10,0,0,0,0
35980,2758,Strawberry,250,16,10,0.5,95,65,23,1,22,4,10,10,15,0,0,0,0
35981,2758,Strawberry Cheesecake,260,15,8,0.5,95,80,27,0,25,4,0,10,8,0,0,0,0
35982,2758,Strawberry Shortcake (February to July),260,14,9,0,95,80,29,0,18,4,4,8,10,2,0,0,0
35983,2758,Triple Chocolate,330,21,14,0,95,105,31,1,29,5,0,8,8,6,0,0,0
35984,2758,Vanilla,270,18,11,0.5,120,70,21,0,21,5,0,15,15,0,0,0,0
35985,2758,Vanilla Bean,290,18,11,0.5,105,75,26,0,26,5,0,10,10,2,0,0,0
35986,2758,Vanilla Chocolate Chip,310,20,12,0.5,105,75,26,1,22,5,0,10,10,4,0,0,0
35987,2758,Vanilla Fudge,290,18,12,0.5,100,95,26,0,24,5,0,10,15,2,0,0,0
35988,2758,Vanilla Fudge Brownie,300,19,11,0,105,100,28,0,24,5,0,8,8,4,0,0,0
35989,2758,Vanilla Swiss Almond,300,20,11,0.5,105,75,24,1,21,5,0,10,10,2,0,0,0
35990,2758,White Chocolate Raspberry Truffle,310,18,10,0,105,65,32,1,28,5,0,6,8,2,0,0,0
35991,2759,Blueberry Cheesecake,230,7,4.5,0,60,115,36,0,28,5,0,6,10,2,0,0,0
35992,2759,Caramel Cone,250,8,5,0,50,130,39,0,30,6,0,6,15,0,0,0,0
35993,2759,Cherry Fudge Truffle,230,7,4,0,50,40,37,0,33,5,0,4,10,2,0,0,0
35994,2759,Chocolate Fudge Brownie,210,5,3,0,50,95,37,1,17,5,0,6,8,6,0,0,0
35995,2759,Coffee,210,7,4,0,65,85,32,0,20,5,0,6,10,2,0,0,0
35996,2759,Cookie Dough,260,8,5,0,50,105,41,0,30,6,0,6,15,4,0,0,0
35997,2759,Cookies & Cream,210,6,3.5,0,45,80,33,0,18,6,0,4,10,2,0,0,0
35998,2759,Dulce De Leche,220,7,4.5,0,60,110,33,0,25,5,0,6,15,0,0,0,0
35999,2759,Dutch Chocolate,190,5,3,0,55,95,33,1,15,4,0,4,10,4,0,0,0
