food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
36834,2829,Chocolate Shake,"1,200",72,42,2.5,240,355,125,2,98,14,6,50,45,8,0,0,0
36835,2829,Chocolate Shake,800,22,14,0.5,70,385,135,2,106,17,8,15,55,8,0,0,0
36836,2829,Chocolate Shake,850,39,24,1,120,350,115,2,88,15,6,25,50,8,0,0,0
36837,2829,Chocolate Shake,730,21,13,0,50,475,128,2,97,12,4,10,40,8,0,0,0
36838,2829,Caramel Shake,"1,240",74,44,3,250,410,129,0,101,14,6,50,50,2,0,0,0
36839,2829,Strawberry Shake,"1,090",70,40,2.5,240,250,106,1,94,13,45,50,45,2,0,0,0
36840,2829,Vanilla Shake,"1,080",72,42,2.5,240,265,97,0,82,13,6,50,40,2,0,0,0
36841,2829,Root Beer Shake,"1,080",72,42,2.5,240,260,97,0,82,13,6,50,40,2,0,0,0
36842,2829,Pineapple Shake,"1,210",72,42,2.5,240,290,128,0,113,13,10,50,40,6,0,0,0
36843,2829,Butterscotch Shake,"1,330",72,42,2.5,240,460,156,0,131,13,6,50,40,2,0,0,0
36844,2829,Cherry Shake,"1,080",72,42,2.5,240,260,97,0,82,13,6,50,40,2,0,0,0
36845,2829,Raspberry Shake,"1,140",72,42,2.5,240,260,112,0,97,13,20,50,45,2,0,0,0
36846,2829,Banana Shake,"1,180",72,42,2.5,240,260,121,3,103,14,25,50,45,2,0,0,0
36847,2829,Banana Bread Shake,"1,360",75,43,3,250,265,156,4,119,17,25,50,45,10,0,0,0
36848,2829,Berry Berry Shake,"1,150",72,42,2.5,240,260,113,1,98,13,35,50,45,2,0,0,0
36849,2829,Black Forest Shake,"1,190",73,43,2.5,230,230,117,2,103,15,5,50,45,15,0,0,0
36850,2829,Candy Bar Shake,"1,550",96,44,2.5,215,735,157,6,118,24,6,45,50,20,0,0,0
36851,2829,Caramel Banana Shake,"1,340",75,44,3,250,410,156,3,124,16,25,50,50,4,0,0,0
36852,2829,Dreamsicle Shake,"1,100",75,44,2.5,240,255,101,0,86,13,40,50,40,2,0,0,0
36853,2829,Fluffy Cookie Shake,"1,390",72,41,3,230,415,171,1,131,13,6,50,45,10,0,0,0
36854,2829,Raspberry Vanilla Shake,"1,120",72,42,2.5,240,265,107,0,98,13,15,50,45,2,0,0,0
36855,2829,Taffy Apple Shake,"1,510",98,44,2.5,230,705,142,4,109,23,6,50,50,15,0,0,0
36856,2829,Triple Chocolate Shake,"1,300",76,45,2.5,235,340,141,4,119,18,6,50,50,20,0,0,0
36857,2829,Chocolate Malt,"1,290",74,43,2.5,245,440,140,2,108,17,6,50,49,8,0,0,0
36858,2829,Chocolate Malt,890,24,15,0.5,75,470,150,2,116,20,8,15,59,8,0,0,0
36859,2829,Chocolate Malt,940,41,25,1,125,435,130,2,98,18,6,25,54,8,0,0,0
36860,2829,Chocolate Malt,820,23,14,0,55,560,143,2,107,15,4,10,44,8,0,0,0
36861,2829,Caramel Malt,"1,330",76,45,3,255,495,144,0,111,17,6,50,54,2,0,0,0
36862,2829,Strawberry Malt,"1,180",72,41,2.5,245,335,121,1,104,16,45,50,49,2,0,0,0
36863,2829,Vanilla Malt,"1,170",74,43,2.5,245,350,112,0,92,16,6,50,44,2,0,0,0
36864,2829,Root Beer Malt,"1,170",74,43,2.5,245,345,112,0,92,16,6,50,44,2,0,0,0
36865,2829,Pineapple Malt,"1,300",74,43,2.5,245,375,143,0,123,16,10,50,44,6,0,0,0
36866,2829,Butterscotch Malt,"1,420",74,43,2.5,245,545,171,0,141,16,6,50,44,2,0,0,0
36867,2829,Cherry Malt,"1,170",74,43,2.5,245,345,112,0,92,16,6,50,44,2,0,0,0
36868,2829,Raspberry Malt,"1,230",74,43,2.5,245,345,127,0,107,16,20,50,49,2,0,0,0
36869,2829,Banana Malt,"1,270",74,43,2.5,245,345,136,3,113,17,25,50,49,2,0,0,0
36870,2829,Banana Bread Malt,"1,450",77,44,3,255,350,171,4,129,20,25,50,49,10,0,0,0
36871,2829,Berry Berry Malt,"1,240",74,43,2.5,245,345,128,1,108,16,35,50,49,2,0,0,0
36872,2829,Black Forest Malt,"1,280",75,44,2.5,235,315,132,2,113,18,5,50,49,15,0,0,0
36873,2829,Candy Bar Malt,"1,640",98,45,2.5,220,820,172,6,128,27,6,45,54,20,0,0,0
36874,2829,Caramel Banana Malt,"1,430",77,45,3,255,495,171,3,134,19,25,50,54,4,0,0,0
36875,2829,Dreamsicle Malt,"1,190",77,45,2.5,245,340,116,0,96,16,40,50,44,2,0,0,0
36876,2829,Fluffy Cookie Malt,"1,480",74,42,3,235,500,186,1,141,16,6,50,49,10,0,0,0
36877,2829,Raspberry Vanilla Malt,"1,210",74,43,2.5,245,350,122,0,108,16,15,50,49,2,0,0,0
36878,2829,Taffy Apple Malt,"1,600",100,45,2.5,235,790,157,4,119,26,6,50,54,15,0,0,0
36879,2829,Triple Chocolate Malt,"1,390",78,46,2.5,240,425,156,4,129,21,6,50,54,20,0,0,0
36880,2830,Strawberry Sundae,630,39,23,1.5,135,130,66,1,58,7,40,25,25,2,0,0,0
36881,2830,Chocolate Sundae,690,39,23,1.5,135,230,79,2,60,7,2,25,25,8,0,0,0
36882,2830,Pineapple Sundae,700,39,23,1.5,135,160,81,0,75,7,10,25,20,4,0,0,0
36883,2830,Butterscotch Sundae,820,39,23,1.5,200,330,109,0,93,7,2,25,20,0,0,0,0
36884,2830,Marshmallow Sundae,740,39,23,1.5,135,195,92,0,73,7,2,25,25,0,0,0,0
36885,2830,Caramel Sundae,730,41,24,1.5,145,285,82,0,63,8,4,30,25,0,0,0,0
36886,2830,Raspberry Sundae,630,39,22,1.5,135,130,65,0,59,0,15,25,25,0,0,0,0
36887,2831,Banana Royal,"1,300",79,34,2,180,360,143,7,116,14,50,40,35,10,0,0,0
36888,2831,Banana Royal,"1,020",44,14,0.5,65,395,146,7,118,17,45,15,50,8,0,0,0
36889,2831,Banana Royal,"1,060",57,22,0,105,365,130,7,104,15,45,25,45,8,0,0,0
36890,2831,Banana Royal,970,44,14,0,55,460,140,7,111,13,45,15,35,8,0,0,0
36891,2831,Hot Fudge Brownie Sundae,"1,230",77,31,3,185,495,130,6,105,17,6,30,40,20,0,0,0
36892,2831,Hot Fudge Brownie Sundae,"1,040",52,17,2,95,510,135,6,109,19,6,15,45,20,0,0,0
36893,2831,Hot Fudge Brownie Sundae,"1,060",60,23,2,120,490,125,6,100,18,6,20,45,20,0,0,0
36894,2831,Hot Fudge Brownie Sundae,"1,000",51,17,1.5,90,555,131,6,104,16,4,10,35,20,0,0,0
36895,2831,Hot Fudge Sundae,830,46,27,1.5,150,260,99,1,88,12,6,30,35,6,0,0,0
36896,2831,Hot Fudge Sundae,630,20,13,0.5,65,275,104,2,92,13,6,10,45,6,0,0,0
36897,2831,Hot Fudge Sundae,660,29,18,1,90,255,93,2,83,12,6,15,40,4,0,0,0
36898,2831,Hot Fudge Sundae,600,20,13,0,55,320,100,2,87,11,4,10,35,4,0,0,0
36899,2831,Turtle Candy Sundae,"1,020",69,28,1.5,145,345,95,4,76,13,4,30,35,8,0,0,0
36900,2831,Turtle Candy Sundae,820,44,14,0.5,60,360,100,4,80,14,6,15,40,8,0,0,0
36901,2831,Turtle Candy Sundae,850,52,20,1,85,340,90,4,71,13,6,30,35,8,0,0,0
36902,2831,Turtle Candy Sundae,790,43,14,0.5,50,400,96,4,76,12,4,10,30,8,0,0,0
36903,2831,Rocky Road Sundae,960,57,26,1.5,130,325,100,4,77,17,4,25,20,10,0,0,0
36904,2831,Apple-Cin Sundae,840,40,23,1.5,135,320,112,0,78,9,4,30,25,2,0,0,0
36905,2831,Tin Roof Sundae,940,56,25,1.5,135,340,98,3,74,17,2,25,25,4,0,0,0
36906,2831,Oreo Sundae,830,41,23,2,130,330,111,2,81,8,4,25,25,15,0,0,0
36907,2831,Choc PB Sundae,770,47,23,1,117,350,81,4,60,13,2,25,20,20,0,0,0
36908,2831,Strawberry Shortcake Sundae,730,37,20,1,160,300,93,2,76,8,55,25,25,8,0,0,0
36909,2831,Caramel Cream Sundae,860,41,23,1.5,175,490,112,1,82,11,4,30,30,6,0,0,0
36910,2832,Ice Cream,580,27,18,1,90,225,70,1,60,13,6,15,45,0,0,0,0
36911,2832,French Vanilla Yogurt,460,10,6,0,25,350,83,1,69,10,4,6,35,0,0,0,0
36912,2832,Oreo Cookie Pieces w/ Ice Cream,850,40,20,3,90,520,110,3,83,15,6,15,45,15,0,0,0
36913,2832,Reese's Cups - Chopped w/ Ice Cream,890,44,24,1,95,390,102,1,87,19,6,15,49,4,0,0,0
36914,2832,Snickers - Chopped w/ Ice Cream,850,40,23,1,100,365,99,2,89,17,6,17,49,2,0,0,0
36915,2832,M & M's w/ Ice Cream,860,40,25,1,110,260,110,2,96,15,6,19,51,4,0,0,0
36916,2832,Heath Bars - Crushed w/ Ice Cream,890,45,26,3.5,105,445,106,2,93,15,6,19,49,0,0,0,0
36917,2832,Butterfingers - Crushed w/ Ice Cream,840,37,24,1,90,355,111,2,87,17,6,15,47,2,0,0,0
36918,2832,Cookie Dough Pieces w/ Ice Cream,810,35,23,1,120,405,109,1,84,15,6,19,49,2,0,0,0
36919,2832,Oreo Cookie Pieces w/ French Vanilla Yogurt,730,23,8,2,25,645,123,3,92,12,4,6,35,15,0,0,0
36920,2832,Reese's Cups - Chopped w/ French Vanilla Yogurt,770,27,12,0,30,515,115,1,96,16,4,6,39,4,0,0,0
36921,2832,Snickers - Chopped w/ French Vanilla Yogurt,730,23,11,0,35,490,112,2,98,14,4,8,39,2,0,0,0
36922,2832,M & M's w/ French Vanilla Yogurt,740,23,13,0,45,385,123,2,105,12,4,10,41,4,0,0,0
36923,2832,Heath Bars - Crushed w/ French Vanilla Yogurt,770,28,14,2.5,40,570,119,2,102,12,4,10,39,0,0,0,0
36924,2832,Butterfingers - Crushed w/ French Vanilla Yogurt,720,20,12,0,25,480,124,2,96,14,4,6,37,2,0,0,0
36925,2832,Cookie Dough Pieces w/ French Vanilla Yogurt,690,18,11,0,55,530,122,1,93,12,4,10,39,2,0,0,0
36926,2833,Strawberry-Banana,440,1,0,0,0,30,110,6,94,2,110,2,4,8,0,0,0
36927,2833,Strawberry-Raspberry,370,0,0,0,0,30,92,3,79,0,100,0,4,6,0,0,0
36928,2833,Strawberry,370,0,0,0,0,30,93,3,79,0,110,0,4,6,0,0,0
36929,2833,Peach,360,0,0,0,0,5,88,2,85,1,230,2,2,2,0,0,0
36930,2833,Mango,350,0,0,0,0,0,85,0,70,0,0,70,0,0,0,0,0
36931,2833,Raspberry,380,0,0,0,0,41,94,1,90,1,0,0,2,10,0,0,0
