food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
38399,2934,Cinnamon Oatmeal Raisin,420,3,1,0,0,0,86,9,0,19,0,0,0,0,0,0,0
38400,2934,Banana Nut,400,12,1.5,0,5,0,67,9,0,14,0,0,0,0,0,0,0
38401,2934,Coconut,440,13,10,0,5,0,70,8,0,17,0,0,0,0,0,0,0
38402,2934,Blueberry Muffin,370,4,1.5,0,5,0,76,9,0,15,0,0,0,0,0,0,0
38403,2934,Chocolate Peanut Butter Cup,380,13,3,0,5,0,48,6,0,23,0,0,0,0,0,0,0
38404,2935,Mocha,209,0.7,0.1,0,1.1,169.4,44.4,0.8,0,6.8,0,0,0,0,0,0,0
38405,2935,Hazelnut,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
38406,2935,Amaretto,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
38407,2935,Irish Creme,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
38408,2935,French Roast,164,0.3,0.1,0,1.1,124.1,34.5,0.4,0,6,0,0,0,0,0,0,0
38409,2935,French Vanilla,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
38410,2936,Mocha,266,2.2,0.6,0,1.1,170.9,55.3,4.6,0,9.7,0,0,0,0,0,0,0
38411,2936,Hazelnut,177,1.8,0.6,0,1.1,125.5,33.6,4.2,0,8.8,0,0,0,0,0,0,0
38412,2936,Amaretto,177,1.8,0.6,0,1.1,125.5,33.6,4.2,0,8.8,0,0,0,0,0,0,0
38413,2936,Irish Creme,177,1.8,0.6,0,1.1,125.5,33.6,4.2,0,8.8,0,0,0,0,0,0,0
38414,2936,French Roast,177,1.8,0.6,0,1.1,124.9,33.6,4.2,0,8.8,0,0,0,0,0,0,0
38415,2936,French Vanilla,177,1.8,0.6,0,1.1,125.5,33.6,4.2,0,8.8,0,0,0,0,0,0,0
38416,2937,Mocha,206,0.1,0.1,0,1.1,214.5,42.3,1.3,0,7.6,0,0,0,0,0,0,0
38417,2937,Hazelnut,118,0.1,0.1,0,1.1,123.8,23.1,0.4,0,6,0,0,0,0,0,0,0
38418,2937,Amaretto,118,0.1,0.1,0,1.1,123.8,23.1,0.4,0,6,0,0,0,0,0,0,0
38419,2937,Irish Creme,118,0.1,0.1,0,1.1,123.8,23.1,0.4,0,6,0,0,0,0,0,0,0
38420,2937,French Roast,164,0.1,0.1,0,1.1,124.4,34.5,0.4,0,6,0,0,0,0,0,0,0
38421,2937,French Vanilla,118,0.1,0.1,0,1.1,123.8,23.1,0.4,0,6,0,0,0,0,0,0,0
38422,2938,Mocha,209,0.7,0.1,0,1.1,169.4,44.4,0.8,0,6.8,0,0,0,0,0,0,0
38423,2938,Hazelnut,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
38424,2938,Amaretto,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
38425,2938,Irish Creme,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
38426,2938,French Roast,164,0.3,0.1,0,1.1,124.1,34.5,0.4,0,6,0,0,0,0,0,0,0
38427,2938,French Vanilla,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
38428,2939,Go Goji,303,0,0,0,0,35,80,0,0,1,0,0,0,0,0,0,0
38429,2939,Green Tea Tango,300,4,2,0,44,138,57,2,0,11,0,0,0,0,0,0,0
38430,2939,Mangosteen Madness,292,0,0,0,0,25,71,1,0,1,0,0,0,0,0,0,0
38431,2939,Passion Passport,315,0.5,0.2,0,0,29,78,2.5,0,2,0,0,0,0,0,0,0
38432,2939,Açaí Adventure,481,4,0.2,0,1,152,104,3,0,7,0,0,0,0,0,0,0
38433,2940,Angel Food,330,0.5,0.2,0,2,71,79,4,0,6,0,0,0,0,0,0,0
38434,2940,Blackberry Dream,343,0.3,0,0,0,39,86,3,0,2,0,0,0,0,0,0,0
38435,2940,Blueberry Heaven,260,1,0,0,3,200,58,2,0,7,0,0,0,0,0,0,0
38436,2940,Caribbean Way,392,0.4,0.1,0,0,18,96,5,0,2,0,0,0,0,0,0,0
38437,2940,Celestial Cherry High,285,0.4,0.1,0,0,22,69,4,0,1,0,0,0,0,0,0,0
38438,2940,Cherry Picker,360,0.5,0.2,0,0,231,98,2,0,6,0,0,0,0,0,0,0
38439,2940,Cranberry Cooler,538,0.1,0,0,0,95,132,3,0,1,0,0,0,0,0,0,0
38440,2940,Cranberry Supreme,577,0.6,0,0,24,120,139,3,0,3,0,0,0,0,0,0,0
38441,2940,Grape Expectations Part II,420,0.4,0.2,0,0,35,117,3,0,3,0,0,0,0,0,0,0
38442,2940,Grape Expectations,350,0.4,0.2,0,0,35,84,3,0,2,0,0,0,0,0,0,0
38443,2940,Hearty Apple,380,2,0.5,0,25,276,81,2,0,12,0,0,0,0,0,0,0
38444,2940,Immune Builder,333,1,0.2,0,24,47,80,4,0,5,0,0,0,0,0,0,0
38445,2940,Instant Vigor,320,0,0,0,0,15,79,3,0,2,0,0,0,0,0,0,0
38446,2940,Island Treat,334,0.8,0.3,0,0,29,81,5,0,2,0,0,0,0,0,0,0
38447,2940,Lemon Twist Banana,339,0.4,0.2,0,0,24,82,2,0,3,0,0,0,0,0,0,0
38448,2940,Lemon Twist Strawberry,399,0.3,0,0,0,23,97,2,0,3,0,0,0,0,0,0,0
38449,2940,Light & Fluffy,389,0.4,0.1,0,0,12,98,4,0,2,0,0,0,0,0,0,0
38450,2940,MangoFest,320,0,0,0,0,50,78,2,0,1,0,0,0,0,0,0,0
38451,2940,Muscle Punch Plus,340,1.2,0.2,0,2,65,80,5,0,6,0,0,0,0,0,0,0
38452,2940,Muscle Punch,339,1.3,0.3,0,2,75,80,4,0,6,0,0,0,0,0,0,0
