food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
41913,3016,Mocha (Skim Milk),147,7,6,0,3,104,16,0,10,6,2,17,25,1,0,0,0
41914,3016,Mocha (Skim Milk),192,7,6,0,5,164,23,0,16,10,4,26,42,1,0,0,0
41915,3016,Mocha (Skim Milk),228,7,6,0,6,208,29,0,20,13,6,32,55,2,0,0,0
41916,3016,Mocha (Skim Milk),257,7,6,0,7,241,33,0,24,15,7,37,65,2,0,0,0
41917,3016,Mocha (2% Milk),170,9,7,0,12,101,16,0,10,6,2,17,24,1,0,0,0
41918,3016,Mocha (2% Milk),231,12,9,0,20,159,23,0,16,9,4,26,42,1,0,0,0
41919,3016,Mocha (2% Milk),280,13,10,0,26,202,28,0,21,12,5,32,54,2,0,0,0
41920,3016,Mocha (2% Milk),317,15,10,0,31,234,33,0,25,14,6,37,64,2,0,0,0
41921,3016,Mocha (Whole Milk),189,12,9,0,22,100,16,0,11,6,2,12,24,1,0,0,0
41922,3016,Mocha (Whole Milk),264,16,11,0,37,157,22,0,17,9,4,17,41,1,0,0,0
41923,3016,Mocha (Whole Milk),322,18,13,0,48,199,28,0,22,12,5,21,53,2,0,0,0
41924,3016,Mocha (Whole Milk),367,20,14,0,57,230,32,0,26,14,6,24,62,2,0,0,0
41925,3016,Flavored Mocha (Skim Milk),153,7,6,0,3,100,18,0,12,6,2,16,23,1,0,0,0
41926,3016,Flavored Mocha (Skim Milk),210,7,6,0,5,165,27,0,20,10,4,26,42,1,0,0,0
41927,3016,Flavored Mocha (Skim Milk),255,7,6,0,6,210,35,0,27,13,6,32,55,2,0,0,0
41928,3016,Flavored Mocha (Skim Milk),285,7,6,0,7,232,41,0,32,14,6,35,61,2,0,0,0
41929,3016,Flavored Mocha (2% Milk),175,9,7,0,11,98,18,0,12,5,2,16,23,1,0,0,0
41930,3016,Flavored Mocha (2% Milk),249,12,9,0,20,161,27,0,21,9,4,26,42,1,0,0,0
41931,3016,Flavored Mocha (2% Milk),306,13,10,0,26,205,35,0,28,12,5,32,54,2,0,0,0
41932,3016,Flavored Mocha (2% Milk),341,14,10,0,29,226,41,0,33,13,6,35,60,2,0,0,0
41933,3016,Flavored Mocha (Whole Milk),193,11,9,0,21,97,18,0,12,5,2,12,23,1,0,0,0
41934,3016,Flavored Mocha (Whole Milk),282,16,11,0,37,158,27,0,13,9,4,17,41,1,0,0,0
41935,3016,Flavored Mocha (Whole Milk),349,18,13,0,48,202,35,0,29,12,5,21,53,2,0,0,0
41936,3016,Flavored Mocha (Whole Milk),389,20,14,0,54,222,40,0,34,13,6,23,59,2,0,0,0
41937,3016,Iced Mocha (Skim Milk),70,0,0,0,3,82,11,0,9,5,2,11,23,0,0,0,0
41938,3016,Iced Mocha (Skim Milk),85,0,0,0,3,99,14,0,12,5,3,14,28,1,0,0,0
41939,3016,Iced Mocha (Skim Milk),103,0,0,0,4,116,17,0,14,7,3,16,33,1,0,0,0
41940,3016,Iced Mocha (Skim Milk),121,1,0,0,4,133,20,0,16,8,4,18,37,2,0,0,0
41941,3016,Iced Mocha (2% Milk),92,3,2,0,11,80,11,0,10,5,2,11,23,1,0,0,0
41942,3016,Iced Mocha (2% Milk),111,4,2,0,14,96,14,0,12,6,2,14,27,1,0,0,0
41943,3016,Iced Mocha (2% Milk),134,4,3,0,16,112,17,0,14,7,3,16,32,1,0,0,0
41944,3016,Iced Mocha (2% Milk),156,5,3,0,18,129,20,0,17,8,4,18,37,2,0,0,0
41945,3016,Iced Mocha (Whole Milk),110,5,3,0,21,78,11,0,10,5,2,7,22,1,0,0,0
41946,3016,Iced Mocha (Whole Milk),133,6,4,0,25,95,14,0,13,6,2,8,27,1,0,0,0
41947,3016,Iced Mocha (Whole Milk),159,7,4,0,29,111,16,0,15,7,3,10,31,1,0,0,0
41948,3016,Iced Mocha (Whole Milk),185,8,5,0,33,127,20,0,17,8,4,11,36,2,0,0,0
41949,3016,Iced Flavored Mocha (Skim Milk),79,0,0,0,3,83,14,0,12,5,2,11,23,0,0,0,0
41950,3016,Iced Flavored Mocha (Skim Milk),100,0,0,0,3,97,18,0,16,6,2,13,27,1,0,0,0
41951,3016,Iced Flavored Mocha (Skim Milk),129,0,0,0,4,118,24,0,21,7,3,16,33,1,0,0,0
41952,3016,Iced Flavored Mocha (Skim Milk),151,1,0,0,4,128,28,0,25,8,4,17,35,2,0,0,0
41953,3016,Iced Flavored Mocha (2% Milk),101,3,2,0,11,80,13,0,12,5,2,11,23,1,0,0,0
41954,3016,Iced Flavored Mocha (2% Milk),125,3,2,0,13,94,18,0,16,6,2,13,26,1,0,0,0
41955,3016,Iced Flavored Mocha (2% Milk),160,4,3,0,16,115,24,0,21,7,3,16,32,1,0,0,0
41956,3016,Iced Flavored Mocha (2% Milk),184,5,3,0,17,124,28,0,25,8,3,17,35,2,0,0,0
41957,3016,Iced Flavored Mocha (Whole Milk),119,5,3,0,21,79,13,0,13,5,2,7,22,1,0,0,0
41958,3016,Iced Flavored Mocha (Whole Milk),146,6,4,0,24,92,18,0,17,6,2,8,26,1,0,0,0
41959,3016,Iced Flavored Mocha (Whole Milk),185,7,4,0,29,113,23,0,22,7,3,10,31,1,0,0,0
41960,3016,Iced Flavored Mocha (Whole Milk),211,8,5,0,31,122,28,0,26,8,3,10,34,2,0,0,0
41961,3016,Dilletante Mocha (Skim Milk),159,8,6,0,6,107,17,0,9,6,2,17,25,2,0,0,0
41962,3016,Dilletante Mocha (Skim Milk),207,8,7,0,8,168,24,0,14,10,4,26,43,3,0,0,0
41963,3016,Dilletante Mocha (Skim Milk),247,9,7,0,11,213,30,0,19,13,6,33,56,4,0,0,0
41964,3016,Dilletante Mocha (Skim Milk),279,10,7,0,13,247,34,0,22,15,7,38,66,5,0,0,0
41965,3016,Dilletante Mocha (2% Milk),181,11,8,0,15,104,17,0,9,6,2,17,25,2,0,0,0
41966,3016,Dilletante Mocha (2% Milk),246,13,10,0,24,164,23,0,15,10,4,26,42,3,0,0,0
41967,3016,Dilletante Mocha (2% Milk),298,15,11,0,31,208,29,0,19,13,5,33,55,4,0,0,0
41968,3016,Dilletante Mocha (2% Milk),340,17,12,0,37,240,34,0,23,15,6,38,65,5,0,0,0
41969,3016,Dilletante Mocha (Whole Milk),201,13,9,0,25,103,17,0,10,6,2,13,24,2,0,0,0
41970,3016,Dilletante Mocha (Whole Milk),279,17,12,0,41,161,23,0,16,10,4,18,41,3,0,0,0
