food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
42289,3030,Banana Blues,450,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42290,3030,Berry Blast,420,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42291,3030,Cranberry Crave,395,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42292,3030,Raspberry Rapture,440,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42293,3030,Strawberry Banana Incident,415,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42294,3030,Strawberry Scream,415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42295,3031,Colada Crush,500,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42296,3031,Hawaiian Storm,415,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42297,3031,Mango Madness,415,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42298,3031,Papaya Point,480,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42299,3031,Peach Paradise,440,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42300,3031,Pineapple Passion,435,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42301,3032,Orange Blossom,410,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42302,3032,Orange Creamsicle,450,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42303,3032,Orange Ecstasy,425,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42304,3033,Berry Skinny,380,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42305,3033,Protein Banana Blend,450,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42306,3033,Pure Protein,380,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42307,3033,Xtreme Works,425,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42308,3034,Cappuccino Cooler,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42309,3034,Chocolate Delight,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42310,3034,Peanut Butter Whirl,750,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42311,3034,Soy Smash,415,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
