food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
42349,3046,Beef Ribs,590,48,19,0,135,"1,250",10,0,0,36,0,0,0,0,0,0,0
42350,3046,Brisket,370,17,6,0,160,120,0,0,0,51,0,0,0,0,0,0,0
42351,3046,Chicken Breast,280,3.5,1,0,85,290,24,0,28,32,0,0,0,0,0,0,0
42352,3046,Half Chicken,500,35,10,0,145,260,2,0,2,43,0,0,0,0,0,0,0
42353,3046,Ham,410,29,10,0,105,"2,020",0,0,0,37,0,0,0,0,0,0,0
42354,3046,Hot Links,490,44,15,0,115,"1,720",2,0,2,21,0,0,0,0,0,0,0
42355,3046,Pork Butt,350,29,10,0,95,"2,390",4,0,0,21,0,0,0,0,0,0,0
42356,3046,Pork Ribs,410,30,10,0,90,"1,410",17,0,6,21,0,0,0,0,0,0,0
42357,3046,Pork Tenderloin,250,9,3,0,100,"1,120",16,1,0,32,0,0,0,0,0,0,0
42358,3046,Smoked Sausage,580,52,18,0,120,"1,610",2,0,2,23,0,0,0,0,0,0,0
42359,3046,Turkey,380,20,6,0,150,130,0,0,0,47,0,0,0,0,0,0,0
42360,3046,Turkey Breast,320,13,3.5,0,125,105,0,0,0,49,0,0,0,0,0,0,0
42361,3046,Turkey Sausage,270,17,4.5,0,110,"1,610",5,0,5,25,0,0,0,0,0,0,0
42362,3046,Cheese Burger,710,37,14,0,135,900,40,3,6,51,0,0,0,0,0,0,0
42363,3046,Burger,640,32,11,0,120,640,39,3,5,47,0,0,0,0,0,0,0
42364,3046,Chili,320,19,7,0,95,600,11,2,0,27,0,0,0,0,0,0,0
42365,3047,Broccoli Salad,120,9,1,0,5,200,10,4,4,4,0,0,0,0,0,0,0
42366,3047,Caesar Salad,130,10,2,0,10,310,8,2,0,3,0,0,0,0,0,0,0
42367,3047,Caesar Salad,120,10,2,0,10,280,4,2,0,3,0,0,0,0,0,0,0
42368,3047,Coleslaw,240,18,2.5,0,25,690,17,2,16,1,0,0,0,0,0,0,0
42369,3047,Fresh Fruit Salad,60,0,0,0,0,20,17,1,16,1,0,0,0,0,0,0,0
42370,3047,New Cucumber Salad,110,10,1,0,0,720,5,1,3,1,0,0,0,0,0,0,0
42371,3047,Original Potato Salad,150,0.5,0,0,5,55,35,2,10,3,0,0,0,0,0,0,0
42372,3047,Dill Potato Salad,350,29,6,0,50,540,19,2,2,5,0,0,0,0,0,0,0
42373,3047,Pasta Salad,520,36,7,0,25,840,34,1,14,6,0,0,0,0,0,0,0
42374,3047,Pea Salad,310,22,4,0,15,850,19,6,7,8,0,0,0,0,0,0,0
42375,3047,Taco Salad,180,9,3.5,0,15,400,18,5,6,7,0,0,0,0,0,0,0
42376,3048,Au Gratin Potatos,470,22,11,0,50,"2,840",52,1,15,15,0,0,0,0,0,0,0
42377,3048,Baked Potato,160,0,0,0,0,15,36,4,2,4,0,0,0,0,0,0,0
42378,3048,Baked Potato Casserole,210,8,3.5,0,15,290,28,3,2,7,0,0,0,0,0,0,0
42379,3048,Black Eyed Peas,220,5,1,0,5,160,33,10,6,13,0,0,0,0,0,0,0
42380,3048,Corn on the Cob,180,9,2,0,0,15,20,3,7,5,0,0,0,0,0,0,0
42381,3048,Green Beans - No Potatoes,70,4,1,0,5,550,6,2,2,2,0,0,0,0,0,0,0
42382,3048,Green Beans,80,3.5,0.5,0,5,470,10,2,2,3,0,0,0,0,0,0,0
42383,3048,Barbecue Beans,160,1,0,0,0,530,31,7,10,5,0,0,0,0,0,0,0
42384,3048,Jalapeno Beans,220,1.5,0,0,0,125,40,13,3,13,0,0,0,0,0,0,0
42385,3048,Macaroni & Cheese,590,29,11,0,35,"2,960",72,1,17,7,0,0,0,0,0,0,0
42386,3048,Mashed Potatoes,170,5,1.5,0,5,140,28,2,3,4,0,0,0,0,0,0,0
42387,3048,Oven Roasted New Potatoes,100,4.5,0.5,0,0,520,14,2,0,1,0,0,0,0,0,0,0
42388,3048,Stir Fried Broccoli,120,9,1.5,0,0,200,10,5,4,5,0,0,0,0,0,0,0
42389,3048,Onion Rings,560,38,7,0,0,380,48,6,6,6,0,0,0,0,0,0,0
42390,3048,Fries,220,6,1,0,0,50,38,4,0,4,0,0,0,0,0,0,0
42391,3049,Basting,50,0,0,0,0,90,10,0,12,0,0,0,0,0,0,0,0
42392,3049,Cheese,50,2,1,0,5,350,7,0,2,1,0,0,0,0,0,0,0
42393,3049,Gravy,60,3.5,1,0,0,220,6,0,0,1,0,0,0,0,0,0,0
42394,3049,Hot sauce,35,0,0,0,0,100,8,0,7,0,0,0,0,0,0,0,0
42395,3049,Olive Vinaigarette Dressing,5,0.5,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0
42396,3049,Low Carb Barbecue Sauce,0,0,0,0,0,120,1,0,1,0,0,0,0,0,0,0,0
42397,3049,Barbecue Sauce,35,0,0,0,0,110,9,0,8,0,0,0,0,0,0,0,0
42398,3050,Sesame Seed Bun,180,3.5,0.5,0,0,260,30,1,4,5,0,0,0,0,0,0,0
42399,3050,Bread Sandwich Buns,200,3,0.5,0,0,350,36,1,4,6,0,0,0,0,0,0,0
42400,3050,Cornbread Dressing,350,17,4,0,120,"1,110",39,0,3,9,0,0,0,0,0,0,0
42401,3050,Classic Yeast Roll,160,4.5,1,0,0,210,26,1,4,4,0,0,0,0,0,0,0
42402,3050,Texas Toast,160,1.5,0,0,0,85,20,0,0,4,0,0,0,0,0,0,0
42403,3051,Banana Pudding,240,7,1.5,0,10,230,41,1,32,4,0,0,0,0,0,0,0
42404,3051,Peach Cobbler,270,45,2.5,0,15,230,57,2,46,3,0,0,0,0,0,0,0
42405,3051,Pecan Pie,480,26,4.5,0,100,310,61,6,55,6,0,0,0,0,0,0,0
42406,3051,Apple Pie,510,26,5,0,0,530,70,5,36,3,0,0,0,0,0,0,0
42407,3051,Soft Serve Dessert,160,2.5,0,0,0,150,37,1,31,0,0,0,0,0,0,0,0
42408,3051,Lemon Meringue Pie,500,14,3,0,0,580,90,1,62,4,0,0,0,0,0,0,0
42409,3051,Chocolate Meringue Pie,560,24,8,0,30,420,84,1,56,6,0,0,0,0,0,0,0
42410,3051,Coconut Meringue Pie,600,30,14,0,30,560,80,1,27,4,0,0,0,0,0,0,0
42411,3052,Bacon,320,24,10,0,60,"1,200",4,0,0,16,0,0,0,0,0,0,0
42412,3052,Breakfast Burrito,350,13,5,0,35,500,45,3,5,14,0,0,0,0,0,0,0
42413,3052,Breakfast Ham,110,4.5,1,0,35,970,1,0,0,15,0,0,0,0,0,0,0
42414,3052,Buttermilk Pancake,240,3,1,0,35,"1,150",48,2,0,7,0,0,0,0,0,0,0
42415,3052,French Toast,460,5,0,0,10,270,53,0,4,12,0,0,0,0,0,0,0
42416,3052,Sausage Patty,340,32,12,0,85,830,0,0,0,14,0,0,0,0,0,0,0
42417,3052,Scrambled Eggs,190,13,2.5,0,50,240,7,0,7,11,0,0,0,0,0,0,0
