food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
42571,3079,Ribeye,266,14.2,5.6,0,101,108,0,0,0,34.5,0,0,0,0,0,0,0
42572,3079,Ribeye,305,14.5,5.6,0,101,"2,753",5.8,1.8,0,37.7,0,0,0,0,0,0,0
42573,3079,Ribeye,835,33.4,11.1,0,121,"3,090",84.2,8.7,0,49.2,0,0,0,0,0,0,0
42574,3079,Ribeye,399,21.4,8.3,0,152,162,0,0,0,51.7,0,0,0,0,0,0,0
42575,3079,Ribeye,438,21.6,8.3,0,152,"2,807",5.8,1.8,0,54.9,0,0,0,0,0,0,0
42576,3079,Ribeye,967,40.5,13.8,0,172,"3,144",84.2,8.7,0,66.4,0,0,0,0,0,0,0
42577,3079,Ribeye,532,28.5,11.1,0,202,216,0,0,0,68.9,0,0,0,0,0,0,0
42578,3079,Ribeye,571,28.7,11.1,0,202,"2,861",5.8,1.8,0,72.1,0,0,0,0,0,0,0
42579,3079,Ribeye,"1,100",47.6,16.6,0,222,"3,198",84.2,8.7,0,83.6,0,0,0,0,0,0,0
42580,3079,Strip,402,27.6,11.1,0,134,108,0,0,0,38.6,0,0,0,0,0,0,0
42581,3079,Strip,441,27.9,11.1,0,134,"2,753",5.8,1.8,0,41.8,0,0,0,0,0,0,0
42582,3079,Strip,971,46.8,16.6,0,154,"3,090",84.2,8.7,0,53.3,0,0,0,0,0,0,0
42583,3079,Strip,460,31.5,12.6,0,153,123,0,0,0,44.1,0,0,0,0,0,0,0
42584,3079,Strip,499,31.9,12.6,0,153,"2,768",5.8,1.8,0,47.3,0,0,0,0,0,0,0
42585,3079,Strip,"1,029",50.8,18.1,0,173,"3,105",84.2,8.7,0,58.8,0,0,0,0,0,0,0
42586,3079,Strip,633,43.4,17.4,0,211,170,0,0,0,60.7,0,0,0,0,0,0,0
42587,3079,Strip,672,43.6,17.4,0,211,"2,815",5.8,1.8,0,63.9,0,0,0,0,0,0,0
42588,3079,Strip,"1,201",62.5,22.9,0,231,"3,152",84.2,8.7,0,75.4,0,0,0,0,0,0,0
42589,3079,Sirloin Tips,374,25.6,10.3,0,124,100,0,0,0,35.8,0,0,0,0,0,0,0
42590,3079,Sirloin Tips,413,26,10.3,0,124,"2,745",5.8,1.8,0,39,0,0,0,0,0,0,0
42591,3079,Sirloin Tips,943,44.9,15.8,0,144,"3,082",84.2,8.7,0,50.5,0,0,0,0,0,0,0
42592,3079,Top Sirloin,575,39.4,15.8,0,191,154,0,0,0,55.1,0,0,0,0,0,0,0
42593,3079,Top Sirloin,614,39.7,15.8,0,191,"2,799",5.8,1.8,0,58.3,0,0,0,0,0,0,0
42594,3079,Top Sirloin,"1,144",58.6,21.3,0,211,"3,136",84.2,8.7,0,69.8,0,0,0,0,0,0,0
42595,3079,Chop Steak,728,58.6,23.6,0,210,196,0,0,0,50.2,0,0,0,0,0,0,0
42596,3079,Chop Steak,767,58.9,23.6,0,210,"2,841",5.8,1.8,0,53.4,0,0,0,0,0,0,0
42597,3079,Chop Steak,"1,296",77.8,29.1,0,230,"3,178",84.2,8.7,0,64.9,0,0,0,0,0,0,0
42598,3079,Filet,584,48,19.5,0,152,103,0,0,0,38.1,0,0,0,0,0,0,0
42599,3079,Filet,623,48.3,19.5,0,152,"2,748",5.8,1.8,0,41.3,0,0,0,0,0,0,0
42600,3079,Filet,"1,153",67.2,25,0,172,"3,085",84.2,8.7,0,52.8,0,0,0,0,0,0,0
42601,3079,Shrimp Skewers,162,2,0,0,330,720,0,0,0,36,0,0,0,0,0,0,0
42602,3079,Shrimp Skewers,201,2.3,0,0,330,"3,365",5.8,1.8,0,39.2,0,0,0,0,0,0,0
42603,3079,Shrimp Skewers,731,21.2,5.5,0,350,"3,702",84.2,8.7,0,50.7,0,0,0,0,0,0,0
42604,3079,Chicken Breast,234,5.3,1.5,0,128,111,0,0,0,46.6,0,0,0,0,0,0,0
42605,3079,Chicken Breast,273,5.6,1.5,0,128,"2,756",5.8,1.8,0,49.8,0,0,0,0,0,0,0
