food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
43419,3160,Garden,190,12,8,0,30,260,10,5,6,13,0,0,0,0,0,0,0
43420,3160,Tossed,290,19,10,0,50,480,15,6,7,19,0,0,0,0,0,0,0
43421,3160,Cobb-Veggie,370,23,10,0,335,680,20,8,10,24,0,0,0,0,0,0,0
43422,3160,Greek,400,18,6,0,25,"2,060",49,9,17,14,0,0,0,0,0,0,0
43423,3160,Caesar,400,33,8,0,40,980,18,5,7,13,0,0,0,0,0,0,0
43424,3160,Chef Salad,420,23,11,0,385,"1,670",15,5,9,40,0,0,0,0,0,0,0
43425,3160,Baby Spinach,460,33,13,0,350,630,12,6,4,31,0,0,0,0,0,0,0
43426,3160,Cobb-Turkey,500,29,11,0,400,"1,740",19,6,10,45,0,0,0,0,0,0,0
43427,3160,Southwest,530,19,8,0,100,"1,260",48,11,10,44,0,0,0,0,0,0,0
43428,3160,Cobb-Shrimp,550,30,12,0,585,"1,190",17,6,9,55,0,0,0,0,0,0,0
43429,3160,Cobb-Chicken,560,31,13,0,465,"1,270",17,6,9,56,0,0,0,0,0,0,0
43430,3160,Thai,580,20,3.5,0,95,890,57,11,10,50,0,0,0,0,0,0,0
43431,3160,Tuna,580,41,13,0,385,"1,160",21,5,7,38,0,0,0,0,0,0,0
43432,3160,Oriental Chicken,640,36,6,0,95,760,49,10,19,39,0,0,0,0,0,0,0
43433,3160,Caesar,650,54,13,0,65,"1,570",30,7,11,20,0,0,0,0,0,0,0
43434,3160,Summer,660,35,11,0,110,"1,560",53,8,38,39,0,0,0,0,0,0,0
43435,3160,Caesar-Shrimp,760,55,12,0,290,"1,810",30,7,11,46,0,0,0,0,0,0,0
43436,3160,Caesar-Chicken,780,57,14,0,155,"2,030",31,7,11,45,0,0,0,0,0,0,0
43437,3160,Harvest Cobb Ham,800,29,12,0,90,"2,580",101,11,84,41,0,0,0,0,0,0,0
43438,3160,Harvest Cobb Turkey,810,31,12,0,90,"1,720",97,11,79,43,0,0,0,0,0,0,0
43439,3160,Chicken Salad,840,67,10,0,450,950,27,8,16,46,0,0,0,0,0,0,0
43440,3161,Roasted Garden Vegetable,90,3,0.5,0,0,"1,280",19,2,7,5,0,0,0,0,0,0,0
43441,3161,Vegetarian Vegetable,100,0.5,0,0,0,"1,240",21,3,6,3,0,0,0,0,0,0,0
43442,3161,Chicken Noodle,110,3,0,0,35,"1,010",13,1,1,8,0,0,0,0,0,0,0
43443,3161,Moms Ham And Barley,130,1.5,0,0,10,840,22,5,3,8,0,0,0,0,0,0,0
43444,3161,Shiitake Rice,130,4,0,0,5,"1,150",20,1,1,3,0,0,0,0,0,0,0
43445,3161,Tuscan Onion,160,4.5,1.5,0,10,"2,140",22,2,10,7,0,0,0,0,0,0,0
43446,3161,Potato Bacon,210,9,3,0,15,"1,250",25,2,24,7,0,0,0,0,0,0,0
43447,3161,Pasta Fagioli,220,8,1.5,0,30,940,23,5,2,15,0,0,0,0,0,0,0
43448,3161,Chicken Dumpling,250,17,3.5,3.5,5,"1,150",20,1,3,5,0,0,0,0,0,0,0
43449,3161,Chicken Wild Rice,270,17,10,0.5,65,"1,230",20,2,2,7,0,0,0,0,0,0,0
43450,3161,Steak Chili,280,8,2.5,0,50,"1,380",28,6,7,23,0,0,0,0,0,0,0
43451,3161,Broccoli Cheddar,280,14,8,0.5,45,"1,230",25,1,14,13,0,0,0,0,0,0,0
43452,3161,Black Bean And Sausage,290,10,3,0,15,"1,050",35,9,1,16,0,0,0,0,0,0,0
43453,3161,Clam Chowder,300,17,9,0,65,"1,190",24,1,8,13,0,0,0,0,0,0,0
43454,3161,Jambalaya,350,17,4.5,0,40,"1,400",30,1,2,15,0,0,0,0,0,0,0
43455,3161,Lobster Chowder,360,23,14,0.5,95,"1,000",24,1,8,14,0,0,0,0,0,0,0
43456,3161,Tomato Basil,360,31,16,0.5,95,"1,010",20,2,10,3,0,0,0,0,0,0,0
43457,3161,Adobe Chicken,390,27,15,1,110,"1,190",28,2,3,13,0,0,0,0,0,0,0
43458,3161,Kickin Crab,460,37,23,1,155,"1,120",21,1,8,13,0,0,0,0,0,0,0
43459,3162,Gr. Veggie,510,19,8,0,20,"1,250",72,6,8,18,0,0,0,0,0,0,0
43460,3162,Blt-12 Grain,550,35,6,0,45,790,47,8,9,16,0,0,0,0,0,0,0
43461,3162,Reuben-Turkey,620,27,8,0,95,"2,520",56,8,12,41,0,0,0,0,0,0,0
43462,3162,Downtown Rb & Trky,660,31,11,0,95,"1,630",53,7,10,42,0,0,0,0,0,0,0
43463,3162,Sm. Trky. & Gr.,670,23,8,0,85,"2,550",75,6,10,43,0,0,0,0,0,0,0
43464,3162,Club,670,35,6,0,100,"2,340",56,3,15,37,0,0,0,0,0,0,0
43465,3162,French Dip,690,26,12,0,105,"2,010",68,4,5,48,0,0,0,0,0,0,0
43466,3162,Original,720,16,8,0,95,"2,300",105,5,35,43,0,0,0,0,0,0,0
43467,3162,Hot Russian,790,43,15,0,140,"1,430",52,5,11,46,0,0,0,0,0,0,0
43468,3162,Tropical Chicken,800,33,12,0,155,"1,900",75,5,12,53,0,0,0,0,0,0,0
43469,3162,SM. Turkey Delight,810,45,10,0,95,"2,030",62,7,22,40,0,0,0,0,0,0,0
43470,3162,Southwest Chicken,870,40,12,0,125,"1,740",88,4,20,48,0,0,0,0,0,0,0
43471,3162,East Coast,870,45,12,0,140,"1,730",78,4,15,47,0,0,0,0,0,0,0
43472,3162,Reuben-Classic,890,57,22,0,165,"2,380",56,8,10,42,0,0,0,0,0,0,0
43473,3162,Northern Italian,"1,000",52,18,0,160,"3,470",84,6,14,55,0,0,0,0,0,0,0
43474,3162,Asiago Beef,"1,180",78,26,0,195,"2,090",68,5,4,59,0,0,0,0,0,0,0
43475,3162,Triple Decker,"1,380",97,18,0,185,"3,150",75,8,14,63,0,0,0,0,0,0,0
43476,3163,Ham,610,30,5,0,85,"2,720",59,4,18,32,0,0,0,0,0,0,0
43477,3163,Roasted Turkey,620,32,4.5,0,85,"1,640",54,4,13,34,0,0,0,0,0,0,0
43478,3163,Smoked Turkey,620,33,4.5,0,90,"1,830",54,4,13,35,0,0,0,0,0,0,0
43479,3163,Roast Beef,710,40,10,0,100,960,53,4,11,40,0,0,0,0,0,0,0
43480,3163,Chicken Salad,720,42,7,0,140,"1,050",54,4,13,39,0,0,0,0,0,0,0
43481,3163,Tuna,750,49,7,0,70,"1,340",62,4,12,26,0,0,0,0,0,0,0
43482,3163,Corned Beef,810,55,15,0,160,"1,270",52,4,11,33,0,0,0,0,0,0,0
43483,3163,Pastrami,960,69,23,0,155,"1,740",56,4,11,36,0,0,0,0,0,0,0
43484,3163,Salami,"1,200",94,28,0,200,530,51,4,11,46,0,0,0,0,0,0,0
43485,3164,Ham,305,15,2.5,0,42.5,"1,360",29.5,2,9,16,0,0,0,0,0,0,0
43486,3164,Roasted Turkey,310,16,2.3,0,42.5,820,27,2,6.5,17,0,0,0,0,0,0,0
43487,3164,Smoked Turkey,310,16.5,2.3,0,45,915,27,2,6.5,17.5,0,0,0,0,0,0,0
43488,3164,Roast Beef,355,20,5,0,50,480,26.5,2,5.5,20,0,0,0,0,0,0,0
43489,3164,Chicken Salad,360,21,3.5,0,70,525,27,2,6.5,19.5,0,0,0,0,0,0,0
43490,3164,Tuna,375,24.5,3.5,0,35,670,31,2,6,13,0,0,0,0,0,0,0
43491,3164,Corned Beef,405,27.5,7.5,0,80,635,26,2,5.5,16.5,0,0,0,0,0,0,0
43492,3164,Pastrami,480,34.5,11.5,0,77.5,870,28,2,5.5,18,0,0,0,0,0,0,0
43493,3164,Salami,600,47,14,0,100,265,25.5,2,5.5,23,0,0,0,0,0,0,0
43494,3165,Mayonnaise,200,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43495,3165,Mayonnaise,100,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43496,3166,FF Italian,20,0,0,0,0,260,4,0,3,0,0,0,0,0,0,0,0
43497,3166,FF Chipotle Lime,30,0,0,0,0,150,7,0,6,0,0,0,0,0,0,0,0
43498,3166,FF Sun Dried Tomato,60,0,0,0,0,230,13,0,10,0,0,0,0,0,0,0,0
43499,3166,Balsamic,60,1,0,6,0,220,3,0,2,0,0,0,0,0,0,0,0
43500,3166,FF Raspberry,80,0,0,0,0,160,7,0,6,0,0,0,0,0,0,0,0
43501,3166,Greek,80,1.5,0,9,5,260,2,0,1,0,0,0,0,0,0,0,0
43502,3166,Lite Ranch,90,1.5,0,9,10,250,1,0,1,1,0,0,0,0,0,0,0
43503,3166,Jalapeno Ranch,90,1,0,10,10,105,1,0,1,0,0,0,0,0,0,0,0
43504,3166,Ranch,100,1.5,0,11,10,85,1,0,1,0,0,0,0,0,0,0,0
43505,3166,Blue Cheese,100,2.5,0,11,10,115,1,0,1,1,0,0,0,0,0,0,0
