food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
43613,3185,No Name Salad,502,30.5,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0
43614,3185,No Name Salad,652,45.5,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0
43615,3185,Buffalo Chicken Salad,528,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43616,3185,Buffalo Chicken Salad,688,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43617,3185,Chicken Cranberry Salad,538,26,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
43618,3185,Chicken Cranberry Salad,688,42,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
43619,3185,Mayan Chicken Salad,493,20.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
43620,3185,Mayan Chicken Salad,633,33.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
43621,3185,Thai Chicken Salad,422,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
43622,3185,Thai Chicken Salad,582,28,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
43623,3185,Roasted Pear & Chicken Salad,562,29.6,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0
43624,3186,Parmesan Artichoke Dip,590,38,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
43625,3186,Grande Nachos-Chicken (Full),"1,396",85.3,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0
43626,3186,Grande Nachos-Chicken (Half,698,42.6,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0
43627,3186,Chicken Wild Rice Soup-Cup,200,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43628,3187,Chunky Chicken Salad Ciabatta,380,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
43629,3187,Curry Chicken Salad,466.8,24.4,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0
43630,3187,Rotisserie Chicken Sandwich,610,35,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
43631,3187,Sierra Turkey Sandwich,427,14.5,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0
43632,3187,Chipotle Mayo on the side,100,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43633,3187,Reuben,805,47.3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
43634,3188,Five Cheese Tortellini,"1,021",70.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
43635,3188,Cajun Chicken Pasta,705,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43636,3188,Cajun Chicken Pasta,"1,368",89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43637,3188,Mediterranean Pasta,534,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43638,3188,Portobello & Spinach Ravioli,190,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
43639,3188,Portobello & Spinach Ravioli,853,73,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
43640,3189,Chicken Fajitas,711,21,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
43641,3189,Chicken Fajitas,"1,071",53,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
43642,3189,Fish & Chips (without the chips!),688,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43643,3189,Fish & Chips (without the chips!),908,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43644,3189,Flying Tiger Chicken & Peapods,893.5,36.9,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0
43645,3189,Chicken Lo Mein,852,33.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
43646,3189,Halibut w/out Stuffing or Buerre Blanc,574,27,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0
43647,3189,Honey Maple Salmon,692,33,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0
43648,3189,Mediterranean Salmon,892,48,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0
43649,3189,Doolittles Top Sirloin,607,18,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0
43650,3190,Choice of Dressing,150,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43651,3190,Bleu Cheese Dressing,160,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43652,3190,Poppyseed Dressing,150,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43653,3190,Lime Dressing,140,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43654,3190,Thai Peanut Dressing,160,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43655,3191,Sauce On Side,663,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43656,3192,"Sour Cream, Guac, Cheese contribute addl:",360,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43657,3192,Tilapia-8 oz w/out batter & chips,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
