food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
47920,3468,Alada Colada - FC 1,200,5,0,0,0,30,37,0,24,0,30,0,0,0,0,0,0
47921,3468,Strawberry Frost - FC 3,240,0,0,0,0,55,59,0,25,0,0,0,0,0,0,0,0
47922,3468,Peaches-N-Cream - FC 4,230,2,0,0,0,5,52,0,47,0,0,0,0,0,0,0,0
47923,3468,Purple Paradise - FC 8,250,1,0,0,0,45,58,0,35,1,0,0,0,0,0,0,0
47924,3468,Island Sunrise - FC 7,290,2,0,0,0,50,68,0,45,1,125,70,0,0,0,0,0
47925,3468,Jamaica-Me-Crazy - FC 8,250,2,0,0,0,25,54,0,48,0,60,40,0,0,0,0,0
47926,3468,Bananas-N-Berries - FC 9,240,0,0,0,0,25,45,0,31,0,15,10,0,0,0,0,0
47927,3468,Frosted Lemonade - FC 10,240,0,0,0,0,45,59,0,29,0,0,0,0,0,0,0,0
47928,3468,Rico-Rita (Limeade) - FC 11,230,0,0,0,0,35,56,0,37,0,0,0,0,0,0,0,0
47929,3468,Fun-Key Lime - FC 12,250,4,0,0,0,10,52,0,50,0,110,0,0,0,0,0,0
47930,3468,ManGo Loco - FC 15,160,0,0,0,0,0,38,0,31,0,250,20,0,0,0,0,0
47931,3468,MaliBlue - FC 16,190,0,0,0,0,5,40,0,36,0,260,25,0,0,0,0,0
47932,3468,Electric Parrot-Ice,190,0,0,0,0,200,44,0,0,0,0,0,0,0,0,0,0
47933,3468,Optimal Sports Beverage,88,0,0,0,0,175,25,0,0,0,0,0,0,0,0,0,0
47934,3468,Gatorade,88,0,0,0,0,193,25,0,0,0,0,0,0,0,0,0,0
47935,3468,Electric Lime - IS 1,190,0,0,0,0,50,44,0,27,0,2,0,0,0,0,0,0
47936,3468,Orange Shock - IS 2,190,0,0,0,0,50,44,0,27,0,2,0,0,0,0,0,0
47937,3468,Mocha Cappuccino - JF 01,280,8,0,0,0,35,50,0,36,1,0,0,0,0,0,0,0
47938,3468,French Vanilla - JF 02,270,9,0,0,0,35,49,0,35,1,0,0,0,0,0,0,0
47939,3468,Cappaccino - JF 03,270,8,0,0,0,35,49,0,35,1,0,0,0,0,0,0,0
