food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
4365,265,Black Bean Roll-Ups,577,10,2.4,0,14,"1,203",95.3,10.2,0,28.5,0,0,0,0,0,0,0
4366,266,Baby Greens Salad (without breadstick),119,11,1.1,0,0,259,6.1,2,0,1.2,0,0,0,0,0,0,0
4367,266,Shrimp Stack Salad,322,12.4,1.8,0,176,823,33.4,3.3,0,20.4,0,0,0,0,0,0,0
4368,266,Hula Bowl (without breadstick),576,6.8,1.3,0,131.2,"1,554",78.7,5.9,0,46.2,0,0,0,0,0,0,0
4369,266,Half Hula Bowl (without breadstick),366,3.7,0.7,0,70.6,"1,022",56.9,4.2,0,24.2,0,0,0,0,0,0,0
4370,267,Caribbean Chicken: Lunch portion,536,20,8.3,0,97,"1,151",59.4,2.9,0,28.2,0,0,0,0,0,0,0
4371,268,Burger Stack with broccoli,"1,104",81.6,38,0,328.3,"1,084.3",6.7,3,0,83.6,0,0,0,0,0,0,0
4372,268,Chicken Stack with broccoli,823,51.2,24.3,0,234.7,"1,633",6.7,3,0,90,0,0,0,0,0,0,0
4373,269,Fruit Smoothie,124,0.4,0.1,0,0,4,28.5,0.8,0,0.8,0,0,0,0,0,0,0
4374,270,Buttered Broccoli,104,9.3,5.6,0,24.1,132.7,4.7,2.6,0,2.7,0,0,0,0,0,0,0
4375,270,Garlic Breadstick,156,6.1,0,0,0,293,21,0,0,4,0,0,0,0,0,0,0
4376,270,Fruit Salad,54,0,0,0,0,6,16.6,1.3,0,0.7,0,0,0,0,0,0,0
4377,271,Ranch,120,12.6,2.1,0,10.9,90.3,0.7,0,0,0.5,0,0,0,0,0,0,0
4378,271,Italian,110,12,2,0,0,180,1,0,0,0,0,0,0,0,0,0,0
4379,271,Bleu Cheese,201,21.4,4,0,19.3,169.3,0.4,0,0,0.8,0,0,0,0,0,0,0
4380,271,Fat Free French,126,0.2,0,0,0,"1,034",30.9,2.4,0,0.3,0,0,0,0,0,0,0
4381,271,Fat Free Honey Mustard,60,0,0,0,0,360,14,0,0,0,0,0,0,0,0,0,0
4382,271,Low-Fat Tex Mex Dressing,23,0.1,0,0,2,129,2.3,0.1,0,2.9,0,0,0,0,0,0,0
