food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
4383,272,Lemon Wedge,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
4384,272,Perfect Butternut Squash,90,1,0,0,0,310,17,3,11,1,6,70,2,4,0,0,0
4385,272,Perfect Butternut Squash,110,2,0,0,0,380,22,3,14,1,6,90,2,4,0,0,0
4386,272,Perfect Butternut Squash,170,3,0,0,0,610,35,5,23,2,10,140,4,6,0,0,0
4387,273,Bacon & Cheese Turkey Burger,890,48,14,0,165,"2,530",73,5,12,45,50,60,30,30,0,0,0
4388,273,Bacon & Cheese Turkey Burger,"1,290",70,19,0,150,"3,710",111,8,6,49,45,50,25,40,0,0,0
4389,273,Bacon & Cheese Turkey Burger,740,35,12,0,150,"2,300",63,3,4,44,15,50,25,25,0,0,0
4390,273,Grilled Salmon Surfburger,"1,010",68,10,0,140,"1,860",62,6,21,38,60,40,8,20,0,0,0
4391,273,Grilled Salmon Surfburger,"1,410",90,15,0,125,"3,030",100,10,15,42,45,25,4,30,0,0,0
4392,273,Grilled Salmon Surfburger,860,55,8,0,125,"1,620",52,4,13,37,20,25,4,20,0,0,0
4393,273,Grilled Turkey Burger,770,38,9,0,140,"2,100",71,5,11,38,50,60,15,30,0,0,0
4394,273,Grilled Turkey Burger,"1,170",61,14,0,125,"3,270",110,8,4,42,45,45,15,35,0,0,0
4395,273,Grilled Turkey Burger,620,25,7,0,125,"1,860",61,3,3,37,15,45,15,25,0,0,0
4396,273,Honey BBQ Turkey Burger,"1,080",53,15,0,175,"3,310",103,6,36,49,60,80,40,35,0,0,0
4397,273,Honey BBQ Turkey Burger,"1,480",76,21,0,160,"4,480",141,10,30,53,50,60,35,45,0,0,0
4398,273,Honey BBQ Turkey Burger,930,40,14,0,160,"3,070",93,4,28,48,20,60,35,30,0,0,0
4399,273,Low Carb Cajun Bacon Bleu Turkey Burger,"1,030",85,23,0,215,"3,020",20,7,10,50,120,340,45,20,0,0,0
4400,273,Mushroom & Cheese Turkey Burger,900,48,12,0,155,"2,370",76,6,13,43,60,60,30,35,0,0,0
4401,273,Mushroom & Cheese Turkey Burger,"1,290",71,18,0,140,"3,540",114,10,7,47,45,50,25,45,0,0,0
4402,273,Mushroom & Cheese Turkey Burger,740,35,11,0,140,"2,130",66,4,5,42,20,50,25,30,0,0,0
4403,273,Philly Turkey Burger,950,52,13,0,160,"2,140",78,7,14,46,100,70,40,35,0,0,0
