food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
4744,290,Spinach & Artichoke Dip,700,44,13,0,16,"1,624",69,8,0,13,0,0,339,4,0,0,0
4745,290,Chicken Quesadilla,983,61,30,0,164,"1,620",53,6,0,51,0,0,998,5,0,0,0
4746,290,Chicken Tenders Appetizer,580,15,3,0,57,"2,644",74,3,0,32,0,0,113,5,0,0,0
4747,290,Combo Appetizer,"1,030",55,23,0,136,"3,249",82,5,0,50,0,0,619,7,0,0,0
4748,290,Three-Cheese Shrimp Dip,625,38,12,0,100,"1,104",59,8,0,18,0,0,233,1,0,0,0
4749,290,Buffalo Wings,631,46,11,0,174,"1,181",24,2.6,0,30,0,0,77,8,0,0,0
4750,290,Chipotle Wings,613,33,8,0,170,"1,182",47,2,0,30,0,0,62,8,0,0,0
4751,290,Steak Quesadilla,"1,106",77,37,0,172,"1,633",54,6,0,50,0,0,"1,000",6,0,0,0
4752,290,Chips and Salsa,468,23,4,0,0,"1,299",62,6,0,7,0,0,261,3,0,0,0
4753,290,Loaded Potato Skins,563,40,24,0,120,"2,218",19,3,0,34,0,0,678,4,0,0,0
4754,290,Fried Cheese Wedges,265,15,9,0,50,581,21,1,0,13,0,0,320,1,0,0,0
4755,291,Loaded Potato Soup,212,11,3,0,14,"1,385",19,1,0,7,0,0,57,0,0,0,0
4756,291,Loaded Potato Soup,404,22,6,0,24,"2,561",38,1,0,13,0,0,115,1,0,0,0
4757,291,Vegetable Steamer,459,11,1,0,0,"1,543",79,12,0,13,0,0,181,5,0,0,0
4758,291,House Salad No dressing included,152,9,5,0,21,261,12,3,0,8,0,0,186,1,0,0,0
4759,291,Chicken Salad Supreme,844,68,8,0,102,410,36,8,0,28,0,0,94,3,0,0,0
4760,291,Pecan Chicken Tender Salad Includes Balsamic Vinaigrette,"1,925",126,20,0,112,"2,836",42,16,0,64,0,0,462,9,0,0,0
4761,291,Caesar Salad,464,38,11,0,30,584,11,4,0,19,0,0,308,2,0,0,0
4762,291,Side Caesar Salad,318,24,9,0,22,357,10,3,0,16,0,0,287,2,0,0,0
4763,291,Chicken Caesar Salad,620,40,11,0,112,678,11,4,0,51,0,0,323,3,0,0,0
4764,291,Salmon Caesar Salad,773,52,13,0,151,680,11,4,0,62,0,0,333,4,0,0,0
4765,291,Black and Blue Caesar,"1,008",66,24,0,220,"2,065",15,4,0,86,0,0,480,8,0,0,0
4766,291,Southern Fried Chicken Salad Includes Honey Mustard Dressing,"1,803",85,22,0,167,"5,883",173,10,0,77,0,0,548,13,0,0,0
4767,291,Island Salad Includes Honey Dijon Dressing,"1,464",30,14,0,109,"5,560",225,13,0,74,0,0,343,14,0,0,0
4768,291,Cajun Chicken Salad Includes Ranch Dressing,979,78,20,0,143,"2,219",21,4,0,47,0,0,358,3,0,0,0
4769,292,Honey Mustard,170,9,2,0,0,50,9,0,0,1,0,0,0,0,0,0,0
4770,292,Honey Dijon,77,2,1,0,2,91,14,0,0,1,0,0,0,0,0,0,0
4771,292,Bleu Cheese,120,13,4,0,5,230,2,0,0,1,0,0,0,0,0,0,0
4772,292,Golden Italian,102,10,2,0,0,515,4,0,0,0,0,0,0,0,0,0,0
4773,292,Ranch,100,10,2,0,5,230,2,0,0,1,0,0,0,0,0,0,0
4774,292,Reduced Fat Ranch,30,1,0,0,0,220,4,0,0,1,0,0,0,0,0,0,0
4775,292,Recuced Fat Honey Mustard,55,2,0.3,0,0.2,190,10,0.5,0,0.6,0,0,0,0,0,0,0
4776,292,Caesar,180,18,3,0,10,290,0,1,0,2,0,0,0,0,0,0,0
4777,292,Thousand Island,110,10,2,0,5,170,3,0,0,1,0,0,0,0,0,0,0
4778,292,Honey French,60,1,0,0,0,220,9,0,0,0,0,0,0,0,0,0,0
4779,292,Balsamic Vinaigrette,120,9,2,0,0,50,9,0,0,0,0,0,0,0,0,0,0
4780,292,BBQ Sauce,35,0.4,0.1,0,0.3,290,8,0.5,0,0.3,0,0,0,0,0,0,0
4781,293,1/2 Rack of Ribs,"1,805",116,36,0,307,"3,801",124,8,0,70,0,0,224,7,0,0,0
4782,293,Full rack of Ribs,"2,914",193,64,0,608,"5,998",164,9,0,133,0,0,368,12,0,0,0
4783,293,Louisiana Sirloin,600,29,11,0,235,323,1,0.1,0,79,0,0,29,9,0,0,0
4784,293,Ribeye Steak,903,71,32,0,228,547,1,0,0,61,0,0,35,6,0,0,0
4785,293,Petite Sirloin,317,13,6,0,134,456,1,0,0,46,0,0,17,5,0,0,0
4786,293,Choice Sirloin,447,18,8,0,192,499,1,0,0,66,0,0,24,7,0,0,0
4787,293,Filet Mignon,756,53,22,0,219,479,1,0,0,66,0,0,43,8,0,0,0
4788,293,Chopped and Topped Steak,"1,230",84,32,0,272,"1,066",28,3,0,94,0,0,90,8,0,0,0
4789,293,Steak Tips Monterey on Rice,"1,143",82,27,0,169,"1,333",46,2,0,55,0,0,390,8,0,0,0
4790,293,Create Your Own Combo,"1,939",105.6,33,0,457,"4,525",107.2,4,0,134,0,0,234,13,0,0,0
4791,293,Steak,227,9.6,4,0,96,427,0.2,0,0,33,0,0,13,4,0,0,0
