food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
369,16,Chicken Noodle,70,2,0,0,15,720,10,1,1,4,0,0,0,0,0,0,0
370,16,Clam Chowder,200,9,5,0,35,"1,110",18,1,9,11,0,0,0,0,0,0,0
371,16,Country Potato,220,10,4.5,0,35,880,21,1,8,10,0,0,0,0,0,0,0
372,16,Hearty Vegetable,60,5,0,0,0,910,12,2,2,3,0,0,0,0,0,0,0
373,16,Hot and Sour,90,4,5,0,10,850,10,1,2,4,0,0,0,0,0,0,0
374,16,Mangia Mangia Mushroom,220,15,8,0,50,720,18,2,5,5,0,0,0,0,0,0,0
375,16,Mushroom Bisque,180,9,4,0,20,960,16,1,9,7,0,0,0,0,0,0,0
376,16,Tomato Bisque,310,26,14,0,80,870,17,2,8,3,0,0,0,0,0,0,0
377,16,Vegetarian Chili,140,2,0,0,0,"1,140",26,6,4,7,0,0,0,0,0,0,0
378,16,Wisconsin Cheese,190,9,5,0,30,780,17,1,9,10,0,0,0,0,0,0,0
379,17,Bacon,80,6,2,0,15,320,0,0,0,5,0,0,0,0,0,0,0
380,17,Beets,10,0,0,0,0,71,2,1,2,1,0,0,0,0,0,0,0
381,17,Black Olives,53,5,0,0,0,248,2,0,0,0,0,0,0,0,0,0,0
382,17,Carrots,12,1,1,0,0,10,3,1,2,1,4,59,0,1,0,0,0
383,17,Cheddar Cheese,120,10,6,0,30,190,1,0,0,7,0,6,20,0,0,0,0
384,17,Cottage Cheese,110,5,3,0,25,430,4,0,3,12,0,2,10,0,0,0,0
385,17,Cucumbers,4,1,0,0,0,1,1,1,1,1,2,1,0,0,0,0,0
386,17,Grape Tomatoes,25,0,0,0,0,0,6,1,3,0,40,8,0,2,0,0,0
387,17,Iceberg Lettuce,20,4,0,0,0,9,2,14,0,1,4,20,4,1,0,0,0
388,17,Mushrooms,7,1,0,0,0,1,1,1,4,1,1,0,0,2,0,0,0
389,17,Onion (Red),15,0,0,0,0,25,15,75,0,1,15,10,4,2,0,0,0
390,17,Pineapple,14,0,0,0,0,2,3,1,3,1,4,0,0,0,0,0,0
391,17,Spinach,10,0,0,0,0,100,7,7,0,2,35,90,6,30,0,0,0
392,18,Balsamic Vinaigrette,60,5,1,0,0,190,4,0,3,0,0,0,0,0,0,0,0
393,18,Bleu Cheese,160,17,3,0,15,260,2,0,1,1,0,0,2,0,0,0,0
394,18,Caesar,150,16,3,0,0,300,29,0,1,1,0,2,2,0,0,0,0
395,18,Fat Free French,30,0,0,0,0,310,8,1,5,0,0,0,0,0,0,0,0
396,18,Greek Feta,70,45,3,0,15,270,1,1,0,5,0,4,10,0,0,0,0
397,18,Honey Mustard,160,16,2.5,0,10,140,5,0,5,0,0,0,0,0,0,0,0
398,18,Ranch,180,20,3,0,3,250,1,0,1,0,0,0,0,0,0,0,0
399,18,Raspberry Vinaigrette,35,0,0,0,0,80,8,0,7,0,0,0,0,0,0,0,0
400,18,Thousand Island,120,11,1.5,0,5,300,5,0,4,0,2,2,0,0,0,0,0
401,19,Chow Mein Noodles,140,6,1,0,0,230,19,1,4,3,0,0,0,6,0,0,0
402,19,Crackers,25,5,0,0,0,80,4,1,0,1,0,0,0,0,0,0,0
403,19,Croutons,35,15,0,0,0,90,4,0,0,1,0,0,0,0,0,0,0
404,20,Chicken,102,3.4,0,0,60,68,0,0,0,18,2,0,2,4,0,0,0
405,20,Lamp,126,6.8,0,0,55,56,0,0,0,17,0,0,0,8,0,0,0
406,20,NY & KC Strip,79,1.2,37,0,47,272,1.1,0,0.7,16,0,0,3,38,0,0,0
407,20,Pork,123,5.1,0,0,51,46,0,0,0,18,1,0,1,4,0,0,0
408,20,Ribeye,123,4.3,0,0,50,54,0,0,0,18,0,0,0,4,0,0,0
409,20,Sausage,273,26,9,0,53,660,2,0,0,9,0,0,0,0,0,0,0
410,20,Turkey,102,3.4,0,0,55,60,0,0,0,19,0,0,0,0,0,0,0
411,21,Calamari,78,1.2,1.5,0,215,130,2.6,0,0,15,2,4,2,2,0,0,0
412,21,Crawfish,80,2,1,0,125,100,0,0,0,15,0,15,4,6,0,0,0
413,21,Krab (Surimi),85,1,0,0,9,771,9,0,0,10,0,0,0,0,0,0,0
414,21,Mussels,148,3.8,5,0,30,290,6.3,0,0,20,12,2,2,22,0,0,0
415,21,Salmon,156,10,2,0,50,50,0,0,0,17,6,0,1,2,0,0,0
416,21,Scallops,84,1,0,0,29,202,3,0,0,16,3,0,2,0,0,0,0
417,21,Shrimp,65,0,0,0,65,550,0,0,0,14,0,0,6,0,0,0,0
418,21,Tuna,112,4,0,0,39,52,0,0,0,20,0,0,0,0,0,0,0
