food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
5454,370,Breast,315,9,2,0.2,139,"1,360",5,0,0,43,0,0,0,0,0,0,0
5455,370,Thigh,289,16,4,0.3,131,703,4,0,0,24,0,0,0,0,0,0,0
5456,370,Leg,154,7,2,0.1,86,590,2,0,0,17,0,0,0,0,0,0,0
5457,370,Wing,164,10,2,0.2,77,609,3,0,0,14,0,0,0,0,0,0,0
5458,370,Potato Wedge,38,1,0.1,0,1,38,6,0,0,1,0,0,0,0,0,0,0
5459,371,Breast,301,13,3,0.2,165,998,2,0,0,44,0,0,0,0,0,0,0
5460,371,Thigh,233,15,5,0.2,132,721,1,0,0,23,0,0,0,0,0,0,0
5461,371,Leg,135,7,2,0.1,95,477,1,0,0,16,0,0,0,0,0,0,0
5462,371,Wing,103,7,2,0.1,58,491,1,0,0,10,0,0,0,0,0,0,0
5463,372,Breast,357,17,5,0.1,173,786,1,0,0,49,0,0,0,0,0,0,0
5464,372,Thigh,286,22,6,0.1,137,516,2,0,0,21,0,0,0,0,0,0,0
5465,372,Leg,150,9,2,0.1,103,381,1,0,0,19,0,0,0,0,0,0,0
5466,372,Wing,123,8,3,0.1,63,489,1,0,0,12,0,0,0,0,0,0,0
5467,373,Penne,"9,480",652,235,0,"1,205","6,360",620,49,64,273,0,0,0,0,0,0,0
