food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
6479,506,Mild,180,20,4,0,0,400,1,0,0,0,0,0,0,0,0,0,0
6480,506,Medium,10,0,0,0,0,890,1,0,1,1,0,0,0,0,0,0,0
6481,506,Hot,70,8,1.5,0,0,"1,010",2,0,1,0,0,0,0,0,0,0,0
6482,506,Extra Hot,0,0,0,0,0,230,0.8,0,0,0,0,0,0,0,0,0,0
6483,506,Suicide,5,0,0,0,0,680,1,0,0,0,0,0,0,0,0,0,0
6484,506,Homicide,10,0.5,0,0,0,610,2,1,1,0,0,0,0,0,0,0,0
6485,506,Honey Mustard,50,0.5,0,0,0,430,11,0,8,1,0,0,0,0,0,0,0
6486,506,BBQ,36,0.3,0,0,0,400,9,0,0,0,0,0,0,0,0,0,0
6487,506,Curry,68,7.5,1.3,0,0,235,0.3,0,0,0,0,0,0,0,0,0,0
6488,506,Lemon Pepper,92,10.3,2,0,0,271,0.3,0,0,0.1,0,0,0,0,0,0,0
6489,506,Teriyaki,25,0,0,0,0,340,5,0,5,1,0,0,0,0,0,0,0
6490,506,Cajun,60,6.3,1,0,0,425,1,0,0,0,0,0,0,0,0,0,0
6491,506,Golden Garlic,90,7.5,2,0,0,280,10,0,0,0,0,0,0,0,0,0,0
6492,506,Sweet & Sour,45,0,0,0,0,230,10,0,9,0,0,0,0,0,0,0,0
6493,506,Buffalo Garlic,17,1.7,0.3,0,0,100,0.4,0,0,0.2,0,0,0,0,0,0,0
6494,506,General Chicken,605,45,12.5,0,238,850,0,0,0,50,0,0,0,0,0,0,0
6495,506,General Chicken,506,20.1,5.7,0,203,173,3.6,0.2,0,73,0,0,36.5,0,0,0,0
