food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
6496,507,All American Wing,410,19,3.5,0,60,"1,500",29,1,0,28,0,0,0,20,0,0,0
6497,507,Honey BBQ,580,20,3.5,0,60,"2,050",71,2,34,29,0,6,6,20,0,0,0
6498,507,Totally Teriyaki,540,20,3.5,0,60,"2,320",61,2,18,29,0,6,6,20,0,0,0
6499,507,Garlic Parmesan,530,30,6,0,65,"1,890",33,2,2,32,2,6,8,20,0,0,0
6500,507,Spicy BBQ,540,20,3.5,0,65,"2,320",60,2,24,29,0,0,0,20,0,0,0
6501,507,Cajun,530,20,3.5,0,60,"2,280",57,2,17,29,2,10,4,20,0,0,0
6502,507,Flame Thrower,520,20,3.5,0,55,"2,370",57,2,15,28,0,30,2,20,0,0,0
6503,508,Wing Street Taters,350,21,5,0,0,"1,150",37,5,0,4,0,0,4,6,0,0,0
6504,508,Cheese Sticks,160,10,3.5,0,15,380,12,1,2,5,0,4,15,0,0,0,0
6505,508,Apple Pies,270,14,5,0,0,210,36,0,14,2,0,0,0,4,0,0,0
