food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
6506,509,Mild Sausage,414,17.9,0,0,44,737.9,48.1,2.2,0,17.6,0,0,0,0,0,0,0
6507,509,Hot Sausage,415,17.9,0,0,41.4,737,48.2,2.2,0,17.6,0,0,0,0,0,0,0
6508,509,Beef,409,14.7,0,0,44.3,735.4,66.1,2.1,0,18.2,0,0,0,0,0,0,0
6509,509,Cheese,351,12.3,0,0,29.2,516.3,48.8,2.1,0,14.5,0,0,0,0,0,0,0
6510,509,Pepperoni,377,14.7,0,0,34.8,619.4,63.6,2.1,0,15.7,0,0,0,0,0,0,0
6511,509,Taco,472,16.1,0,0,44,902.8,54.2,3.5,0,20.8,0,0,0,0,0,0,0
6512,509,Supreme,463,17.1,0,0,53,961.2,49.6,2.3,0,20.7,0,0,0,0,0,0,0
6513,509,Bacon Cheeseburger,459,17.7,0,0,54.3,"1,255.4",49,2.1,0,24.9,0,0,0,0,0,0,0
6514,509,Sausage Breakfast,443,14.9,0,0,92.8,790.3,47.9,1.9,0,19,0,0,0,0,0,0,0
6515,509,Bacon Breakfast,479,20.8,0,0,107.6,"1,498.3",49.9,1.9,0,23.5,0,0,0,0,0,0,0
6516,510,Mild Sausage,567,39.3,0,0,93.4,"1,714.5",49.2,4,0,30.1,0,0,0,0,0,0,0
6517,510,Hot Sausage,594,43.1,0,0,80.7,"1,721.3",50.2,4,0,27.4,0,0,0,0,0,0,0
6518,510,Ham & Cheese,356,17.7,0,0,59.7,"1,271",53.4,4,0,25.1,0,0,0,0,0,0,0
6519,510,Breaded Pork,630,17.5,0,0,48,"1,000",88,4,0,30,0,0,0,0,0,0,0
6520,510,Breaded Chicken,500,8.5,0,0,46,880,79,4,0,29,0,0,0,0,0,0,0
6521,510,Hamburger,491,31.4,0,0,80,644.3,25.1,1.1,0,23.9,0,0,0,0,0,0,0
6522,510,Cheeseburger,601,40.4,0,0,96,"1,088.3",26.1,1.1,0,28.9,0,0,0,0,0,0,0
6523,510,Bacon Cheeseburger,691,48.4,0,0,111,"1,338",26.1,1.1,0,32.9,0,0,0,0,0,0,0
6524,511,Chicken Tenders,225,9,0,0,37.5,855,18,0,0,21,0,0,0,0,0,0,0
6525,511,Popcorn Chicken,342,16.7,0,0,55.4,"1,257.5",25.6,0.9,0,21.6,0,0,0,0,0,0,0
6526,511,Mini Cheese Bites,700,49,0,0,70,"1,750",35,0,0,15,0,0,0,0,0,0,0
6527,511,Pizza Bites,460,22,0,0,20,"1,080",48,2,0,16,0,0,0,0,0,0,0
6528,511,Cheese Breadsticks,750,31.5,0,0,21.8,"1,024",97,3,0,19.8,0,0,0,0,0,0,0
6529,511,Hashbrowns,130,3.5,0,0,5,190,15,2,0,2,0,0,0,0,0,0,0
6530,511,Potato Cheese Bites,180,10,0,0,15,450,18,3,0,5,0,0,0,0,0,0,0
6531,511,Potato Wedges,327,14,0,0,23.3,886.7,44.3,4.7,0,4.7,0,0,0,0,0,0,0
6532,512,Bacon & Egg Croissant,375,28,0,0,165,890,27,1,0,17,0,0,0,0,0,0,0
6533,512,Sausage & Egg Croissant,544,57.1,0,0,221.5,891.6,19.2,3,0,25.2,0,0,0,0,0,0,0
6534,512,Ham & Egg Croissant,368,23.9,0,0,169.7,830.7,19.2,1,0,19.7,0,0,0,0,0,0,0
6535,512,Bacon & Egg Biscuit,415,29,0,0,165,"1,530",35,0,0,18,0,0,0,0,0,0,0
6536,512,Sausage & Egg Biscuit,584,58.1,0,0,221.5,"1,531.6",27.2,2,0,26.2,0,0,0,0,0,0,0
6537,512,Canadian Bacon & Egg Biscuit,406,24.7,0,0,170,"1,465",27.5,0,0,20.5,0,0,0,0,0,0,0
6538,512,Ham & Egg Biscuit,408,24.9,0,0,169.7,"1,470.7",27.2,0,0,20.7,0,0,0,0,0,0,0
6539,513,Long Johns,230,13,0,0,10,170,22,1,0,4,0,0,0,0,0,0,0
6540,513,Premium Rings,230,13,0,0,0,250,24,1,0,4,0,0,0,0,0,0,0
6541,513,Cinnamon Buns,298,15,0,0,10,240,24,1,0,5,0,0,0,0,0,0,0
6542,513,Donut Holes,390,19,0,0,18,525,53,2,0,3.5,0,0,0,0,0,0,0
6543,513,Brownie Bites,665,38.5,0,0,70,420,73.5,0,0,7,0,0,0,0,0,0,0
6544,513,Raspberry Cheese Flips,430,25,0,0,10,240,46,0,0,5,0,0,0,0,0,0,0
6545,513,Chocolate Chuck Cookie,300,10,0,0,20,290,48,2,0,3,0,0,0,0,0,0,0
6546,513,Sugar Cookie,240,10,0,0,10,290,35,1,0,2,0,0,0,0,0,0,0
6547,513,Peanut Butter Cookie,340,18,0,0,15,340,39,1,0,5,0,0,0,0,0,0,0
6548,513,XXL Chocolate Chunk Cookie,610,28,0,0,35,530,82,3,0,7,0,0,0,0,0,0,0
6549,513,XXL Oatmeal Raisin,640,34,0,0,45,370,76,5,0,7,0,0,0,0,0,0,0
6550,513,Brownie,450,25,0,0,80,130,51,3,0,5,0,0,0,0,0,0,0
