food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
7114,546,Almond Amaretto,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7115,546,Berry Vanilla,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7116,546,Chocolate Mint,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7117,546,Cinnamon Vanilla Mint,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7118,546,Egg Nog,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7119,546,English Toffee,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7120,546,Fat Free French Vanilla,110,0,0,0,0,150,24,1,14,2,10,0,6,0,0,0,0
7121,546,French Vanilla,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7122,546,Hazlenut,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7123,546,Hot Horchata,140,5,5,0,0,110,22,0,18,2,6,2,0,2,0,0,0
7124,546,Irish Cream,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7125,546,Mocha Latte,120,1.5,0,0,0,150,20,0,12,7,0,0,25,8,0,0,0
7126,546,Original,225,9,9,0,0,180,32,1,27,3,10,0,8,2,0,0,0
7127,546,Pumpkin Spice,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7128,546,Raspberry Mocha,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7129,546,White Chocolate Caramel,220,8,7,0,0,190,34,1,23,3,10,0,8,2,0,0,0
7130,547,Hot Dog,180,17,6,0,35,600,1,0,1,6,0,0,0,2,0,0,0
7131,547,Jumbo Hot Dog,370,34,12,0,70,"1,200",2,0,1,12,0,0,0,0,0,0,0
7132,547,Polish Sausage,290,26,9,0,60,"1,000",2,0,1,12,0,0,0,0,0,0,0
7133,547,Sausage Egg & Cheese Tornado,180,7,2,0,20,430,24,1,1,5,1,3,3,7,0,0,0
7134,547,Egg Bacon Cheese & Salsa Tornado,190,8,1.5,0,20,460,27,1,1,6,2,2,4,8,0,0,0
7135,547,Ranchero Beef Steak & Cheese Tornado,190,5,2,0,20,450,27,1,1,7,0,4,6,10,0,0,0
7136,547,Grilled Chicken & Cheese Tornado,180,7,1.5,0,10,430,24,1,1,7,2,2,4,8,0,0,0
7137,548,Ham and Cheese Snacker,230,4.5,4,0,30,"1,020",28,2,3,17,0,2,4,10,0,0,0
7138,548,Turkey and Cheese Snacker,200,5,0.5,0,20,890,27,2,3,14,0,2,4,10,0,0,0
7139,548,Egg Salad Snacker,260,12,2.5,0,145,450,31,2,4,10,0,4,2,10,0,0,0
7140,548,Ham Salad Snacker,250,11,2,0,20,690,31,3,4,10,2,0,2,10,0,0,0
7141,548,Chicken Salad Snacker,270,11,2,0,25,440,32,3,6,12,4,0,2,10,0,0,0
7142,548,American Sub,600,28,11,0,75,"2,310",51,3,7,32,0,4,15,20,0,0,0
7143,548,Club Sub,470,15,6,0,55,"2,080",50,3,5,32,0,4,15,20,0,0,0
7144,548,Ham and Cheese Sub,430,11,7,0,45,"1,880",50,3,5,29,0,4,15,15,0,0,0
7145,548,Black Angus Burger,670,36,13,0,80,920,52,3,0,31,0,0,6,35,0,0,0
7146,548,Chicken Salad Wedge,380,19,3.5,0,40,670,40,3,8,15,8,0,2,2,0,0,0
7147,548,Ham Salad Wedge,340,18,2.5,0,35,"1,110",38,1,4,13,2,0,0,2,0,0,0
7148,548,Italian Sub,510,21,12,0,65,"1,750",48,3,5,32,0,8,20,20,0,0,0
7149,548,Egg Salad Wedge,390,20,4,0,255,620,42,0,4,13,0,8,4,50,0,0,0
7150,548,"Sausage, Egg and Cheese Biscuit",540,38,12,0,170,"1,310",32,0,2,17,0,8,20,6,0,0,0
7151,548,Spicy Chicken,470,12,2.5,0,40,"1,480",63,2,5,27,0,2,10,25,0,0,0
7152,548,Tuna Salad Wedge,340,15,2,0,25,790,39,3,4,14,8,0,0,2,0,0,0
7153,548,Turkey and Cheese Wedge,270,13,0.5,0,35,"1,480",32,0,2,21,0,2,8,4,0,0,0
7154,548,Twin Cheeseburgers,510,30,12,0,40,"1,390",38,4,0,24,0,4,20,15,0,0,0
7155,548,Grilled Chicken Sandwich,340,8,1.5,0,50,820,39,1,4,27,0,2,15,15,0,0,0
7156,548,Ham and Cheese Wedge,310,11,6,0,55,"1,720",32,0,2,25,0,2,8,2,0,0,0
7157,548,BBQ Rib,510,21,8,0,55,"1,130",49,4,1,26,0,2,10,25,0,0,0
