food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
7314,556,1/4 White Original Rotisserie Chicken,510,27,9,0,255,"1,140",2,0,1,67,0,0,0,0,0,0,0
7315,556,"1/4 White Original Rotisserie Chicken, No Skin",320,7,2,0,140,950,2,0,2,61,0,0,0,0,0,0,0
7316,556,1/4 White Simply Seasoned Chicken,510,27,9,0,255,"1,110",1,0,1,67,0,0,0,0,0,0,0
7317,556,1/4 Dark Original Rotisserie Chicken,420,26,8,0,250,660,1,0,0,47,0,0,0,0,0,0,0
7318,556,"1/4 Dark Original Rotisserie Chicken, No Skin",400,21,6,0,240,700,1,0,0,46,0,0,0,0,0,0,0
7319,556,1/4 Dark Simply Seasoned Chicken,420,26,8,0,250,630,0,0,0,47,0,0,0,0,0,0,0
7320,556,Roasted Turkey,230,10,1.5,0,45,620,1,0,1,31,0,0,0,0,0,0,0
7321,556,Pastry Top Chicken Pot Pie,800,49,18,0,125,910,59,4,4,31,0,0,0,0,0,0,0
7322,556,USDA Choice All Beef Meatloaf,480,33,13,0,125,970,23,2,6,29,0,0,0,0,0,0,0
7323,556,Award Winning Roasted Sirloin,270,10,3.5,7,125,290,0,0,0,43,0,0,0,0,0,0,0
7324,557,Whole Original Rotisserie Chicken,"1,140",28,8,0,460,0,7,0,0,102,0,0,0,0,0,0,0
7325,557,Roasted Turkey,230,10,1.5,0,45,620,1,0,1,31,0,0,0,0,0,0,0
7326,557,USDA Choice Beef Meatloaf,510,35,14,0,135,115,4,0,4,31,0,0,0,0,0,0,0
7327,557,Award Winning Sirloin,270,10,3.5,7,125,290,0,0,0,43,0,0,0,0,0,0,0
7328,558,Sweet Corn LF,170,4,1,0,0,95,37,2,10,6,0,0,0,0,0,0,0
7329,558,Creamed Spinach,280,23,15,0,70,580,12,4,1,9,0,0,0,0,0,0,0
7330,558,Green Beans,90,5,1,0,0,70,10,4,2,2,0,0,0,0,0,0,0
7331,558,Cinnamon Apples,210,3,0,0,0,15,47,3,42,0,0,0,0,0,0,0,0
7332,558,Macaroni and Cheese,330,12,7,0.5,30,"1,290",39,1,9,14,0,0,0,0,0,0,0
7333,558,Mashed Potatoes,210,9,6,0,25,660,29,3,2,4,0,0,0,0,0,0,0
7334,558,Poultry Gravy,25,1,0,0,0,350,4,0,1,0,0,0,0,0,0,0,0
7335,558,Garlic Dill New Potatoes LF,140,3,1,0,0,120,24,3,2,3,0,0,0,0,0,0,0
7336,558,Fresh Vegetable Stuffing,190,8,1,0,0,580,25,2,4,3,0,0,0,0,0,0,0
7337,558,Sweet Potato Casserole,460,17,6,0,20,210,77,3,39,4,0,0,0,0,0,0,0
7338,558,Fresh Steamed Vegetables LF,50,2,0,0,0,45,8,3,3,2,0,0,0,0,0,0,0
7339,558,Cranberry Walnut Relish LF,140,2,0,0,0,0,30,2,27,1,0,0,0,0,0,0,0
7340,558,Garden Fresh Coleslaw,220,19,3,0,20,160,11,2,6,2,0,0,0,0,0,0,0
7341,558,Seasonal Fresh Fruit Salad LF,60,0,0,0,0,20,15,1,13,1,0,0,0,0,0,0,0
7342,558,Caesar Side Salad,40,2,1.5,0,0,75,3,1,2,3,0,0,0,0,0,0,0
7343,558,Caesar Salad Dressing,360,38,6,0.5,30,910,4,1,2,2,0,0,0,0,0,0,0
7344,558,Chicken Tortilla Soup,350,21,7,0,50,"1,040",25,1,2,13,0,0,0,0,0,0,0
7345,558,Chicken Noodle Soup,180,7,2,0,60,200,16,1,1,15,0,0,0,0,0,0,0
7346,559,Boston Sirloin Dip Carver,970,45,12,8,195,"1,510",70,3,4,71,0,0,0,0,0,0,0
7347,559,Beef Au jus for Boston Sirloin Dip Carver,20,0,0,0,0,760,4,0,0,1,0,0,0,0,0,0,0
7348,559,Boston Chicken Carver,700,29,7,0,90,"1,560",68,3,4,44,0,0,0,0,0,0,0
