food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
487,31,Asian Sesame Ginger,28,2,0,0,0,232,3,0,0,1,0,0,0,0,0,0,0
488,31,Black Bean Garlic,15,0,0,0,0,596,3,0,0,1,0,0,0,0,0,0,0
489,31,Indian Coconut Curry,42,2.7,0,0,0,130,4.5,0,0,0.5,0,0,0,0,0,0,0
490,31,Kung Pao Hoisin,46,1.6,0,0,0,649,7,0,0,1.6,0,0,0,0,0,0,0
491,31,Pad Thai,40,0.5,0,0,0,420,9.2,0,0,0.6,0,0,0,0,0,0,0
492,31,Really Wild Mushroom,26,1.8,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0
493,31,Flat Top Grill Sauce,19,0,0,0,0,488,4.4,0,0,0.6,0,0,0,0,0,0,0
494,31,Garlic Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,31,Ginger Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,31,Red Hot Chili,41,1.3,0,0,0,686,7.8,0,0,0,0,0,0,0,0,0,0
497,31,Honey Mustard,43,1.2,0,0,0,328,9.8,0,0,1,0,0,0,0,0,0,0
498,31,Hot Mustard,37,2.6,0,0,0,0,2,0,0,1.9,0,0,0,0,0,0,0
499,31,Horseradish Tofu,128,13.8,0,0,0,133,1.3,0,0,0.4,0,0,0,0,0,0,0
500,31,Nonfat Spicy Lime Basil,21,0,0,0,0,226,5,0,0,0.3,0,0,0,0,0,0,0
501,31,Peanut Sauce,53,4.2,0,0,0,0,2.9,0,0,2.3,0,0,0,0,0,0,0
502,31,Soy Sesame,39,1.2,0,0,0,458,6.7,0,0,0.6,0,0,0,0,0,0,0
503,31,Sweet & Sour,33,0.5,0,0,0,314,7.1,0,0,0,0,0,0,0,0,0,0
504,31,Teriyaki Sauce,15,0,0,0,0,321,2,0,0,1,0,0,0,0,0,0,0
505,31,Vietnamese Soy,20,0,0,0,0,810,4,0,0,1,0,0,0,0,0,0,0
506,31,Vindahoo,71,4,0,0,0,321,6,0,0,0,0,0,0,0,0,0,0
507,31,Rice Wine Vinegar,12,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0
508,31,Sesame Oil,98,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,31,Cucumber Vinaigrette,64,1.2,0,0,0,458,6.7,0,0,0,0,0,0,0,0,0,0
510,31,Roti Prata Flatbread,0,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
