food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
8092,601,Bacon Slice,40,3,0,0,8,118,0,0,0,3,0,0,0,0,0,0,0
8093,601,BET Sandwich,532,30,0,0,167,851,40,0,0,26,0,0,0,0,0,0,0
8094,601,Biscuit,232,11,0,0,0,716,30,0,0,4,0,0,0,0,0,0,0
8095,601,Breakfast Gravy,175,6,0,0,4,465,28,0,0,2,0,0,0,0,0,0,0
8096,601,Breakfast Steak,179,13,0,0,31,336,8,0,0,7,0,0,0,0,0,0,0
8097,601,Cheese,25,2,0,0,5,35,1,0,0,1,0,0,0,0,0,0,0
8098,601,Cinnamon Roll,351,11,0,0,6,374,56,0,0,7,0,0,0,0,0,0,0
8099,601,"Eggs, Fried",46,3,0,0,96,58,2,0,0,2,0,0,0,0,0,0,0
8100,601,"Eggs, Scrambled",126,9,0,0,328,166,3,0,0,9,0,0,0,0,0,0,0
8101,601,Hashbrown,195,13,0,0,1,331,18,0,0,2,0,0,0,0,0,0,0
8102,601,Hot Cake,59,3,0,0,9,183,8,0,0,2,0,0,0,0,0,0,0
8103,601,Maple Syrup,197,1,0,0,1,60,46,0,0,1,0,0,0,0,0,0,0
8104,601,Orange Juice,86,1,0,0,0,2,20,0,0,2,0,0,0,0,0,0,0
8105,601,Sausage,240,22,0,0,36,240,0,0,0,10,0,0,0,0,0,0,0
8106,602,Catfish,234,13,0,0,29,397,15,0,0,15,0,0,0,0,0,0,0
8107,602,Chicken Breast,383,24,0,0,111,678,12,0,0,33,0,0,0,0,0,0,0
8108,602,Chicken Leg,175,11,0,0,55,313,14,0,0,13,0,0,0,0,0,0,0
8109,602,Chicken Thigh,445,34,0,0,99,634,15,0,0,17,0,0,0,0,0,0,0
8110,602,Chicken Wing,214,13,0,0,66,373,6,0,0,17,0,0,0,0,0,0,0
8111,602,Chicken Gizzard,64,4,0,0,34,62,3,0,0,4,0,0,0,0,0,0,0
8112,602,Chicken Liver,80,5,0,0,69,60,4,0,0,6,0,0,0,0,0,0,0
8113,602,Chicken Tenders,339,21,0,0,27,858,20,0,0,16,0,0,0,0,0,0,0
8114,602,Chicken Nugget,28,2,0,0,8,85,2,0,0,3,0,0,0,0,0,0,0
8115,602,Chicken Fried Chicken,506,25,0,0,79,"1,819",32,0,0,36,0,0,0,0,0,0,0
8116,602,Chicken Fried Chicken,139,7,0,0,21,464,8,0,0,11,0,0,0,0,0,0,0
8117,602,Chicken Parmesan,553,42,0,0,96,"2,054",36,0,0,36,0,0,0,0,0,0,0
8118,602,Country Steak,324,22,0,0,30,738,20,0,0,12,0,0,0,0,0,0,0
8119,602,Grilled Filet,186,6,0,0,37,434,1,0,0,34,0,0,0,0,0,0,0
8120,602,Grilled Filet Sandwich,381,20,0,0,50,644,25,0,0,27,0,0,0,0,0,0,0
8121,602,Platter Steak,202,13,0,0,22,419,13,0,0,9,0,0,0,0,0,0,0
8122,602,Pot Roast,225,11,0,0,85,535,4,0,0,30,0,0,0,0,0,0,0
8123,602,Pot Roast Gravy,77,5,0,0,7,654,5,0,0,1,0,0,0,0,0,0,0
8124,602,"Rib, Smoked",250,19,0,0,67,385,3,0,0,22,0,0,0,0,0,0,0
8125,602,Roast Chicken (White),393,22,0,0,209,"1,023",2,0,0,48,0,0,0,0,0,0,0
8126,602,Roast Chicken (Dark),413,28,0,0,135,991,4,0,0,36,0,0,0,0,0,0,0
8127,602,"Shrimp, Buttermilk",37,2,0,0,10,145,3,0,0,2,0,0,0,0,0,0,0
8128,602,Texas Style Steak,666,44,0,0,64,"1,616",42,0,0,26,0,0,0,0,0,0,0
8129,602,Turkey,60,1,0,0,20,520,1,0,0,11,0,0,0,0,0,0,0
