food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
9946,767,Deluxe Bacon Double Cheeseburger,800,48,17,4,165,"1,600",47,2,10,45,10,40,30,25,0,0,0
9947,767,Deluxe Double Cheeseburger,720,42,15,4,150,"1,370",46,2,10,41,10,40,30,25,0,0,0
9948,767,Deluxe Bacon Cheeseburger,570,33,10,3.5,90,"1,200",41,2,10,27,10,25,20,15,0,0,0
9949,767,Deluxe Hamburger,460,26,7,3.5,65,840,37,2,9,21,10,6,15,15,0,0,0
9950,767,Deluxe Cheeseburger,510,28,8,3.5,80,"1,020",41,2,9,24,10,25,20,15,0,0,0
9951,767,Hamburger,430,22,7,3.5,55,730,37,3,8,26,4,4,10,25,0,0,0
9952,767,Cheeseburger,470,24,8,3.5,70,910,40,2,10,24,4,20,20,15,0,0,0
9953,767,Grilled Chicken Sandwich,430,15,3.5,1.5,90,"1,080",37,4,10,37,10,4,10,20,0,0,0
9954,767,Crispy Chicken Sandwich,580,25,5,3,65,"1,390",57,5,8,32,10,6,10,25,0,0,0
9955,767,Chicken Strips,500,29,5,2,55,"1,050",32,2,2,28,0,0,6,15,0,0,0
9956,767,Extra Chicken Strip,170,10,1.5,0.5,20,350,11,1,1,9,0,0,2,4,0,0,0
9957,768,Ranch,160,17,2.5,0,15,240,2,0,1,0,0,0,0,0,0,0,0
9958,768,BBQ,40,0,0,0,0,230,10,0,6,0,0,0,0,2,0,0,0
9959,768,Honey Mustard,100,6,1.5,0,0,170,12,0,6,0,0,0,0,0,0,0,0
9960,768,Sweet & Sour,45,0,0,0,0,120,12,0,7,0,2,0,0,0,0,0,0
9961,769,Hot Dog (plain),280,17,6,1,35,710,22,1,4,11,0,2,4,8,0,0,0
9962,769,Coney (Chili) Dog,310,18,7,1,40,870,24,2,5,13,2,4,6,10,0,0,0
9963,769,Coney (Chili) / Cheese Dog,350,21,8,1,45,"1,070",27,2,5,13,2,4,8,10,0,0,0
9964,769,Cheese Dog,320,20,7,1,40,910,25,1,4,11,2,2,6,8,0,0,0
9965,770,Kids Fries,310,13,3.5,4,0,460,45,4,0,3,30,0,0,0,0,0,0
9966,770,Large Fries,430,18,4.5,5.5,0,640,61,6,1,5,45,0,0,0,0,0,0
9967,770,Chili Fries,370,16,4.5,4,10,780,49,5,2,8,30,8,2,4,0,0,0
9968,770,Cheese Fries,380,19,5,4,5,870,50,4,0,4,30,0,4,0,0,0,0
9969,770,Chili / Cheese Fries,400,19,5,4,10,990,51,5,2,8,30,8,4,4,0,0,0
9970,770,Onion Rings,350,17,3.5,6.5,5,720,45,2,3,5,2,0,2,2,0,0,0
9971,770,Cheese Curds,570,40,21,1,105,"1,220",27,2,3,27,0,35,80,10,0,0,0
9972,770,Chili Bowl,190,6,2,0,20,640,22,5,9,12,2,30,8,15,0,0,0
9973,771,A&W Regular Root Beer,220,0,0,0,0,40,57,0,29,0,0,0,0,0,0,0,0
9974,771,A&W Regular Root Beer,290,0,0,0,0,50,76,0,76,0,0,0,0,0,0,0,0
9975,771,A&W Regular Root Beer,460,0,0,0,0,85,121,0,121,0,0,0,0,0,0,0,0
9976,771,A&W Diet Root Beer,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
9977,771,A&W Diet Root Beer,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
9978,771,A&W Diet Root Beer,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
9979,772,A&W Root Beer Float,330,5,3,0,40,100,70,0,57,2,0,8,8,0,0,0,0
9980,772,A&W Root Beer Float,350,5,3,0,40,105,77,0,64,2,0,8,8,0,0,0,0
9981,772,A&W Root Beer Float,640,10,6,0.5,75,200,136,0,110,4,0,15,15,0,0,0,0
9982,772,A&W Diet Root Beer Float,170,5,3,0,40,100,30,0,17,2,0,8,8,0,0,0,0
9983,772,A&W Diet Root Beer Float,170,5,3,0,40,105,30,0,17,2,0,8,8,0,0,0,0
9984,772,A&W Diet Root Beer Float,350,10,6,0.5,75,200,60,0,34,4,0,15,15,0,0,0,0
9985,773,Cola,145,0,0,0,0,23,37,0,37,0,0,0,0,0,0,0,0
9986,773,Cola,195,0,0,0,0,28,51,0,51,0,0,0,0,0,0,0,0
9987,773,Cola,290,0,0,0,0,43,74,0,74,0,0,0,0,0,0,0,0
9988,773,Diet Cola,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
9989,773,Diet Cola,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
9990,773,Diet Cola,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
9991,773,Sprite,290,0,0,0,0,60,72,0,72,0,0,0,0,0,0,0,0
9992,773,Sprite,200,0,0,0,0,40,49,0,49,0,0,0,0,0,0,0,0
9993,773,Sprite,150,0,0,0,0,30,36,0,36,0,0,0,0,0,0,0,0
9994,774,Caramel Sundae,340,9,4,0,35,250,57,0,13,8,0,20,20,2,0,0,0
9995,774,Caramel Sundae (Extra Oreo's),620,21,7,0,35,550,98,2,35,10,0,20,20,20,0,0,0
