food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
11762,915,Hamburger w/onion,390,19,5,0,40,650,39,3,10,16,15,10,4,20,0,0,0
11763,915,Hamburger w/onion (With Mustard & Ketchup instead of Spread),310,10,4,0,35,730,41,3,10,16,20,15,4,20,0,0,0
11764,915,Hamburger w/onion-Protein Style,240,17,4,0,40,370,11,3,7,13,20,15,4,15,0,0,0
11765,915,Cheeseburger w/onion,480,27,10,0,60,"1,000",39,3,10,22,15,15,20,20,0,0,0
11766,915,Cheeseburger w/onion (With Mustard & Ketchup instead of Spread),400,18,9,0,60,"1,080",41,3,10,22,20,20,20,20,0,0,0
11767,915,Cheeseburger w/onion-Protein Style,330,25,9,0,60,720,11,3,7,18,20,20,20,15,0,0,0
11768,915,Double-Double w/onion,670,41,18,0,120,"1,440",39,3,10,37,15,20,35,30,0,0,0
11769,915,Double-Double w/onion (With Mustard & Ketchup instead of Spread),590,32,17,0,115,"1,520",41,3,10,37,20,25,35,30,0,0,0
11770,915,Double-Double w/onion-Protein Style,520,39,17,0,120,"1,160",11,3,7,33,20,25,35,25,0,0,0
11771,916,French Fries,400,18,5,0,0,245,54,2,0,7,0,0,2,10,0,0,0
11772,917,Chocolate Shake,690,36,24,0,95,350,83,0,62,9,0,15,30,4,0,0,0
11773,917,Vanilla Shake,680,37,25,0,90,390,78,0,57,9,0,15,30,0,0,0,0
11774,917,Strawberry Shake,690,33,22,0,85,280,91,0,75,9,0,15,30,0,0,0,0
11775,917,Coca-Cola Classic,198,0,0,0,0,12,54,0,54,0,0,0,0,0,0,0,0
11776,917,Diet Coca-Cola,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
11777,917,Seven-Up,200,0,0,0,0,60,54,0,54,0,0,0,0,0,0,0,0
11778,917,Dr. Pepper,180,0,0,0,0,60,52,0,52,0,0,0,0,0,0,0,0
11779,917,Root Beer,222,0,0,0,0,48,60,0,60,0,0,0,0,0,0,0,0
11780,917,Lemonade,180,0,0,0,0,20,40,0,38,0,8,0,0,0,0,0,0
11781,917,Iced Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11782,917,Coffee,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
11783,917,Milk,180,6,4,0,30,190,18,0,18,12,6,15,45,0,0,0,0
11784,918,3-by-3,860,55,26,0,180,"1,880",39,3,10,52,15,25,50,40,0,0,0
11785,918,4-by-4,970,60,33,0,235,"2,400",39,3,10,67,15,35,65,50,0,0,0
11786,918,5-by-5,"1,240",83,42,0,300,"2,760",39,3,10,82,15,35,80,60,0,0,0
11787,918,10-by-10,"1,920",130,69,0,480,"3,765",39,3,10,127,15,40,122,90,0,0,0
11788,918,50-by-50,"9,810",708,408,0,"2,975","21,470",39,3,10,729,15,255,750,484,0,0,0
11789,918,100-by-100,"19,300","1,409",809,0,"5,970","43,510",39,3,10,"1,479",15,505,"1,500",980,0,0,0
11790,918,500-by-500,"95,310","7,005","4,006",0,"29,965","219,400",39,3,10,"7,479",15,"2,505","7,500","4,980",0,0,0
