food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
11791,919,Asian Chicken Salad,140,1,0,0,25,470,19,5,13,14,0,0,0,0,0,0,0
11792,919,Chicken Club Salad,300,15,6,0,65,880,13,4,7,27,0,0,0,0,0,0,0
11793,919,Side Salad,60,3,1.5,0,10,65,5,2,3,3,0,0,0,0,0,0,0
11794,919,Southwest Chicken Salad,300,11,5,0,55,860,29,7,8,24,0,0,0,0,0,0,0
11795,920,Bacon Bacon Cheeseburger,840,56,19,1.5,95,"1,610",51,2,9,34,0,0,0,0,0,0,0
11796,920,Bacon Ultimate Cheeseburger,"1,090",77,30,3,140,"2,040",53,2,12,46,0,0,0,0,0,0,0
11797,920,Bacon 'n' Cheese Ciabatta Burger,"1,140",79,28,3,135,"1,740",69,3,7,45,0,0,0,0,0,0,0
11798,920,Hamburger,310,14,6,1,40,600,30,1,6,16,0,0,0,0,0,0,0
11799,920,Hamburger with Cheese,350,17,8,1,50,790,31,1,7,18,0,0,0,0,0,0,0
11800,920,Hamburger deluxe,370,21,7,1,45,560,31,2,6,17,0,0,0,0,0,0,0
11801,920,Hamburger deluxe with Cheese,460,28,11,1,70,930,33,2,7,21,0,0,0,0,0,0,0
11802,920,Jumbo Jack,600,35,12,1.5,45,940,51,3,11,21,0,0,0,0,0,0,0
11803,920,Jumbo Jack with Cheese,690,42,16,1.5,70,"1,310",54,3,12,25,0,0,0,0,0,0,0
11804,920,Junior Bacon Cheeseburger,430,25,9,1,60,820,30,1,6,20,0,0,0,0,0,0,0
11805,920,Original Ciabatta Burger,720,42,13,1.5,55,"1,280",67,3,5,25,0,0,0,0,0,0,0
11806,920,Sourdough Jack,710,51,18,3,75,"1,230",36,3,7,27,0,0,0,0,0,0,0
11807,920,Sourdough Ultimate Cheeseburger,950,73,29,4.5,125,"1,360",36,2,7,38,0,0,0,0,0,0,0
11808,920,Ultimate Cheeseburger,"1,010",71,28,3,125,"1,580",53,2,12,40,0,0,0,0,0,0,0
11809,921,Bacon Chicken Sandwich,440,24,6,2.5,40,970,39,2,4,19,0,0,0,0,0,0,0
11810,921,Bruschetta Chicken Ciabatta Sandwich,660,26,7,0,85,"1,880",69,4,5,41,0,0,0,0,0,0,0
11811,921,Chicken Breast Strips,500,25,6,6,80,"1,260",36,3,1,35,0,0,0,0,0,0,0
11812,921,Chicken Fajita Pita,300,10,4.5,0,65,880,31,3,4,23,0,0,0,0,0,0,0
11813,921,Chicken Sandwich,400,21,4.5,2.5,35,730,38,2,4,15,0,0,0,0,0,0,0
11814,921,Chipotle Chicken Ciabatta™ with Grilled Chicken,700,30,9,0,105,"1,920",68,4,5,44,0,0,0,0,0,0,0
11815,921,Chipotle Chicken Ciabatta™ with Spicy Crispy Chicken,770,36,10,3,80,"1,720",78,4,4,36,0,0,0,0,0,0,0
11816,921,Fish & Chips - small,570,30,7,9,35,"1,100",58,4,1,17,0,0,0,0,0,0,0
11817,921,Fish & Chips - medium,660,34,8,10,35,"1,250",70,5,1,18,0,0,0,0,0,0,0
11818,921,Fish & Chips - large,830,42,10,12,35,"1,530",92,6,1,21,0,0,0,0,0,0,0
11819,921,Jack's Spicy Chicken,620,31,6,3,50,"1,100",61,4,8,25,0,0,0,0,0,0,0
11820,921,Jack's Spicy Chicken with Cheese,700,37,10,3,70,"1,410",62,4,8,29,0,0,0,0,0,0,0
11821,921,Sourdough Grilled Chicken Club,530,28,7,2,85,"1,430",34,3,5,36,0,0,0,0,0,0,0
11822,921,Southwest Chicken Pita,230,3.5,1,0,40,790,34,3,3,18,0,0,0,0,0,0,0
11823,922,Bacon Cheddar Potato Wedges,720,48,15,12,45,"1,360",52,4,2,21,0,0,0,0,0,0,0
11824,922,Egg Roll,130,6,2,1,5,310,15,2,1,5,0,0,0,0,0,0,0
11825,922,Egg Rolls,400,19,6,3,15,920,44,6,4,14,0,0,0,0,0,0,0
11826,922,Beef Monster Taco,240,14,5,2,20,390,20,3,4,8,0,0,0,0,0,0,0
11827,922,Natural Cut Fries,270,12,3,3.5,0,440,35,3,1,4,0,0,0,0,0,0,0
11828,922,Natural Cut Fries,360,17,4,5,0,590,47,4,1,5,0,0,0,0,0,0,0
11829,922,Natural Cut Fries,530,25,6,7,0,870,69,5,1,8,0,0,0,0,0,0,0
11830,922,Onion Rings,500,30,6,10,0,420,51,3,3,6,0,0,0,0,0,0,0
11831,922,Regular Beef Taco,160,8,3,1,15,270,15,2,4,5,0,0,0,0,0,0,0
11832,922,Seasoned Curly Fries,270,15,3,5,0,590,30,3,1,4,0,0,0,0,0,0,0
11833,922,Seasoned Curly Fries,400,23,5,7,0,890,45,5,1,6,0,0,0,0,0,0,0
11834,922,Seasoned Curly Fries,550,31,6,10,0,"1,200",60,6,1,8,0,0,0,0,0,0,0
11835,922,Stuffed Jalapenos,230,13,6,2,20,690,22,2,2,7,0,0,0,0,0,0,0
11836,922,Stuffed Jalapenos,530,30,13,4.5,45,"1,600",51,4,5,15,0,0,0,0,0,0,0
11837,923,Cheesecake,310,16,9,1,55,220,34,0,23,7,0,0,0,0,0,0,0
11838,923,Chocolate Ice Cream Shake,660,29,18,1,110,270,89,1,79,11,0,0,0,0,0,0,0
11839,923,Chocolate Ice Cream Shake,850,38,24,1.5,150,340,111,1,98,15,0,0,0,0,0,0,0
11840,923,Chocolate Ice Cream Shake,"1,310",57,36,2,225,540,178,2,158,23,0,0,0,0,0,0,0
11841,923,Chocolate Malted Crunch Ice Cream Shake,720,33,22,1,115,270,94,1,80,13,0,0,0,0,0,0,0
11842,923,Chocolate Malted Crunch Ice Cream Shake,920,43,28,1.5,155,350,116,1,99,16,0,0,0,0,0,0,0
11843,923,Chocolate Malted Crunch Ice Cream Shake,"1,450",65,43,2.5,230,540,188,2,160,25,0,0,0,0,0,0,0
11844,923,Double Fudge Cake,310,11,3,0.5,25,270,49,4,37,3,0,0,0,0,0,0,0
11845,923,OREO Cookie Ice Cream Shake,670,33,19,1,110,350,81,1,63,12,0,0,0,0,0,0,0
11846,923,OREO Cookie Ice Cream Shake,870,43,26,1.5,150,430,103,1,81,15,0,0,0,0,0,0,0
11847,923,OREO Cookie Ice Cream Shake,"1,350",66,39,2,225,710,162,2,126,23,0,0,0,0,0,0,0
11848,923,Strawberry Ice Cream Shake,640,28,18,1,110,220,84,0,71,10,0,0,0,0,0,0,0
11849,923,Strawberry Ice Cream Shake,830,38,24,1.5,150,300,106,0,89,14,0,0,0,0,0,0,0
11850,923,Strawberry Ice Cream Shake,"1,270",56,35,2,225,440,167,1,141,21,0,0,0,0,0,0,0
11851,923,Vanilla Ice Cream Shake,570,29,18,1,115,220,65,0,54,11,0,0,0,0,0,0,0
11852,923,Vanilla Ice Cream Shake,750,38,24,1.5,150,290,85,0,71,14,0,0,0,0,0,0,0
11853,923,Vanilla Ice Cream Shake,"1,140",58,36,2.5,230,440,128,1,108,22,0,0,0,0,0,0,0
11854,924,Barq's Root Beer,180,0,0,0,0,40,50,0,50,0,0,0,0,0,0,0,0
11855,924,Coca Cola Classic,170,0,0,0,0,0,46,0,46,0,0,0,0,0,0,0,0
11856,924,"Coffee, regular or decaf",5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
11857,924,"Coffee, regular or decaf",10,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0
11858,924,Diet Coke,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
11859,924,Dr. Pepper,150,0,0,0,0,50,42,0,42,0,0,0,0,0,0,0,0
11860,924,Iced Tea,5,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0
11861,924,Minute Maid Lemonade,160,0,0,0,0,65,42,0,42,0,0,0,0,0,0,0,0
11862,924,Fanta Orange,150,0,0,0,0,50,41,0,41,0,0,0,0,0,0,0,0
11863,924,Fanta Strawberry,150,0,0,0,0,10,41,0,41,0,0,0,0,0,0,0,0
11864,924,Orange Juice,140,0,0,0,0,25,32,2,27,2,0,0,0,0,0,0,0
