food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
528,42,Orange Chicken,279,15,2,0,30,184,29,1,17,8,0,0,0,0,0,0,0
529,42,Honey Garlic Chicken,326,15,2,0,34,219,39,1,25,32,0,0,0,0,0,0,0
530,42,Sweet & Sour Chicken,450,32,5,0,26,663,26,3,8,14,0,0,0,0,0,0,0
531,42,Sweet & Sour Sauce,115,0.1,0,0,0,127,30,0,26,0,0,0,0,0,0,0,0
532,42,Kung Pao Chicken,242,19,3,0,19,300,10,1,4,6,0,0,0,0,0,0,0
533,42,Beef & Broccoli,271,23,3,0,17,620,10,2,5,8,0,0,0,0,0,0,0
534,42,Lemon Chicken,331,23,3,0,48,334,21,0,7,11,0,0,0,0,0,0,0
535,42,Oriental Grilled Chicken,255,9,1,0,45,819,21,0,16,19,0,0,0,0,0,0,0
536,42,Butterfly Shrimp,235,7,1,0,72,520,30,1,1,13,0,0,0,0,0,0,0
537,42,Black Pepper Beef,286,25,4,0,19,441,8,1,3,8,0,0,0,0,0,0,0
538,42,Sesame Chicken,415,17,2,0,50,165,55,1,40,12,0,0,0,0,0,0,0
539,42,General Tso's Chicken,319,21,3,0,41,463,23,1,8,10,0,0,0,0,0,0,0
540,42,Pineapple Chicken,253,17,2,0,19,144,20,1,13,5,0,0,0,0,0,0,0
541,42,Green Bean Chicken,258,21,3,0,16,349,11,2,3,8,0,0,0,0,0,0,0
542,42,Dry Ribs,339,22,8,0,75,350,18,0,1,15,0,0,0,0,0,0,0
543,42,Sweet & Sour Pork,271,16,3,0,23,244,24,1,11,8,0,0,0,0,0,0,0
544,42,Chicken with Snow Peas,227,18,2,0,20,349,11,2,4,6,0,0,0,0,0,0,0
545,42,Hunan Beef,290,24,4,0,18,400,13,1,4,8,0,0,0,0,0,0,0
546,42,Mixed Vegetables,130,9,1,0,0,430,12,3,3,2,0,0,0,0,0,0,0
547,42,Spicy Beef,287,25,4,0,19,440,9,1,4,8,0,0,0,0,0,0,0
548,42,Honey Garlic Ribs,393,19,7,0,64,280,42,0,38,51,0,0,0,0,0,0,0
549,42,Ginger Beef,318,16,3,0,43,168,31,1,7,13,0,0,0,0,0,0,0
550,42,BBQ Pork,427,26,8,0,94,940,21,0,17,26,0,0,0,0,0,0,0
551,42,Chicken Wings,406,33,7,0,77,806,7,0,0,19,0,0,0,0,0,0,0
552,42,Chicken & Mushrooms,254,22,3,0,24,337,8,1,2,7,0,0,0,0,0,0,0
553,42,Satay Chicken,211,16,2,0,12,269,11,1,5,6,0,0,0,0,0,0,0
554,42,Garlic Green Bean,117,7,1,0,0,819,12,3,5,3,0,0,0,0,0,0,0
555,42,Black Mushroom Tofu,159,10,1,0,0,290,11,1,1,8,0,0,0,0,0,0,0
556,42,Fried Rice,310,14,2,0,87,957,39,2,3,7,0,0,0,0,0,0,0
557,42,Noodles,259,13,2,0,26,646,29,3,6,6,0,0,0,0,0,0,0
