food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
12129,955,Hamburger,260,9,3.5,0.5,30,530,33,1,7,13,2,2,15,15,0,0,0
12130,955,Cheeseburger,310,12,6,1,40,740,35,1,7,15,2,6,20,15,0,0,0
12131,955,Double Cheeseburger,460,23,11,1.5,80,"1,140",37,1,8,25,2,10,30,20,0,0,0
12132,955,Quarter Pounder,420,18,7,1,70,730,40,3,8,24,2,2,15,25,0,0,0
12133,955,Quarter Pounder,510,25,12,1.5,95,"1,150",43,3,9,29,2,10,30,25,0,0,0
12134,955,Double Quarter Pounder,730,40,19,3,160,"1,330",46,3,9,47,2,10,30,35,0,0,0
12135,955,Big Mac,560,30,10,1.5,80,"1,010",47,3,8,25,2,8,25,25,0,0,0
12136,955,Big N' Tasty,470,23,8,1.5,80,790,41,3,9,24,8,8,15,25,0,0,0
12137,955,Big N' Tasty,520,26,10,1.5,95,"1,010",43,3,9,27,8,15,20,25,0,0,0
12138,955,Filet-O-Fish,400,18,4,1,40,640,42,1,8,14,0,2,15,10,0,0,0
12139,955,McChicken ,370,16,3.5,1,50,810,41,1,5,15,2,2,15,15,0,0,0
12140,955,Premium Grilled Chicken Classic Sandwich,420,9,2,0,80,"1,240",52,3,11,32,10,15,8,20,0,0,0
12141,955,Premium Crispy Chicken Classic Sandwich,500,16,3,1.5,60,"1,380",63,3,11,27,10,15,8,20,0,0,0
12142,955,Premium Grilled Chicken Club Sandwich,590,22,8,0,120,"1,690",54,3,12,45,10,20,30,20,0,0,0
12143,955,Premium Crispy Chicken Club Sandwich,680,29,9,1.5,100,"1,830",64,3,11,40,10,20,30,20,0,0,0
12144,955,Premium Grilled Chicken Ranch BLT Sandwich,490,13,4,0,90,"1,610",54,3,13,39,10,15,10,20,0,0,0
12145,955,Premium Crispy Chicken Ranch BLT Sandwich,580,20,5,1.5,70,"1,750",64,3,12,34,10,15,10,20,0,0,0
12146,955,Premium Spicy Chicken Sandwich,510,17,3,1.5,55,"1,430",64,3,11,26,10,15,8,20,0,0,0
12147,956,Small French Fries,250,13,2.5,3.5,0,140,30,3,0,2,6,0,2,4,0,0,0
12148,956,Medium French Fries,380,20,4,5,0,220,47,5,0,4,10,0,2,6,0,0,0
12149,956,Large French Fries,570,30,6,8,0,330,70,7,0,6,15,0,2,10,0,0,0
12150,956,Ketchup Packet,10,0,0,0,0,100,3,0,2,0,2,2,0,0,0,0,0
12151,956,Salt Packet,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
12152,957,Chicken McNuggets,170,10,2,1,25,450,10,0,0,10,2,2,0,2,0,0,0
12153,957,Chicken McNuggets,250,15,3,1.5,35,670,15,0,0,15,2,2,2,4,0,0,0
12154,957,Chicken McNuggets,420,24,5,2.5,60,"1,120",26,0,0,25,2,4,2,6,0,0,0
