food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
12276,963,Egg McMuffin Sandwich,300,12,4.5,0.2,205,750,29,2,2,16,0,15,25,15,0,0,0
12277,963,Sausage McMuffin with Egg Sandwich,440,26,10,0.4,230,930,29,2,2,20,0,15,25,20,0,0,0
12278,963,Bacon & Egg McMuffin Sandwich,310,14,5,0.3,195,710,29,2,2,16,2,15,25,15,0,0,0
12279,963,Hotcakes with Syrup and Becel Margarine,570,19,4,0.2,20,590,91,2,45,8,0,40,10,20,0,0,0
12280,963,Big Breakfast,640,38,13,1,435,"1,200",46,4,2,23,0,25,20,25,0,0,0
12281,963,Hashbrowns,150,9,4,0.5,10,390,15,2,0,1,0,0,2,2,0,0,0
12282,963,English Muffin,180,5,0.5,0,0,290,28,2,1,5,0,4,15,10,0,0,0
12283,963,Bacon & Egg Bagel,500,22,6,0.3,225,"1,120",53,3,6,22,4,20,15,30,0,0,0
12284,963,Breakfast BLT Bagel,430,18,3,0.2,20,850,53,4,8,14,10,15,6,25,0,0,0
12285,963,Breakfast Burrito,290,16,6,1,165,760,24,1,2,13,15,10,15,15,0,0,0
12286,963,Sausage McGriddles Sandwich,400,20,8,0.2,40,"1,080",41,1,15,11,0,2,8,10,0,0,0
12287,963,"Sausage, Egg & Cheese McGriddles",530,29,12,0.4,245,"1,400",44,2,15,20,0,15,15,15,0,0,0
12288,963,"Bacon, Egg & Cheese McGriddles",400,17,8,0.3,215,"1,190",44,2,15,16,2,15,15,15,0,0,0
12289,964,Hamburger,250,8,3,0.2,20,510,32,2,7,12,4,2,10,20,0,0,0
12290,964,Cheeseburger,300,12,5,0.4,35,750,33,2,7,15,4,8,20,20,0,0,0
12291,964,Bacon Cheeseburger,330,14,6,0.4,45,890,34,2,8,17,6,8,20,20,0,0,0
12292,964,Double Cheeseburger,430,22,11,1,75,"1,150",35,2,7,24,4,15,25,25,0,0,0
12293,964,Quarter Pounder with Cheese Sandwich,520,27,13,1,90,"1,090",39,3,9,29,8,15,25,35,0,0,0
12294,964,Big Xtra Sandwich,520,29,9,0.5,65,700,40,4,10,24,15,15,10,35,0,0,0
12295,964,Big Mac Sandwich,530,29,10,0.5,65,"1,020",44,3,9,24,4,10,25,35,0,0,0
12296,964,Filet-O-Fish Sandwich,410,21,3.5,0.2,45,730,38,2,4,16,0,4,15,15,0,0,0
12297,964,Junior Chicken Sandwich,390,20,3.5,0.4,35,800,39,2,5,13,2,2,10,20,0,0,0
12298,964,McChicken Sandwich,480,27,4.5,0.4,45,800,43,3,5,17,2,4,10,20,0,0,0
12299,964,Crispy Chicken Sandwich,450,21,3.5,1,50,"1,010",41,3,6,23,8,6,10,20,0,0,0
12300,964,Chicken McGrill Sandwich,380,15,2.5,0.2,65,990,34,3,6,28,10,8,10,20,0,0,0
12301,964,Grilled Cheese Sandwich,260,10,6,0.3,30,740,31,2,5,11,0,10,25,15,0,0,0
12302,965,Assorted Cold Cuts on French Roll,550,29,4.5,0.1,60,"1,560",56,3,4,22,10,10,6,30,0,0,0
12303,965,Assorted Cold Cuts on French Roll,400,13,2,0,50,"1,310",55,3,3,21,10,10,4,30,0,0,0
12304,965,Crispy Chicken Caesar on French Roll,560,23,4,1,55,"1,520",59,3,2,29,4,2,6,30,0,0,0
12305,965,Crispy Chicken Caesar on French Roll,460,12,2.5,0.5,50,"1,330",58,2,2,29,4,2,4,30,0,0,0
12306,965,Grilled Chicken Caesar on French Roll,490,16,3,0.2,75,"1,490",51,2,3,34,6,2,6,30,0,0,0
12307,965,Grilled Chicken Caesar on French Roll,390,6,1.5,0,70,"1,310",51,2,3,34,6,2,4,30,0,0,0
12308,965,Black Forest Ham & Swiss on French Roll,520,24,7,0.3,35,"1,480",53,3,3,25,6,10,20,25,0,0,0
12309,965,Black Forest Ham & Swiss on French Roll,320,4,0.5,0,5,"1,270",52,2,3,19,6,8,4,25,0,0,0
12310,965,BLT on French Roll,480,21,4.5,0.2,35,"1,080",53,2,3,18,15,8,4,25,0,0,0
12311,965,BLT on French Roll,350,8,2.5,0.1,25,960,52,2,3,18,15,8,4,25,0,0,0
12312,965,Turkey BLT on French Roll,500,19,4,0.2,50,"1,610",54,2,3,27,10,8,4,25,0,0,0
12313,965,Turkey BLT on French Roll,380,7,2,0.1,40,"1,500",53,2,3,27,10,8,4,25,0,0,0
12314,965,Oven Roasted Turkey on French Roll,350,4,0.5,0,25,"1,400",59,3,7,22,6,8,4,25,0,0,0
12315,965,Oven Roasted Turkey on French Roll,320,3,0.5,0,25,"1,220",52,2,2,22,6,8,4,25,0,0,0
12316,965,Philly Cheese Steak,370,9,4,0.4,25,910,53,2,4,23,8,8,8,30,0,0,0
12317,966,White Meat Chicken McNuggets,300,18,3.5,1,40,650,18,0,0,16,0,0,2,6,0,0,0
12318,966,McNuggets Sauce-Sweet & Sour,50,0,0,0,0,150,12,0,11,0.2,0,0,0,0,0,0,0
12319,966,McNuggets Sauce-Barbeque,45,0,0,0,0,290,10,1,8,0.3,0,0,0,2,0,0,0
12320,966,McNuggets Sauce-Honey Sauce,60,0,0,0,0,0,15,0,12,0,0,0,0,0,0,0,0
12321,966,McNuggets Sauce-Hot Mustard,60,3,0.4,0,4,260,8,1,7,1,0,0,0,2,0,0,0
12322,967,One Chicken Fajita,200,5,2,1,25,520,24,2,2,14,15,4,8,15,0,0,0
12323,967,Fruit n Yogurt Parfait™,180,2.5,1.5,0,10,90,34,2,23,7,40,2,15,6,0,0,0
12324,967,Apple Slices,110,1,0.5,0,3,40,24,2,14,1,130,0,4,2,0,0,0
12325,967,Chicken Oriental Salad with Warm Chicken McGrill,210,4,1,0,60,690,21,3,11,25,70,40,8,20,0,0,0
12326,967,Chicken Oriental Salad with Warm Crispy Chicken,280,10,1.5,0.5,45,720,28,3,10,20,60,40,8,20,0,0,0
12327,967,Chicken Caesar Salad with Warm Chicken McGrill,300,11,4.5,0.5,75,"1,100",17,3,4,35,45,25,20,20,0,0,0
12328,967,Chicken Caesar Salad with Warm Crispy Chicken,370,18,5,1,60,"1,120",24,3,4,30,40,25,20,25,0,0,0
12329,967,Bacon Ranch Salad with Warm Chicken McGrill,290,14,7,0.3,95,"1,030",9,3,5,35,60,50,25,15,0,0,0
12330,967,Bacon Ranch Salad with Warm Crispy Chicken,360,20,8,1,75,"1,060",16,3,4,30,60,50,20,20,0,0,0
12331,968,Low Fat Sesame Thai Dressing,80,1,0,0,0,"1,130",16,0,13,2,0,0,0,2,0,0,0
12332,968,Ranch Dressing,180,15,2.5,0.2,20,530,9,0,4,1,0,0,4,0,0,0,0
12333,968,Creamy Caesar Dressing,190,18,3.5,0.3,20,500,4,0,2,2,0,2,6,2,0,0,0
12334,968,Low Fat Balsamic Dressing,40,3,0.4,0,0,730,4,0,3,0.1,4,0,0,0,0,0,0
12335,969,French Fries,230,11,4,1.5,10,190,28,2,0,2,4,0,2,6,0,0,0
12336,969,French Fries,350,18,7,2,20,290,44,3,0,4,6,0,2,8,0,0,0
12337,969,French Fries,570,28,11,3.5,30,460,71,5,1,6,10,0,4,15,0,0,0
12338,969,Side Salad,20,0,0,0,0,15,4,2,2,1,25,20,4,6,0,0,0
12339,970,Blueberry,410,14,1.5,0,0,340,64,2,30,6,0,0,2,15,0,0,0
12340,970,Carrot,440,17,1.5,0,0,410,66,2,34,6,0,40,4,15,0,0,0
12341,970,Slim Sensations Cranberry Orange,380,8,1,0,0,350,70,3,37,6,0,0,6,15,0,0,0
