food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
12376,974,Hamburger,237,8.6,3.6,0,0,409,26.2,0,4.6,12,0,0,0,0,0,0,0
12377,974,Hamburger,249,9.1,3.8,0,0,431,27.6,0,4.8,12.6,0,0,0,0,0,0,0
12378,974,Cheeseburger,284,12.1,5.3,0,0,680,27.6,0,5.1,14.8,0,0,0,0,0,0,0
12379,974,Cheeseburger,258,11,4.8,0,0,619,25.1,0,4.6,13.5,0,0,0,0,0,0,0
12380,974,Quarter Pounder,549,30,13.8,0,0,"1,120",35,0,7.2,33.2,0,0,0,0,0,0,0
12381,974,Quarter Pounder,268,14.6,6.7,0,0,548,17.1,0,3.5,16.2,0,0,0,0,0,0,0
12382,974,McOz ,505,25.6,11.6,0,0,912,36.4,0,9.8,30.4,0,0,0,0,0,0,0
12383,974,McOz ,200,10.1,4.6,0,0,360,14.4,0,3.9,12,0,0,0,0,0,0,0
12384,974,Big Mac,480,25.5,9.7,0,0,846,35,0,6.1,25.1,0,0,0,0,0,0,0
12385,974,Big Mac,239,12.7,4.8,0,0,421,17.4,0,3,12.5,0,0,0,0,0,0,0
12386,974,McChicken ,417,19.8,3.6,0,0,699,39.3,0,3.7,18.7,0,0,0,0,0,0,0
12387,974,McChicken ,227,10.8,2,0,0,381,21.4,0,2,10.2,0,0,0,0,0,0,0
12388,974,Filet-o-Fish ,351,15.5,3.1,0,0,658,32.6,0,3.2,15,0,0,0,0,0,0,0
12389,974,Filet-o-Fish ,256,11.3,2.3,0,0,479,23.8,0,2.3,10.9,0,0,0,0,0,0,0
12390,975,French Fries,453,24.3,2.9,0,0,435,50.8,0,0,4.9,0,0,0,0,0,0,0
12391,975,French Fries,368,19.8,2.3,0,0,354,41.3,0,0,4,0,0,0,0,0,0,0
12392,975,French Fries,255,13.7,1.6,0,0,245,28.6,0,0,2.7,0,0,0,0,0,0,0
