food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
13026,1011,Chicken Caesar Salad,500,34,7,0.5,105,"1,120",20,4,4,30,90,190,20,15,0,0,0
13027,1011,Southwest Taco Salad,700,41,17,1.5,105,"1,620",51,10,14,34,45,80,60,25,0,0,0
13028,1011,Spinach Chicken Salad,450,16,4.5,0,235,"1,330",42,4,25,34,70,180,10,20,0,0,0
13029,1011,Chicken BLT Salad,680,46,13,1,130,"1,340",32,5,16,37,50,90,30,15,0,0,0
13030,1011,Mandarin Chicken Salad,550,26,3,1,60,"1,210",54,6,34,30,60,70,15,20,0,0,0
13031,1011,Fat Free French Salad Dressing,80,0,0,0,0,210,19,0,16,0,2,2,0,2,0,0,0
13032,1011,Reduced Fat Creamy Ranch Salad Dressing,100,8,1.5,0,15,450,6,1,3,1,0,0,6,2,0,0,0
13033,1011,Low Fat Honey Mustard Salad Dressing,110,3,0,0,0,340,21,0,16,0,0,0,2,2,0,0,0
13034,1011,Italian Vinaigrette Salad Dressing,140,12,2,0,0,400,9,0,8,0,2,0,0,0,0,0,0
13035,1011,Creamy Ranch Salad Dressing,230,23,4,0,15,450,5,0,3,1,0,0,4,2,0,0,0
13036,1011,Blue Cheese Salad Dressing,260,27,4.5,0,32,460,3,0,1,2,0,2,4,2,0,0,0
13037,1011,Thousand Island Salad Dressing,260,25,4,0,20,440,8,0,7,1,2,2,0,2,0,0,0
13038,1011,Crispy Noodles for Mandarin Chicken Salad,60,2,0,0,0,170,10,0,1,1,0,0,0,2,0,0,0
13039,1011,Roasted Almonds for Mandarin Chicken Salad,130,11,1,0,0,70,4,2,1,5,0,0,6,6,0,0,0
13040,1011,Oriental Sesame Dressing for Mandarin Chicken Salad,190,11,1.5,0,0,490,21,0,19,1,2,0,2,2,0,0,0
13041,1011,Homestyle Garlic Croutons for Caesar Chicken Salad,70,2.5,0,0,0,125,9,0,0,2,2,0,0,2,0,0,0
13042,1011,Caesar Dressing for Caesar Chicken Salad,120,13,2.5,0,20,220,1,0,0,1,2,0,2,0,0,0,0
13043,1011,Homestyle Garlic Croutons for Chicken BLT Salad,70,2.5,0,0,0,125,9,0,0,2,2,0,0,2,0,0,0
13044,1011,Honey Mustard Dressing for Chicken BLT Salad,280,26,4,0,25,370,11,0,10,1,0,0,2,2,0,0,0
13045,1011,Reduced Fat Acidified Sour Cream for Southwest Taco Salad,45,3.5,2.5,0,10,30,2,0,1,1,0,4,4,0,0,0,0
13046,1011,Seasoned Tortilla Strips for Southwest Taco Salad,110,5,1,0,0,160,13,1,0,2,0,2,4,4,0,0,0
13047,1011,Ancho Chipotle Ranch Dressing for Southwest Taco Salad,110,10,2,0,15,330,4,0,2,1,10,2,4,0,0,0,0
13048,1012,Small Fix 'n Mix Frosty™,270,8,4,0,20,190,310,1,30,5,0,8,15,15,0,0,0
13049,1012,Jr. Frosty™,160,4,2.5,0,15,75,26,0,21,4,8,0,15,6,0,0,0
13050,1012,Small Frosty™,320,8,5,0,35,150,52,0,52,9,0,15,35,10,0,0,0
13051,1012,Medium Frosty™,410,11,7,0.5,45,200,68,0,54,11,25,0,45,15,0,0,0
13052,1012,Large Frosty™,540,14,9,0.5,55,260,86,0,69,14,30,0,60,20,0,0,0
13053,1012,Kids' Meal Coca-Cola,80,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0
13054,1012,Small Coca-Cola,110,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0
13055,1012,Medium Coca-Cola,140,0,0,0,0,0,37,0,37,0,0,0,0,0,0,0,0
13056,1012,Biggie Coca-Cola,220,0,0,0,0,5,60,0,60,0,0,0,0,0,0,0,0
13057,1012,Kids' Meal Diet Coke,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
13058,1012,Small Diet Coke,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
13059,1012,Medium Diet Coke,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
13060,1012,Biggie Diet Coke,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
13061,1012,Kids' Meal Sprite,80,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,0
13062,1012,Small Sprite,110,0,0,0,0,25,27,0,27,0,0,0,0,0,0,0,0
13063,1012,Medium Sprite,110,0,0,0,0,30,34,0,34,0,0,0,0,0,0,0,0
13064,1012,Biggie Sprite,210,0,0,0,0,50,54,0,54,0,0,0,0,0,0,0,0
13065,1012,Small Iced Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13066,1012,Medium Iced Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13067,1012,Biggie Iced Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13068,1012,Dasani Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13069,1012,Small Regular Coffee,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
13070,1012,Large Regular Coffee,5,0,0,0,0,15,1,0,0,0,0,0,20,0,0,0,0
13071,1012,Small Brewed Decaffeinated Coffee,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
13072,1012,Large Brewed Decaffeinated Coffee,5,0,0,0,0,15,1,0,0,0,0,0,2,0,0,0,0
13073,1012,Small Hot Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13074,1012,2% Reduced-fat Milk,120,4.5,3,0,20,135,13,0,12,8,4,10,30,0,0,0,0
13075,1012,1% Low-fat Chocolate Milk,170,2.5,1.5,0,15,200,28,0,26,8,4,10,30,0,0,0,0
13076,1012,Hot Cocoa,120,2.5,0.5,0.5,0,160,23,1,0,1,0,0,4,4,0,0,0
13077,1012,Kids' Meal Minute Maid Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13078,1012,Small Minute Maid Light,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13079,1012,Medium Minute Maid Light,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13080,1012,Biggie Minute Maid Light,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
13081,1012,Kids' Meal Sweetened Iced Tea,50,0,0,0,0,10,14,0,14,0,0,0,0,0,0,0,0
13082,1012,Small Sweetened Iced Tea,70,0,0,0,0,15,19,0,19,0,0,0,0,0,0,0,0
13083,1012,Medium Sweetened Iced Tea,80,0,0,0,0,15,23,0,23,0,0,0,0,0,0,0,0
13084,1012,Biggie Sweetened Iced Tea,130,0,0,0,0,25,37,0,37,0,0,0,0,0,0,0,0
13085,1012,Kids' Meal Dr. Pepper,70,0,0,0,0,20,21,0,21,0,0,0,0,0,0,0,0
13086,1012,Small Dr. Pepper,100,0,0,0,0,25,27,0,27,0,0,0,0,0,0,0,0
13087,1012,Medium Dr. Pepper,120,0,0,0,0,30,34,0,34,0,0,0,0,0,0,0,0
13088,1012,Biggie Dr. Pepper,200,0,0,0,0,50,55,0,55,0,0,0,0,0,0,0,0
13089,1012,Oreo Cookie Crumbles for Fix 'N Mix Frosty,100,4,1.5,0,0,115,15,1,9,1,0,0,0,6,0,0,0
13090,1012,Butterfinger Candy Crumbles for Fix 'N Mix Frosty,130,5,2.5,0,0,65,20,1,14,2,0,0,2,2,0,0,0
13091,1012,M&M's Candy Crumbles for Fix 'N Mix Frosty,140,6,3.5,0,5,15,20,1,18,1,0,2,2,2,0,0,0
13092,1013,Baked! Lays Potato Chips,130,2,0,0,0,200,26,2,2,2,4,0,4,2,0,0,0
13093,1013,Low Fat Strawberry Flavored Yogurt,250,6,1.5,0,5,90,42,1,17,8,2,2,20,4,0,0,0
13094,1013,Mandarin Oranges,80,0,0,0,0,15,19,1,17,1,40,2,2,4,0,0,0
13095,1013,Side Salad,140,9,1.5,0,15,480,14,3,7,3,25,90,8,6,0,0,0
13096,1013,Caesar Side Salad,260,20,4.5,0,30,480,14,2,2,8,35,100,10,8,0,0,0
13097,1013,Small Chili,220,6,2.5,0,35,780,23,5,6,17,4,4,8,15,0,0,0
13098,1013,Large Chili,330,9,3.5,0.5,55,"1,170",35,8,9,25,6,6,10,20,0,0,0
13099,1013,Medium French Fries,440,21,3.5,5,0,430,58,5,0,5,10,2,2,6,0,0,0
13100,1013,Kids' Meal French Fries,280,14,2.5,3.5,0,270,37,3,0,3,6,2,2,4,0,0,0
13101,1013,Small French Fries,280,14,2.5,3.5,0,270,37,3,0,3,6,2,2,4,0,0,0
13102,1013,Biggie French Fries,490,24,4,6,0,480,64,6,0,5,10,4,2,8,0,0,0
13103,1013,Great Biggie French Fries,590,28,5,7,0,570,77,7,0,6,15,4,2,10,0,0,0
13104,1013,"Chili, Chips and Cheese",380,15,3,0,30,"1,030",48,6,5,13,2,2,20,10,0,0,0
13105,1013,Chocolate Chip Cookie,270,12,4.5,2,15,150,37,1,20,4,0,0,2,15,0,0,0
13106,1013,Homestyle Garlic Croutons for Caesar Side Salad,70,2.5,0,0,0,125,9,0,0,2,2,0,0,2,0,0,0
13107,1013,Caesar Dressing for Caesar Side Salad,120,13,2.5,0,20,220,1,0,0,1,2,0,2,0,0,0,0
13108,1013,Hot Chili Seasoning for Chili,5,0,0,0,0,270,2,0,1,0,0,0,0,0,0,0,0
13109,1013,Saltine Crackers for Chili,25,0.5,0,0,0,95,4,0,0,0,0,0,0,2,0,0,0
13110,1013,"Cheddar Cheese, shredded for Chili",70,6,3.5,0,15,110,1,0,0,4,0,4,10,0,0,0,0
13111,1014,Homestyle Chicken Strips,410,18,3.5,3,60,"1,470",33,0,0,28,0,0,2,6,0,0,0
13112,1014,Chicken Nuggets,440,29,6,3.5,70,970,25,0,0,21,0,0,2,6,0,0,0
13113,1014,Fish Sandwich,480,24,4,0,50,980,50,2,5,17,2,2,4,15,0,0,0
13114,1014,Kids' Meal Nuggets,180,11,2.5,1.5,25,390,10,0,1,8,0,0,0,2,0,0,0
13115,1014,Chicken Nuggets,220,14,3,1.5,35,490,13,0,1,10,0,0,0,2,0,0,0
13116,1014,Deli Honey Mustard Dipping Sauce for Crispy Chicken Nuggets,170,16,2.5,0,15,220,6,0,5,1,0,0,0,2,0,0,0
13117,1014,Spicy Southwest Chipotle Dipping Sauce for Crispy Chicken Nuggets,150,15,2.5,0,25,180,5,0,1,1,8,2,0,2,0,0,0
13118,1014,Heartland Ranch Dipping Sauce for Crispy Chicken Nuggets,200,22,3.5,0,15,280,1,0,1,0,0,0,0,0,0,0,0
13119,1014,Sweet & Spicy Hawaiian Dipping Sauce for Crispy Chicken Nuggets,70,0,0,0,0,350,17,0,13,0,0,4,0,0,0,0,0
13120,1014,Wild Buffalo Ranch Dipping Sauce for Crispy Chicken Nuggets,180,19,3,0,10,420,2,0,1,0,2,1,0,0,0,0,0
13121,1014,Barbecue Nugget Sauce for Crispy Chicken Nuggets,45,0,0,0,0,170,10,0,8,1,0,0,0,4,0,0,0
13122,1014,Sweet & Sour Nugget Sauce for Crispy Chicken Nuggets,50,0,0,0,0,120,13,0,11,0,2,0,0,0,0,0,0
