food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
14814,1133,Big Fat Steak Taco™,390,19,6,0,45,960,38,3,3,18,5,600,140,4,0,0,0
14815,1133,Big Fat Chicken Taco™,340,13,4,0,45,840,38,3,3,18,6,780,140,3,0,0,0
14816,1133,Big Fat Taco™,320,11,5,0,35,680,39,3,3,16,6,780,140,3,0,0,0
14817,1133,Chicken Soft Taco,210,12,4,0,30,520,16,1,1,11,4,520,110,1,0,0,0
14818,1133,Taco,160,10,4,0,20,150,11,1,1,7,4,560,70,1,0,0,0
14819,1133,Soft Taco,160,8,4,0,20,330,16,1,1,8,4,560,110,2,0,0,0
14820,1133,Steak Taco Del Carbon,220,11,4,0,30,680,19,2,1,12,3,320,20,2,0,0,0
14821,1133,Chicken Taco Del Carbon,170,5,1,0,30,530,19,2,1,12,3,320,20,1,0,0,0
14822,1133,Crispy Fish Taco™,290,16,3,0,20,460,30,2,2,7,10,240,40,1,0,0,0
14823,1133,Carne Asada Taco,237,8,5,0,25,481,22,2,1,9,7,290,32,1,0,0,0
14824,1133,Macho Taco™,504,37,18,0,107,833,19,5,2,13,102,637,454,5,0,0,0
14825,1134,Macho Beef Burrito™,"1,170",62,29,0,190,"2,190",89,7,8,60,20,"2,290",470,10,0,0,0
14826,1134,Macho Chicken Burrito™,930,33,15,0,100,"2,990",111,16,8,47,20,"1,550",510,9,0,0,0
14827,1134,Macho Combo Burrito™,"1,050",44,21,0,115,"2,760",113,17,9,49,20,"1,860",510,11,0,0,0
14828,1134,Deluxe Del Beef Burrito™,590,33,19,0,95,"1,110",45,4,4,32,15,"1,470",390,6,0,0,0
14829,1134,Del Beef Burrito™,550,30,17,0,90,"1,090",42,3,2,31,2,650,350,6,0,0,0
14830,1134,Deluxe Combo Burrito™,570,25,15,0,60,"1,700",64,12,5,29,15,"1,260",430,7,0,0,0
14831,1134,Del Combo Burrito,530,22,13,0,55,"1,680",61,11,4,28,4,430,390,6,0,0,0
14832,1134,Del Classic Chicken Burrito™,560,36,13,0,70,"1,100",41,3,3,24,10,950,360,4,0,0,0
14833,1134,Spicy Chicken Burrito,480,16,10,0,40,"1,850",66,8,3,23,6,510,380,6,0,0,0
14834,1134,Veggie Works Burrito,490,18,11,0,25,"1,660",69,9,5,18,15,"1,300",410,6,0,0,0
14835,1134,Chicken Works Burrito,520,23,12,0,65,"1,620",57,4,4,26,15,"1,380",400,5,0,0,0
14836,1134,Steak Works Burrito,590,31,16,0,70,"1,820",58,5,4,27,15,"1,390",400,6,0,0,0
14837,1134,Half Pound Red Burrito,430,12,9,0,20,"1,670",65,13,4,20,4,220,390,6,0,0,0
14838,1134,Half Pound Green Burrito,430,12,9,0,20,"1,690",59,13,4,20,7,270,400,6,0,0,0
14839,1134,Bean & Cheese Red Burrito,270,8,5,0,15,"1,020",38,6,2,11,2,180,190,2,0,0,0
14840,1134,Bean & Cheese Green Burrito,280,8,5,0,15,"1,030",38,6,2,11,4,210,190,2,0,0,0
14841,1134,Crispy Fish Burrito™,497,21,5,0,48,"1,117",59,2,5,17,36,624,161,2,0,0,0
14842,1135,Chicken Cheddar Quesadilla,580,31,21,0,104,"1,240",41,2,2,33,2,870,610,3,0,0,0
14843,1135,Spicy Jack Chicken Quesadilla,570,30,16,0,105,"1,300",40,2,1,32,5,870,600,3,0,0,0
14844,1135,Cheddar Quesadilla,500,27,20,0,75,860,39,2,2,23,2,810,600,3,0,0,0
14845,1135,Spicy Jack Quesadilla,490,26,17,0,75,920,38,2,1,23,5,810,590,2,0,0,0
14846,1136,Deluxe Taco Salad™,780,40,18,0,80,"2,250",76,14,9,33,40,"3,830",480,9,0,0,0
14847,1136,Deluxe Chicken Salad,740,34,15,0,70,"2,610",77,15,9,33,40,"4,290",490,8,0,0,0
14848,1136,Taco Salad,350,30,10,0,45,390,10,2,3,10,20,"1,980",170,2,0,0,0
14849,1137,Double Del Cheeseburger™,560,35,12,0,85,960,35,4,4,26,6,660,260,4,0,0,0
14850,1137,Bacon Double Del Cheeseburger™,610,39,14,0,95,"1,130",35,4,4,29,6,660,260,4,0,0,0
14851,1137,Del Cheeseburger™,430,25,7,0,45,710,35,4,3,16,6,510,180,3,0,0,0
14852,1137,Cheeseburger,330,13,6,0,35,870,37,3,4,16,2,310,170,3,0,0,0
14853,1137,Hamburger,280,9,3,0,25,640,37,3,4,13,2,160,100,3,0,0,0
14854,1137,Bun Taco,440,21,12,0,65,830,37,4,3,24,7,"1,100",320,4,0,0,0
14855,1138,Macho Nachos,"1,100",63,24,0,55,"2,640",113,15,7,31,10,"1,020",250,6,0,0,0
14856,1138,Nachos,380,24,8,0,5,630,40,2,1,5,0,200,80,1,0,0,0
14857,1139,Rice Cup,140,2,1,0,2,910,27,1,1,3,1,380,15,2,0,0,0
