food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
29873,2257,Alfalfa Sprouts,2,0.1,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0
29874,2257,Avocado,90,9,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0
29875,2257,Babaganoush,70,3,0,0,0,0.1,4,2,0,2,0,0,0,0,0,0,0
29876,2257,Bacon,180,14,0,0,30,0.5,0,0,0,18,0,0,0,0,0,0,0
29877,2257,BBQ Sauce,18,0,0,0,0,0.2,3.5,0,0,0,0,0,0,0,0,0,0
29878,2257,Black Olives,5,0.5,0,0,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0
29879,2257,BLT,540,42,0,0,90,1.4,0,0,0,54,0,0,0,0,0,0,0
29880,2257,Caesar,87,9.3,0,0,5,0.1,0.7,0,0,0.6,0,0,0,0,0,0,0
29881,2257,Cheddar,153,12.7,0,0,40,0.2,0,0,0,9.3,0,0,0,0,0,0,0
29882,2257,Chicken Breast,110,4.5,0,0,50,0.5,3,0,0,14,0,0,0,0,0,0,0
29883,2257,Chicken Caeser,290,18.5,0,0,80,1,3,0,0,32,0,0,0,0,0,0,0
29884,2257,Chicken Souvlaki,170,9.3,0,0,72,0.1,0,0,0,20.1,0,0,0,0,0,0,0
29885,2257,Club,197,8.1,0,0,23,2.4,3.1,0,0,27.4,0,0,0,0,0,0,0
29886,2257,Crave,180,7,0,0,40,1.2,4,0,0,24,0,0,0,0,0,0,0
29887,2257,Cucumbers,2,0,0,0,0,0,0.4,0,0,0.1,0,0,0,0,0,0,0
29888,2257,Dagwood,175,5.4,0,0,82,1.7,4.8,0,0,21.5,0,0,0,0,0,0,0
29889,2257,Dijon Mustard,5,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
29890,2257,Feta,80,6.6,0,0,28,0.3,1.1,0,0,4,0,0,0,0,0,0,0
29891,2257,Green Peppers,10,0.1,0,0,0,0,2.4,0.4,0,0.3,0,0,0,0,0,0,0
29892,2257,Gyros,290,25,0,0,45,0.8,7,1,0,15,0,0,0,0,0,0,0
29893,2257,Ham,140,5,0,0,30,1.4,2,0,0,20,0,0,0,0,0,0,0
29894,2257,Honey Mustard,37,0.1,0,0,0,0,8.8,0,0,0.2,0,0,0,0,0,0,0
29895,2257,Hot Sauce,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
29896,2257,Hummus,50,2,0,0,0,0.1,4,1,0,2,0,0,0,0,0,0,0
29897,2257,Jalapenos,5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
29898,2257,Ketchup,20,0,0,0,0,0.1,5,0,0,0,0,0,0,0,0,0,0
29899,2257,Mayonnaise,99,11,0,0,10,0.1,0.2,0,0,0.2,0,0,0,0,0,0,0
29900,2257,Mushrooms,4,0.1,0,0,0,0,0.7,0.4,0,0.5,0,0,0,0,0,0,0
29901,2257,Mustard,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
29902,2257,Onions,15,0.1,0,0,0,0,3.5,0.6,0,0.5,0,0,0,0,0,0,0
29903,2257,Parmesan,43,2.9,0,0,15,0.2,0.5,0,0,3.9,0,0,0,0,0,0,0
29904,2257,Pepperoncinis,5,0,0,0,0,0.2,1,0.6,0,0,0,0,0,0,0,0,0
29905,2257,Philly Steak,102,2.3,0,0,28,0.4,4.5,0,0,15.9,0,0,0,0,0,0,0
29906,2257,Pickles,3,0,0,0,0,0.1,0.5,0.3,0,0.2,0,0,0,0,0,0,0
29907,2257,Pineapple,54,0,0,0,0,0,14,1,0,0.5,0,0,0,0,0,0,0
29908,2257,Pita Bread,260,0.4,0,0,0,0.2,54,2,0,10,0,0,0,0,0,0,0
29909,2257,Ranch Dressing,69,7.1,0,0,5,0.1,1.2,0,0,0.2,0,0,0,0,0,0,0
29910,2257,Roast Beef,104,3.1,0,0,109,0.9,2.1,0,0,20.3,0,0,0,0,0,0,0
29911,2257,Romaine,3,0.1,0,0,0,0,0.6,0.2,0,0.3,0,0,0,0,0,0,0
29912,2257,Salsa,10,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0
29913,2257,Secret Sauce,40,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29914,2257,Shredded Lettuce,3,0.1,0,0,0,0,0.6,0.2,0,0.3,0,0,0,0,0,0,0
29915,2257,Spinach,7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
29916,2257,Swiss,100,8,0,0,25,0.5,1,0,0,6,0,0,0,0,0,0,0
29917,2257,Tomatoes,10,0.1,0,0,0,0,2.1,0.7,0,0.4,0,0,0,0,0,0,0
29918,2257,Tuna,116,0.7,0,0,21,0.5,0,0,0,27.6,0,0,0,0,0,0,0
29919,2257,Turkey Breast,105,2.6,0,0,26,1.1,4.5,0,0,16.6,0,0,0,0,0,0,0
29920,2257,Tzatziki,40,3.5,0,0,0,0.1,2,0,0,1,0,0,0,0,0,0,0
29921,2257,Falafel,365,3.4,0,0,0,0.5,74,4,0,17,0,0,0,0,0,0,0
29922,2257,Garden (Vegetable only),260,0.4,0,0,0,0.2,54,2,0,10,0,0,0,0,0,0,0
29923,2257,American,267,0.4,0,0,0,0.2,55,3,0,11,0,0,0,0,0,0,0
