food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
36109,2773,Melon-ade Wave™ (Sixteen),200,0.5,0,0,0,65,50,1,44,2,46,70,4,4,0,0,0
36110,2773,Melon-ade Wave™ (Original),320,1,0,0,0,105,78,2,70,3,70,110,6,6,0,0,0
36111,2773,Melon-ade Wave™ (Power),410,1,0,0,0,140,99,3,88,5,100,150,8,8,0,0,0
36112,2773,Citrus Bliss™ (Sixteen),230,0.5,0,0,0,5,58,4,50,2,190,6,4,8,0,0,0
36113,2773,Citrus Bliss™ (Original),360,1,0,0,0,10,89,6,76,3,290,10,6,10,0,0,0
36114,2773,Citrus Bliss™ (Power),470,1.5,0,0,0,15,117,9,100,4,340,10,8,15,0,0,0
36115,2773,Strawberry Whirl™ (Sixteen),200,0,0,0,0,15,50,4,42,1,90,2,4,8,0,0,0
36116,2773,Strawberry Whirl™ (Original),310,0.5,0,0,0,25,76,6,64,2,130,4,8,15,0,0,0
36117,2773,Strawberry Whirl™ (Power),370,1,0,0,0,30,92,8,77,2,200,4,10,20,0,0,0
36118,2773,Mega Mango™ (Sixteen),220,0.5,0,0,0,20,54,4,46,2,120,90,4,6,0,0,0
36119,2773,Mega Mango™ (Original),330,1,0,0,0,30,80,5,69,2,180,140,8,10,0,0,0
36120,2773,Mega Mango™ (Power),430,1,0,0,0,40,106,8,91,3,260,190,10,15,0,0,0
36121,2773,Raspberry Rainbow™ (Sixteen),190,0.5,0,0,0,20,47,4,37,2,150,4,6,8,0,0,0
36122,2773,Raspberry Rainbow™ (Original),300,1,0,0,0,30,73,6,56,2,200,6,8,15,0,0,0
36123,2773,Raspberry Rainbow™ (Power),400,1,0,0,0,35,98,8,76,4,300,10,10,15,0,0,0
36124,2773,Grape Escape™ (Sixteen),190,0,0,0,0,15,47,4,43,2,80,8,4,8,0,0,0
36125,2773,Grape Escape™ (Original),300,0,0,0,0,20,74,5,68,3,120,15,6,10,0,0,0
36126,2773,Grape Escape™ (Power),390,0.5,0,0,0,25,95,8,87,4,170,20,8,15,0,0,0
36127,2773,Passion Berry Breeze™ (Sixteen),150,0,0,0,5,210,32,2,28,6,50,35,20,2,0,0,0
36128,2773,Passion Berry Breeze™ (Original),270,1,0,0,5,270,60,5,51,8,130,90,30,6,0,0,0
36129,2773,Passion Berry Breeze™ (Power),350,1,0,0,5,310,78,7,67,10,190,100,35,10,0,0,0
36130,2773,Strawberry Nirvana™ (Sixteen),160,0,0,0,5,230,34,3,29,6,60,2,25,4,0,0,0
36131,2773,Strawberry Nirvana™ (Original),280,1,0,0,5,320,64,7,53,9,170,2,35,10,0,0,0
36132,2773,Strawberry Nirvana™ (Power),300,1,0,0,5,320,76,8,64,10,210,4,35,15,0,0,0
36133,2773,Mango Mantra™ (Sixteen),170,0.5,0,0,5,230,36,2,32,7,90,70,25,2,0,0,0
36134,2773,Mango Mantra™ (Original),310,1,0,0,5,310,71,6,63,10,200,160,30,4,0,0,0
36135,2773,Mango Mantra™ (Power),380,1.5,0,0,5,310,88,7,78,11,280,210,35,4,0,0,0
36136,2773,Berry Fulfilling™ (Sixteen),160,0.5,0,0,5,230,33,4,25,7,30,2,30,4,0,0,0
36137,2773,Berry Fulfilling™ (Original),290,1,0,0,5,320,62,8,45,9,90,4,50,10,0,0,0
36138,2773,Berry Fulfilling™ (Power),350,1,0,0,5,320,76,9,55,10,130,6,50,15,0,0,0
36139,2773,Matcha Green Tea Mist™ (Sixteen),190,0,0,0,0,180,40,1,36,6,10,0,30,4,0,0,0
36140,2773,Matcha Green Tea Mist™ (Original),280,0,0,0,5,270,60,1,54,9,10,0,50,6,0,0,0
36141,2773,Matcha Green Tea Mist™ (Power),390,0.5,0,0,5,360,84,2,76,11,10,0,60,6,0,0,0
36142,2773,Matcha Green Tea Blast™ (Sixteen),340,0,0,0,0,180,74,1,67,8,10,0,60,8,0,0,0
36143,2773,Matcha Green Tea Blast™ (Original),440,0.5,0,0,0,230,97,1,87,10,10,0,70,8,0,0,0
36144,2773,Matcha Green Tea Blast™ (Power),640,1,0,0,5,330,142,2,128,14,15,0,100,10,0,0,0
36145,2773,Protein Berry Pizzazz™ (Sixteen),280,1,0,0,0,170,56,4,48,15,60,2,60,10,0,0,0
36146,2773,Protein Berry Pizzazz™ (Original),440,1.5,0,0,0,240,92,5,79,20,100,2,110,15,0,0,0
36147,2773,Protein Berry Pizzazz™ (Power),550,2,0,0,0,260,118,8,100,22,150,4,130,20,0,0,0
36148,2773,Orange Dream Machine™ (Sixteen),390,1.5,0.5,0,5,240,77,1,73,15,110,6,50,4,0,0,0
36149,2773,Orange Dream Machine™ (Original),540,2.5,1,0,10,310,111,1,105,18,160,8,60,6,0,0,0
36150,2773,Orange Dream Machine™ (Power),750,3.5,1.5,0,10,430,164,1,155,23,220,10,80,8,0,0,0
36151,2773,Coldbuster! (Sixteen),290,1.5,0.5,0,5,25,66,3,61,4,"1,890",60,10,4,0,0,0
36152,2773,Coldbuster! (Original),430,2.5,1,0,5,35,100,5,94,5,"2,000",70,10,6,0,0,0
36153,2773,Coldbuster! (Power),600,3.5,1.5,0,10,55,138,6,128,7,"2,060",70,15,8,0,0,0
36154,2773,Might Cheery Charger™ (Sixteen),320,0.5,0,0,0,210,67,2,54,12,30,2,40,10,0,0,0
36155,2773,Might Cheery Charger™ (Original),490,1,0,0,0,310,103,3,85,18,45,4,80,15,0,0,0
36156,2773,Might Cheery Charger™ (Power),660,1,0,0,5,390,141,4,116,21,50,4,90,20,0,0,0
36157,2773,Acai Supercharger™ (Sixteen),270,3.5,1,0,0,50,55,4,47,4,450,8,20,10,0,0,0
36158,2773,Acai Supercharger™ (Original),420,5,1,0,0,85,86,5,74,7,640,15,40,15,0,0,0
36159,2773,Acai Supercharger™ (Power),560,5,1,0,0,120,118,7,102,10,650,15,60,15,0,0,0
36160,2773,Banana Berry™ (Sixteen),310,0.5,0,0,0,75,74,3,65,3,15,2,10,6,0,0,0
36161,2773,Banana Berry™ (Original),480,1,0,0,0,115,112,4,99,5,25,4,20,8,0,0,0
36162,2773,Banana Berry™ (Power),650,1.5,0,0,5,200,152,6,134,8,35,4,25,10,0,0,0
