food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
36344,2787,Original Glazed,200,12,3,4,5,95,22,1,10,2,2,0,6,4,0,0,0
36345,2787,Chocolate Iced Glazed,250,12,3,4,5,100,33,1,21,3,2,0,6,4,0,0,0
36346,2787,Chocolate Iced,260,12,3,4,5,100,38,1,24,3,2,0,6,4,0,0,0
36347,2787,Chocolate Iced Kreme Filled,350,20,5,6,5,140,38,1,23,3,2,0,8,6,0,0,0
36348,2787,Chocolate Iced Custard Filled,300,17,4,5,5,140,35,1,19,3,2,0,8,6,0,0,0
36349,2787,Glazed Lemon Filled,290,16,4,5,5,135,35,1,18,3,2,0,8,6,0,0,0
36350,2787,Glazed Raspberry Filled,300,16,4,5,5,125,39,1,21,3,2,0,10,8,0,0,0
36351,2787,Glazed Cruller,240,14,3.5,4.5,15,240,26,1,14,2,0,0,2,6,0,0,0
36352,2787,Cinnamon Apple Filled,290,16,4,5,5,150,32,1,14,3,2,0,10,6,0,0,0
36353,2787,New York Cheesecake,320,19,5,6,10,190,35,1,17,4,2,2,8,6,0,0,0
36354,2787,Caramel Kreme Crunch,350,19,5,5,5,170,43,1,25,4,2,0,10,8,0,0,0
36355,2787,Key Lime Pie,320,17,4.5,5,5,150,40,1,24,3,2,0,8,6,0,0,0
36356,2787,Glazed Chocolate Cake,300,15,3.5,5,5,310,41,2,26,3,0,0,0,10,0,0,0
36357,2787,Traditional Cake,230,13,3,4,20,320,25,1,9,3,0,0,2,8,0,0,0
36358,2787,Glazed Kreme Filled,340,20,5,6,5,140,38,1,23,3,2,0,8,6,0,0,0
36359,2787,Glazed Blueberry,330,17,4,5,20,290,43,1,28,3,0,0,2,8,0,0,0
36360,2787,Glazed Cinnamon,210,12,3,4,5,100,24,1,12,2,2,0,6,4,0,0,0
36361,2787,Cinnamon Bun,260,16,4,5,5,125,28,1,13,3,2,0,8,6,0,0,0
36362,2787,Cinnamon Twist,230,9,2.5,0,5,85,33,1,19,3,2,0,8,6,0,0,0
36363,2787,Maple Iced Glazed,240,12,3,4,5,100,32,1,20,2,2,0,6,4,0,0,0
36364,2787,Glazed Sour Cream,340,18,4.5,6,20,310,42,1,27,3,0,0,2,8,0,0,0
36365,2787,Sugar,200,12,3,4,5,95,21,0,10,2,2,0,6,4,0,0,0
36366,2787,Powdered Blueberry Filled,290,16,4,5,5,140,33,1,14,3,2,0,8,6,0,0,0
36367,2787,Powdered Strawberry Filled,290,16,4,5,5,135,33,1,13,3,2,0,8,6,0,0,0
36368,2787,Powdered Cake,280,14,3,4,20,320,37,1,19,3,0,0,4,8,0,0,0
36369,2787,Chocolate Iced Cake,270,14,3,4,20,320,36,1,20,3,0,0,2,8,0,0,0
36370,2787,Chocolate Glazed Cruller,290,15,3.5,4.5,15,240,37,1,25,2,0,0,2,6,0,0,0
36371,2787,Dulce De Leche,290,18,4.5,5,5,160,30,1,12,3,2,0,10,8,0,0,0
36372,2787,Apple Fritter,400,24,6,7,10,135,43,2,19,5,2,0,15,10,0,0,0
36373,2788,Original Glazed Doughnut Holes,200,11,3,3.5,5,95,24,1,13,2,2,0,6,4,0,0,0
36374,2788,Glazed Blueberry Doughnut Holes,220,12,3,3.5,20,270,26,1,12,2,0,0,2,8,0,0,0
36375,2788,Glazed Cake Doughnut Holes,210,11,2.5,3,15,230,28,1,17,2,0,0,2,6,0,0,0
36376,2788,Glazed Chocolate Cake Doughnut Holes,210,11,2.5,3,15,230,28,1,17,2,0,0,2,6,0,0,0
36377,2789,Frozen Rasberry Blend,430,13,10,0,25,160,74,0,56,5,0,4,4,0,0,0,0
36378,2789,Frozen Rasberry Blend,590,19,15,0,35,230,99,0,75,6,0,6,6,0,0,0,0
36379,2789,Frozen Rasberry Blend,710,22,17,0,35,270,123,0,93,8,0,6,6,0,0,0,0
36380,2789,Frozen Original Kreme Blend,440,15,12,0,25,200,70,0,41,6,0,4,4,0,0,0,0
36381,2789,Frozen Original Kreme Blend,600,21,17,0,35,270,95,0,56,8,0,6,6,0,0,0,0
36382,2789,Frozen Original Kreme Blend,730,24,20,0,35,330,117,0,69,10,0,6,6,0,0,0,0
36383,2789,Frozen Original Kreme Blend,440,15,12,0,25,210,70,0,39,6,0,4,4,0,0,0,0
36384,2789,Frozen Original Kreme Blend,600,21,17,0,35,280,95,0,53,8,0,6,6,0,0,0,0
36385,2789,Frozen Original Kreme Blend,730,24,20,0,35,340,117,0,64,10,0,6,6,0,0,0,0
36386,2789,Frozen Latte Blend,440,16,13,0,25,210,69,0,41,8,0,4,4,0,0,0,0
36387,2789,Frozen Latte Blend,610,22,18,0,35,280,92,0,56,10,0,6,6,0,0,0,0
36388,2789,Frozen Latte Blend,740,26,21,0,35,340,114,0,69,13,0,6,6,0,0,0,0
36389,2789,Frozen Double Chocolate Blend,440,16,11,0,25,210,69,0,46,7,0,4,4,0,0,0,0
36390,2789,Frozen Double Chocolate Blend,610,22,16,0,35,280,93,0,62,9,0,6,6,0,0,0,0
36391,2789,Frozen Double Chocolate Blend,740,26,18,0,35,340,116,0,76,11,0,6,6,0,0,0,0
36392,2789,Frozen Double Chocolate Blend,440,16,10,0,25,210,69,0,46,6,0,4,4,0,0,0,0
36393,2789,Frozen Double Chocolate Blend,600,22,15,0,35,280,93,0,62,8,0,6,4,0,0,0,0
36394,2789,Frozen Double Chocolate Blend,730,26,17,0,35,340,116,0,76,10,0,6,6,0,0,0,0
36395,2789,Reduced Calorie Double Chocolate Blend,99,1,0,0,2,104,38,0.5,8,3,1,0,11,3,0,0,0
36396,2789,Reduced Calorie Latte Blend,99,1,0,0,2,117,34,0,11,4,1,0,16,1,0,0,0
