food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
44888,3306,Wild Herb,322,2.5,0.4,0,0,799,6.8,1.1,0.3,1,0,0,0,0,0,0,0
44889,3306,Extra Hot,249,4.5,0.6,0,0,"2,588",4.7,0.7,3.5,1,0,0,0,0,0,0,0
44890,3306,Hot,278,4.5,0.6,0,0,"2,220",6.7,0.6,5.7,1,0,0,0,0,0,0,0
44891,3306,Medium,320,5.5,0.7,0,0,"2,344",7,0.8,6.2,1,0,0,0,0,0,0,0
44892,3306,Sweet,572,2.1,0.5,0,0,613,30.7,0.1,27,1,0,0,0,0,0,0,0
44893,3306,Garlic,318,2.6,0.5,0,0,777,8.6,1.6,2,1,0,0,0,0,0,0,0
44894,3307,Lemon & Herb,415,8.1,1.5,0,0,874,6.9,0.5,6.4,1,0,0,0,0,0,0,0
44895,3307,Curry Coconut,462,8.2,3.4,0,0,"1,145",9.8,0.5,7.8,1,0,0,0,0,0,0,0
44896,3307,Coconut Lime & Coriander,568,10,4.8,0,0,497,12.1,1.2,1.9,1,0,0,0,0,0,0,0
44897,3307,Spicy Tagine,452,6,3.9,0,0,674,12.8,0.1,10.6,1,0,0,0,0,0,0,0
44898,3307,Sweet Chilli Satay,420,6.6,2.1,0,0,"1,093",10.5,0.5,9.5,1,0,0,0,0,0,0,0
44899,3307,Roasted Reds,399,5.3,1.1,0,0,"1,100",12.6,0.4,1.1,1,0,0,0,0,0,0,0
44900,3307,Tomato & Olive,216,2.6,0.4,0,0,500,7.2,0.6,0.4,1,0,0,0,0,0,0,0
44901,3307,Spicy Tomato,172,2.7,0.5,0,0,600,4.2,0.3,3.2,1,0,0,0,0,0,0,0
44902,3308,Sun-dried Tomato,503,9.4,1.1,0,0,"1,644",8.6,0.3,5.6,1,0,0,0,0,0,0,0
44903,3308,Roasted Red Pepper,561,7.6,0.9,0,0,"1,333",17.1,0.1,7,1,0,0,0,0,0,0,0
44904,3308,Hot Peri-Peri,392,4.8,0.7,0,0,"1,544",12.8,0.3,10.9,1,0,0,0,0,0,0,0
44905,3308,Lemon & Rosemary,616,13,1.5,0,0,814,11.8,0.2,8.2,1,0,0,0,0,0,0,0
44906,3308,Lime & Coriander,904,18.1,2.2,0,0,"1,404",14.3,0.1,9.5,1,0,0,0,0,0,0,0
44907,3308,Portuguese BBQ,358,2.2,0.2,0,0,629,17.4,0.2,10.4,1,0,0,0,0,0,0,0
44908,3308,Smokey BBQ,278,1,0.1,0,0,"1,947",14.2,0.1,8.1,1,0,0,0,0,0,0,0
44909,3308,"Honey, Soy & Ginger",419,3.1,0.3,0,2,"1,424",17.9,0.2,15.8,1.2,0,0,0,0,0,0,0
44910,3309,Peri-Peri Ketchup,416,0.6,0.1,0,0,1.8,19.7,0.6,19.7,1.2,0,0,0,0,0,0,0
44911,3309,Peri-Peri BBQ Sauce,671,0.8,0.1,0,0,1.1,35.6,0.7,35.6,1.7,0,0,0,0,0,0,0
44912,3309,Perinaise,"1,424",32.4,2.2,0,0,1.1,9,0.1,9,0.2,0,0,0,0,0,0,0
44913,3309,Peri-Peri Salsa,336,0.3,0,0,0,1.1,14.5,0.9,14.5,1,0,0,0,0,0,0,0
