food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
5526,384,Biscuit,260,11,2.5,3,0,670,38,1,5,4,0,0,6,10,0,0,0
5527,384,Chick-fil-A Chick-n-Minis™,270,11,3.5,1,50,640,28,1,6,14,0,2,2,8,0,0,0
5528,384,Chick-fil-A Chick-n-Minis™,360,15,4.5,1,65,860,37,2,8,19,0,2,4,10,0,0,0
5529,384,Chick-fil-A Chicken Biscuit,420,19,4.5,3,35,"1,270",44,2,5,18,0,0,6,15,0,0,0
5530,384,"Bacon, Egg & Cheese Biscuit",470,26,9,3,270,"1,190",39,1,5,18,0,15,15,15,0,0,0
5531,384,Sausage Biscuit,490,32,10,3,45,"1,060",38,2,5,13,0,0,8,15,0,0,0
5532,384,Biscuit and Gravy,330,15,4,4,5,950,43,1,5,5,0,0,6,10,0,0,0
5533,384,Breakfast Burrito (chicken),410,16,7,0,210,940,42,4,4,22,15,10,30,20,0,0,0
5534,384,Breakfast Burrito (sausage),450,23,9,0,215,860,39,3,3,20,15,10,30,20,0,0,0
5535,384,Sunflower Multigrain Bagel,220,3,0,0,0,350,41,2,6,7,0,0,4,15,0,0,0
5536,384,"Chicken, Egg & Cheese on Sunflower Multigrain Bagel",500,20,7,0,290,"1,260",49,3,8,31,0,15,15,20,0,0,0
5537,384,Chick-fil-A Chicken Platter,630,32,8,4,520,"1,650",51,2,7,32,0,15,10,25,0,0,0
5538,384,Chick-fil-A Bacon Platter,550,30,9,3.5,500,"1,260",44,1,6,23,0,15,10,20,0,0,0
5539,384,Chick-fil-A Sausage Platter,710,46,14,3.5,530,"1,450",44,2,6,27,0,20,15,25,0,0,0
5540,384,Hash Browns,260,17,3.5,1,5,380,25,3,0,2,0,0,2,4,0,0,0
5541,384,Bacon,30,2,0.5,0,10,115,0,0,0,2,0,0,0,0,0,0,0
5542,384,Cheese,50,4.5,3,0,15,230,1,0,0,3,0,4,8,0,0,0,0
5543,384,Egg,90,6,1.5,0,240,70,1,0,1,7,0,8,2,4,0,0,0
5544,384,Sausage,220,20,7,0,45,400,0,0,0,9,0,0,2,2,0,0,0
5545,384,Cinnamon Cluster,380,13,5,2,35,250,60,2,30,6,0,2,6,15,0,0,0
5546,385,Chick-fil-A Chicken Sandwich,410,16,3.5,0,60,"1,300",38,1,5,28,0,4,10,15,0,0,0
5547,385,Chick-fil-A Chicken Sandwich,390,13,3,0,65,"1,370",38,3,6,30,4,2,10,15,0,0,0
5548,385,Chick-fil-A Chicken Sandwich,380,13,3,0,60,"1,290",37,1,5,28,0,4,10,15,0,0,0
5549,385,Chick-fil-A Chicken Deluxe Sandwich,420,16,3.5,0,60,"1,300",39,2,5,28,4,4,10,15,0,0,0
5550,385,Chick-fil-A Chicken Deluxe Sandwich,390,13,3,0,65,"1,370",40,4,7,30,10,10,10,20,0,0,0
5551,385,Chicken,230,11,2.5,0,60,990,10,0,2,23,0,4,4,6,0,0,0
5552,385,Chick-fil-A Chargrilled Chicken Sandwich,270,3.5,1,0,65,940,33,3,7,28,10,6,8,15,0,0,0
5553,385,Chargrilled Chicken,100,1.5,0,0,65,610,1,0,2,21,2,2,0,4,0,0,0
5554,385,Chick-fil-A Chargrilled Chicken Club Sandwich,380,11,5,0,90,"1,240",33,3,7,35,10,10,25,15,0,0,0
5555,385,Chick-fil-A Chicken Salad Sandwich,350,15,3,0,65,880,32,5,6,20,0,0,15,10,0,0,0
