food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
7158,549,Blue Crab,90,1,0,0,80,310,0,0,0,19,0,0,9,4,0,0,0
7159,549,Catfish,120,5,1,0,60,65,0,0,0,19,0,0,3,5,0,0,0
7160,549,Clam,130,2,0,0,60,95,4,0,0,22,0,10,8,130,0,0,0
7161,549,Cod,90,1,0,0,50,60,0,0,0,19,2,0,0,2,0,0,0
7162,549,Flounder,100,1,0,0,50,85,0,0,0,20,0,0,2,2,0,0,0
7163,549,Haddock,90,1,0,0,60,70,0,0,0,20,0,0,4,6,0,0,0
7164,549,Halibut,120,2,0,0,30,60,0,0,0,22,0,3,5,5,0,0,0
7165,549,Lobster,100,1,0,0,100,320,1,0,0,20,0,0,5,2,0,0,0
7166,549,Mackerel,190,12,3,0,60,95,0,0,0,21,0,7,0,9,0,0,0
7167,549,Mahi Mahi,90,1,0,0,80,95,0,0,0,20,0,0,0,10,0,0,0
7168,549,Ocean Perch,100,2,0,0,50,80,0,0,0,20,0,0,10,6,0,0,0
7169,549,Orange Roughy,70,1,0,0,20,70,0,0,0,16,0,0,0,0,0,0,0
7170,549,Oyster,120,4,1,0,90,190,7,0,0,12,0,0,8,65,0,0,0
7171,549,Pollock,100,1,0,0,80,90,0,0,0,21,0,0,0,0,0,0,0
7172,549,Rainbow Trout,130,4,1,0,60,30,0,0,0,22,0,0,7,10,0,0,0
7173,549,Rockfish,100,2,0,0,40,65,0,0,0,20,0,4,0,3,0,0,0
7174,549,Salmon,150,5,0,0,50,50,0,0,0,22,2,0,0,4,0,0,0
7175,549,Salmon,200,11.5,3,0,75,55,0,0,0,22,0,0,0,0,0,0,0
7176,549,Salmon,190,9.5,1.5,0,70,55,0,0,0,24,0,0,0,0,0,0,0
7177,549,Salmon,165,7,1,0,45,55,0,0,0,24,0,0,0,0,0,0,0
7178,549,Salmon,135,4,1,0,85,55,0,0,0,23,0,0,0,0,0,0,0
7179,549,Salmon,130,4,0.5,0,60,75,0,0,0,22,0,0,0,0,0,0,0
7180,549,Salmon,110,7,1.5,0,40,270,0,0,0,13,0,0,0,0,0,0,0
7181,549,Salmon,90,5,1,0,40,270,0,0,0,12,0,0,0,0,0,0,0
7182,549,Scallops,150,1,0,0,60,275,2,0,0,29,3,0,2,0,0,0,0
7183,549,Shrimp,110,2,0,0,160,155,0,0,0,22,3,0,3,15,0,0,0
7184,549,Sole,100,1,0,0,60,90,0,0,0,21,0,0,2,2,0,0,0
7185,549,Swordfish,130,4,1,0,40,110,0,0,0,21,0,4,0,5,0,0,0
7186,549,Tuna,120,1,0,0,50,40,0,0,0,25,0,0,0,4,0,0,0
7187,550,Apple,80,0,0,0,0,0,22,5,16,1,8,2,0,2,0,0,0
7188,550,Avocado,140,13,2.5,0,0,0,8,8,1,3,10,0,0,0,0,0,0
7189,550,Banana,110,0,0,0,0,0,29,4,21,1,15,0,0,2,0,0,0
7190,550,Blackberries,70,0.5,0,0,0,0,18,8,11,1,50,4,4,4,0,0,0
7191,550,Blueberries,80,0.5,0,0,0,10,20,4,17,1,30,2,0,0,0,0,0
7192,550,Boysenberries,70,0.5,0,0,0,0,18,8,11,1,50,4,4,4,0,0,0
7193,550,Cantaloupe,100,1,0,0,0,25,23,2,21,2,190,180,4,4,0,0,0
7194,550,Casaba,45,0,0,0,0,20,11,1,9,2,45,0,0,4,0,0,0
7195,550,Cherimoya,250,1,0,0,0,0,66,6,1,4,40,0,8,8,0,0,0
7196,550,Cherries,90,0.5,0,0,0,0,22,3,19,2,15,2,2,2,0,0,0
7197,550,Coconut,180,17,15,0,0,10,8,5,3,2,2,0,0,6,0,0,0
7198,550,Cranberries (whole),45,0,0,0,0,0,12,4,8,1,20,0,0,0,0,0,0
7199,550,Figs,45,0,0,0,0,0,12,2,10,1,2,0,2,0,0,0,0
7200,550,Grapes,60,0.5,0,0,0,0,16,1,15,1,15,0,0,0,0,0,0
7201,550,Grapefruit,60,0,0,0,0,0,16,6,10,1,110,15,2,0,0,0,0
7202,550,Guava,45,0.5,0,0,0,0,11,5,5,1,280,15,0,0,0,0,0
7203,550,Honeydew,130,0,0,0,0,90,33,3,30,3,110,6,0,6,0,0,0
7204,550,Kiwifruit,50,0.5,0,0,0,0,12,2,8,1,120,0,4,2,0,0,0
7205,550,Kumquat,50,0,0,0,0,0,12,5,1,1,45,4,4,0,0,0,0
7206,550,Lemon,15,0,0,0,0,5,5,1,1,1,40,0,2,0,0,0,0
7207,550,Lime,20,0,0,0,0,0,7,2,1,1,35,0,0,0,0,0,0
7208,550,Loquat,10,0,0,0,0,0,2,0,1,1,0,6,0,0,0,0,0
7209,550,Mandarin Orange,45,0,0,0,0,0,11,2,9,1,50,20,0,0,0,0,0
7210,550,Mango,130,0.5,0,0,0,0,35,4,31,1,100,160,2,0,0,0,0
7211,550,Nectarine,70,0.5,0,0,0,0,16,2,12,1,15,4,0,2,0,0,0
7212,550,Orange,45,0,0,0,0,0,14,5,9,1,80,0,4,0,0,0,0
7213,550,Orange (Valencia),50,0,0,0,0,0,12,3,9,1,80,4,4,0,0,0,0
7214,550,Papaya,120,0,0,0,0,10,30,5,18,2,310,15,8,0,0,0,0
7215,550,Passion Fruit,50,0,0,0,0,15,13,6,7,1,25,8,0,4,0,0,0
7216,550,Peach,40,0,0,0,0,0,11,2,9,1,10,2,0,0,0,0,0
7217,550,Pear,100,1,0,0,0,0,25,4,17,1,10,0,2,0,0,0,0
7218,550,Persimmon,30,0,0,0,0,0,8,0,0,0,30,0,0,4,0,0,0
7219,550,Pineapple,80,0.5,0,0,0,0,19,2,17,1,40,0,0,4,0,0,0
7220,550,Plantain,220,0.5,0,0,0,5,57,4,10,2,50,40,0,6,0,0,0
7221,550,Plum,40,0.5,0,0,0,0,10,1,5,1,10,4,0,0,0,0,0
7222,550,Pomegranate,100,0,0,0,0,0,26,1,21,1,15,0,0,2,0,0,0
7223,550,Prickly Pear,40,0.5,0,0,0,5,10,4,1,1,25,0,6,0,0,0,0
7224,550,Quince,50,0,0,0,0,0,14,2,12,1,25,0,0,4,0,0,0
7225,550,Raspberries,60,0.5,0,0,0,0,14,8,0,0,50,4,2,4,0,0,0
7226,550,Strawberries,30,0,0,0,0,0,8,3,5,1,110,0,0,2,0,0,0
7227,550,Tamarind,140,0,0,0,0,15,38,3,1,2,4,0,4,10,0,0,0
7228,550,Tangerine,50,0.5,0,0,0,0,15,3,12,1,50,0,4,0,0,0,0
7229,550,Tangelo,60,0,0,0,0,0,15,3,12,1,120,6,6,0,0,0,0
7230,550,Tomatillo,20,0.5,0,0,0,0,4,1,1,1,15,0,0,2,0,0,0
7231,550,Tomato,35,0.5,0,0,0,0,7,1,4,1,40,20,2,2,0,0,0
7232,550,Tomato (Cherry),20,0,0,0,0,10,4,1,2,1,15,10,0,2,0,0,0
7233,550,Tomato (Roma),40,0.5,0,0,0,15,9,2,5,2,60,25,0,4,0,0,0
7234,550,Watermelon,80,0,0,0,0,10,27,2,25,1,25,20,2,4,0,0,0
7235,551,Artichokes,60,0,0,0,0,120,13,7,3,4,25,4,6,10,0,0,0
7236,551,Asparagus,25,0,0,0,0,0,4,2,2,2,15,10,2,2,0,0,0
7237,551,Beets,35,0,0,0,0,65,8,2,5,1,6,0,0,4,0,0,0
7238,551,Bell Pepper (Green),30,0,0,0,0,0,8,2,3,1,180,15,0,4,0,0,0
7239,551,Bell Pepper (Red),30,0,0,0,0,0,8,2,3,1,380,140,0,4,0,0,0
7240,551,Black Radish,10,0,0,0,0,10,2,1,0,1,20,0,0,0,0,0,0
7241,551,Bok Choy,50,1,0,0,0,270,9,4,2,6,320,250,45,20,0,0,0
7242,551,Broccoli,25,0,0,0,0,25,5,3,2,3,140,30,4,4,0,0,0
7243,551,Brussels Sprouts,40,0,0,0,0,25,9,4,2,3,130,15,4,8,0,0,0
7244,551,Burdock,110,0,0,0,0,10,27,5,1,2,8,0,6,6,0,0,0
7245,551,Cabbage (Green),60,0,0,0,0,50,12,5,0,2,170,0,10,4,0,0,0
