food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
7381,569,Meat Lover's Breakfast,"1,027",60,18,0,497,"3,462",72,3,0,44,0,0,0,0,0,0,0
7382,569,Original Grand Slam,665,49,15,0,515,"1,106",33,2,0,26,0,0,0,0,0,0,0
7383,569,All American Slam,990,78,27,0.5,830,"2,310",20,3,0,48,0,0,0,0,0,0,0
7384,569,French Slam,"1,196",83,29,0,789,"2,302",74,3,0,48,0,0,0,0,0,0,0
7385,569,Grnd Slam Slugger™,"1,190",57,16,0,480,"3,250",124,5,0,40,0,0,0,0,0,0,0
7386,569,Meat Lover's Scramble,"1,241",72,21,0,557,"5,575",71,3,0,49,0,0,0,0,0,0,0
7387,569,Heartland Scramble,"1,111",66,20,0,550,"3,197",79,8,0,42,0,0,0,0,0,0,0
7388,569,Denver Scramble,"1,090",50,15,0,551,"3,680",106,5,0,50,0,0,0,0,0,0,0
7389,569,Meat Lover's Bowl,"1,414",99,30,0,547,"2,984",86,5,0,49,0,0,0,0,0,0,0
7390,569,Country Sausage Bowl,"1,427",99,29,0,537,"3,543",94,6,0,45,0,0,0,0,0,0,0
7391,569,Ham & Mushroom Bowl,"1,304",90,26,0,540,"2,632",86,5,0,43,0,0,0,0,0,0,0
7392,569,Lumberjack Slam,"1,170",57,16,0,590,"4,200",109,5,0,52,0,0,0,0,0,0,0
7393,569,Ultimate Omelette,619,50,16,0.5,770,"1,214",8,1,0,36,0,0,0,0,0,0,0
7394,569,Veggie-Cheese Omelette,494,39,12,0,747,719,11,2,0,30,0,0,0,0,0,0,0
7395,569,Veggie-Cheese Ome,346,22,7,0,23,849,11,3,0,25,0,0,0,0,0,0,0
7396,569,Ham & Cheddar Omelette,595,47,16,0.5,783,"1,200",5,0,0,41,0,0,0,0,0,0,0
7397,569,Ham & Cheddar Ome,468,32,11,0,58,"1,351",5,0,0,37,0,0,0,0,0,0,0
7398,569,Country Fried Steak & Eggs,464,34,9,0,527,828,13,6,0,29,0,0,0,0,0,0,0
7399,569,T-bone Steak & Eggs,991,77,31,0,657,"1,003",1,1,0,73,0,0,0,0,0,0,0
7400,569,Steakhouse Strip & Eggs,662,48,24,0,624,895,3,1,0,57,0,0,0,0,0,0,0
7401,569,Moons Over My Hammy,841,51,22,0,580,"2,699",42,2,0,54,0,0,0,0,0,0,0
7402,569,Belgian Waffle Platter,619,45,22,0,274,"1,683",28,0,0,22,0,0,0,0,0,0,0
7403,569,Fabulous French Toast Platter,"1,261",79,30,0,422,"2,495",110,3,0,44,0,0,0,0,0,0,0
7404,569,Fruit Filled Pancakes-Cherry,909,55,15,0,530,"2,432",71,3,0,35,0,0,0,0,0,0,0
7405,569,Fruit Filled Pancakes-Blueberry,921,55,15,0,530,"2,430",74,4,0,34,0,0,0,0,0,0,0
