menu_id,menu_name,restaurant_id
3306,Peri Peri Sauces,427
3307,Cooking & Pasta Sauces,427
3308,Marinades,427
3309,Table & Dipping Sauces,427
2998,Sandwiches,389
2999,Chili & Beans,389
3000,Soups,389
3001,Beverages,389
3002,Donuts,389
3003,Timbits,389
3004,Cookies,389
3005,Muffins,389
3006,Bagels,389
3007,Cream Cheese,389
3008,Specialty Baked Goods,389
3009,Yogurt & Berries,389
2987,Sandwiches,388
2988,Soups,388
2989,Beverages,388
2990,Donuts,388
2991,Timbits,388
2992,Cookies,388
2993,Muffins,388
2994,Bagels,388
2995,Cream Cheese,388
2996,Specialty Baked Goods,388
2997,Yogurt & Berries,388
2900,Pretzels,376
2901,Sauces,376
2896,Pretzels,375
2897,Pretzels - Bites,375
2898,Toppings,375
2899,Beverages,375
2872,Caffè Latte,371
2873,Caffè Latte with Vanilla,371
2874,Cappuccinos,371
2875,Caffè Mocha,371
2876,White Chocolate Mocha,371
2877,Latte Macchiato,371
2828,Fries,368
2791,At A Glance,363
2790,Doughnuts,362
2787,Doughnuts,361
2788,Doughnuts Holes,361
2789,Frozen Blends,361
2784,Low Fat Flavours,358
2773,Smoothies,355
2774,Blends,355
2775,Juices,355
2776,Boosts,355
2777,Baked Goods,355
2705,Bagels,346
2706,Cream Cheese,346
2707,Cookies,346
2708,Danish,346
2709,Muffins,346
2710,Other Bakery,346
2711,Coffee,346
2712,Coolatta,346
2713,Flavored Coffee,346
2714,Hot Espresso Drinks,346
2715,Iced Coffee,346
2716,Iced Espresso Drinks,346
2717,Other Beverages,346
2718,Smoothie,346
2719,Tea,346
2720,Breakfast Sandwiches,346
2721,Paninis,346
2722,Donuts,346
2723,Fancies,346
2724,Munchkins,346
2725,Sticks,346
2672,Cold Stone Originals™,341
2673,"Ice Cream (in waffle cone or bowl, no mix-ins)",341
2674,"Ice Cream (cups, no mix-ins)",341
2675,Mix-Ins and Waffle Products,341
2676,Shakes and Smoothies,341
2677,"Sinless Sorbet™ (in waffle cone or bowl, no mix-ins)",341
2678,"Sinless Sorbet™ (cups, no mix-ins)",341
2679,Signature Cakes,341
2575,Pretzels & More,327
2576,Beverages,327
2577,Dipping Sauces,327
2379,6-inch Sandwiches with 6 grams of fat or less,307
2380,6-inch Sandwiches,307
2381,Deli Style Sandwiches,307
2382,Wraps,307
2383,Salads,307
2384,Salad Dressing,307
2385,Breads & Wrap,307
2386,Sandwich Condiments,307
2387,Cookies,307
2388,Donuts and Muffins,307
2371,Subway 6-inch Sandwiches with 6 grams of Fat or Less,306
2372,Subway 6-inch Sandwiches,306
2373,Deli Style Sandwiches,306
2374,Wraps,306
2375,Salads,306
2376,Cookies,306
2377,Breads,306
2378,Sandwich & Salad Condiments,306
2353,6-inch Sandwiches with 6 grams of Fat or Less,305
2354,6-inch Sandwiches,305
2355,Deli Style Sandwiches,305
2356,Wraps,305
2357,Salads,305
2358,Salad Dressing,305
2359,6-inch Limited Time Offer/Regional Subs,305
2360,Breakfast Sandwiches on Deli Round,305
2361,Breakfast Sandwiches on 6-inch Bread,305
2362,Breakfast Sandwiches on Wrap,305
2363,Cookies & Desserts,305
2364,Fruizle Express,305
2365,Soup,305
2366,Breads,305
2367,Sandwich Condiments (amount on 6-inch sub),305
2368,Vegetables,305
2369,"Cheese (amount on 6-inch sub, wrap or salad)",305
2370,Individual Meats (amount on 6-inch sub or salad),305
2338,Sandwiches,304
2339,Carb Conscious,304
2340,6-inch Double Meat (DM),304
2341,"6"" Limited Time Offer/Regional Subs",304
2342,Breakfast Sandwiches,304
2343,Breakfast Wraps,304
2344,"Individual Meats (amount on 6"" sub or salad)",304
2345,Salads,304
2346,Soup,304
2347,Breads,304
2348,Condiments & Extras,304
2349,Select Sauce (Bottled),304
2350,Vegetables,304
2351,Cookies,304
2352,Fruizle Express,304
2279,Quiznos Subs,296
2257,Build Your Own Pita,291
2256,Build Your Own Pita,290
2242,Freshly Baked Breads,288
2243,Baked Soufflés & Bagels,288
2244,Soups,288
2245,Sandwiches,288
2246,Hand-Tossed Salads,288
2247,Salad Dressings,288
2248,Pastries & Sweets,288
2249,Beverages,288
1900,Soups,245
1901,Entree Salads (with dressing),245
1902,Side Salads,245
1903,Salad Dressings,245
1904,Sandwiches,245
1905,Panini,245
1906,Pasta,245
1907,Breakfast,245
1773,Roast Beef Sandwiches,235
1774,Other Sandwiches,235
1775,Market Fresh Sandwiches,235
1776,Market Fresh Wraps,235
1777,Market Fresh Salads,235
1778,Light Salad Dressings,235
1779,Sides,235
1780,Sidekickers,235
1781,Soups (October to May Only),235
1782,Desserts,235
1783,Sauces / Condiments,235
1784,Shakes,235
1785,Beverages,235
1750,Breakfast,234
1751,Market Fresh™ Sandwiches & Wraps,234
1752,Arby's Subs,234
1753,Arby's Roast Beef Sandwiches & Melts,234
1754,Sides & Sidekickers,234
1755,Arby's Chicken Naturals™,234
1756,T.J. Cinnamons,234
1757,Kids Meal,234
1758,Other,234
1759,Shakes & Desserts,234
1760,Market Fresh™ Salads,234
1761,Beverages,234
1762,Breakfast Components,234
1763,Market Fresh™ Sandwiches & Wraps Components,234
1764,Arby's Subs Components,234
1765,Arby's Roast Beef Sandwiches & Melts Components,234
1766,Sides & Sidekickers Components,234
1767,Arby's Chicken Naturals™ Components,234
1768,T.J. Cinnamons Components,234
1769,Kids Meal Components,234
1770,Other Components,234
1771,Shakes & Desserts Components,234
1772,Market Fresh™ Salads Components,234
1727,Pizzas,228
1728,Appetizers & Sandwiches,228
1729,Salads,228
1698,Small Pizzas,224
1699,Medium Pizzas,224
1700,Large Pizzas,224
1701,X-Large Pizzas,224
1702,Square Pizzas,224
1703,"18"" Pizzas",224
1704,Pizzas,224
1705,Sandwiches,224
1706,Chicken,224
1707,Salads and Breads,224
1708,Add-Ons,224
1669,"12"" Medium Pan Pizzas",222
1670,"12"" Medium Thin 'N Crispy Pizzas",222
1671,"12"" Medium Hand-Tossed Style Pizzas",222
1672,"14"" Large Pan Pizzas",222
1673,"14"" Large Thin 'N Crispy Pizzas",222
1674,"14"" Large Hand-Tossed Style Pizzas",222
1675,"14"" Large Stuffed Crust Pizzas",222
1676,"16"" Full House XL Pizza™",222
1677,"6"" Personal Pan Pizzas",222
1678,"12"" Fit n' Delicious Pizza™",222
1679,"14"" Fit n' Delicious Pizza™",222
