food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
9574,741,The Original Double,510,32,12,0,90,380,29,0,0,28,0,0,4,20,0,0,0
9575,741,The Original Double,580,38,16,0,105,730,29,0,0,32,0,6,14,20,0,0,0
9576,741,The Original Single,330,17,6,0,45,345,29,0,0,16,0,0,4,14,0,0,0
9577,741,The Original Single,400,23,10,0,60,695,29,0,0,20,0,6,14,14,0,0,0
9578,741,Triple Steakburger™ Sandwich,690,47,18,0,135,415,29,0,0,40,0,0,4,26,0,0,0
9579,741,Triple Steakburger™ Sandwich,830,59,26,0,165,"1,115",29,0,0,48,0,12,24,26,0,0,0
9580,741,The Philadelphia,848,52,16.5,0,100,"1,057",63,4,0,37,84,9,13,24,0,0,0
9581,741,Bacon'n Cheese Double,697,48,19.5,0,120,983,32,0,0,37,11,10,14,21,0,0,0
9582,741,The Mushroom 'n Swiss,812,46.5,19.5,0,135,893,56,3,0,46,2,11,40,26,0,0,0
9583,741,Deluxe Cheddar 'n Bacon,809,49,18,0,115,"1,304",57,2,0,41,0,2,12,22,0,0,0
9584,741,Grilled Mushroom 'n Onion,561,27,11.5,0,99,"1,285",42,2,0,36,12,12,11,22,0,0,0
9585,741,Hickory Smoked Thick Bacon,664,34.5,15.5,0,131,"1,647",40,1,0,46,13,10,10,23,0,0,0
9586,741,Three Cheese,677,36.5,18.5,0,143,"1,296",39,1,0,45,12,17,43,22,0,0,0
9587,741,BBQ Bacon Ranch,651,31,11.5,0,119,"1,690",47,2,0,42,13,5,1,24,0,0,0
9588,741,Portobello & Swiss,560,24.5,11.5,0,108,951,42,2,0,39,10,9,19,23,0,0,0
9589,741,Frisco Melt,"1,173",93,28,0,143,"1,345",43,1,0,40,0,11,33,22,0,0,0
9590,741,Patty Melt,"1,013",83,27,0,120,"1,111",31,3,0,38,5,12,25,17,0,0,0
9591,741,Chicken Melt,988,69,16,0,111,"1,606",46,1.5,0,45,11,9,23,15,0,0,0
9592,741,Pepperjack Melt,"1,122",91,26.5,0,130,"1,957",39,2,0,37,20,12,28,23,0,0,0
9593,741,All-American Melt,"1,298",103,31,0,150,"1,889",53,0.5,0,43,11,17,28,25,0,0,0
9594,741,Turkey Melt,950,70,16,0,98,"1,928",46,1.5,0,31,11,9,23,14,0,0,0
