food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
10820,861,Bacon ButterBurger Deluxe,"1,100",69,23,0,238,"1,912",59,3,11,61,3,12,30,45,0,0,0
10821,861,Bacon Butterburger Deluxe,586,39,12,0,103,"1,048",34,1,5,26,3,7,12,20,0,0,0
10822,861,Bacon ButterBurger Deluxe,764,51,18,0,170,"1,332",34,1,5,43,2,11,19,30,0,0,0
10823,861,ButterBurger Deluxe,992,58,19,0,215,"1,487",61,3,11,56,4,12,30,45,0,0,0
10824,861,ButterBurger Deluxe,684,44,15,0,155,"1,042",34,1,5,39,2,11,19,30,0,0,0
10825,861,ButterBurger Deluxe,507,32,10,0,88,838,34,1,5,22,3,7,12,20,0,0,0
10826,861,"ButterBurger, Cheese",580,32,14,0,145,"1,230",37,1,9,38,1,10,19,30,0,0,0
10827,861,"ButterBurger, Cheese",823,40,17,0,200,"1,561",62,2,15,55,2,11,30,45,0,0,0
10828,861,"ButterBurger, Cheese",398,20,8,0,78,945,36,1,8,22,1,6,12,20,0,0,0
10829,861,ButterBurger,480,23,9,0,120,720,36,1,9,33,1,4,4,30,0,0,0
10830,861,ButterBurger,723,31,12,0,175,"1,051",62,2,15,50,2,5,15,45,0,0,0
10831,861,"Butterburger, Low Carb",443,32,14,0,150,862,1,0,0,37,1,9,15,20,0,0,0
10832,861,ButterBurger,346,15,6,0,65,690,35,1,8,19,0,3,4,20,0,0,0
10833,862,Cheddar Burger,751,37,18,0,160,970,56,2,10,46,0,12,45,35,0,0,0
10834,862,Cheddar Burger with Bacon,871,48,22,0,183,"1,405",56,2,10,52,0,12,45,35,0,0,0
10835,862,Grilled Rueben Melt,578,28,13,0,107,"1,920",43,2,6,39,2,16,50,22,0,0,0
10836,862,Mushroom & Swiss Burger,743,35,17,0,160,804,60,2,10,48,0,16,55,35,0,0,0
10837,862,Mushroom & Swiss Burger,783,42,19,0,215,674,39,1,2,60,0,17,48,40,0,0,0
10838,862,Sourdough Melt,668,36,17,0,160,811,37,1,3,44,2,12,38,30,0,0,0
10839,862,Sourdough Melt,801,44,20,0,215,841,38,2,4,58,3,13,38,40,0,0,0
10840,862,Wisconsin Swiss Melt,638,34,16,0,160,641,36,2,3,46,2,16,50,30,0,0,0
10841,862,Wisconsin Swiss Melt,771,42,19,0,215,671,37,3,4,60,3,17,50,40,0,0,0
10842,863,Beef Frank w/Bun,412,25,10,0,40,"1,471",38,1,14,12,2,0,10,14,0,0,0
10843,863,Beef Pot Roast Sandwich,307,10,3,0,32,820,33,1,6,26,0,0,4,25,0,0,0
10844,863,Blackened Chicken Sandwich,370,8,4,0,65,"1,387",48,2,6,31,2,9,15,21,0,0,0
10845,863,Cheese Dog w/Bun,481,34,15,0,70,"1,270",27,1,5,19,0,6,30,14,0,0,0
