food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
18526,1437,Individual,155,5,2,0,8,342,22,1,0,6,1,3,7,8,0,0,0
18527,1437,Individual Pepperoni,172,6,2,0,11,403,22,1,0,6,1,3,7,8,0,0,0
18528,1437,Small,192,6,2,0,10,422,27,1,0,7,1,3,10,10,0,0,0
18529,1437,Small Pepperoni,216,8,3,0,15,505,27,1,0,8,1,3,9,10,0,0,0
18530,1437,Small Pepperoni & Sausage,230,9,3,0,18,544,27,1,0,8,1,3,9,11,0,0,0
18531,1437,Small Canandian Bacon & Pineapple,199,6,2,0,11,473,28,1,0,8,1,3,9,10,0,0,0
18532,1437,Small Vegetarian,194,6,2,0,9,427,30,2,0,7,9,7,11,10,0,0,0
18533,1437,Small Super Combo,220,8,3,0,15,502,29,1,0,8,7,3,9,11,0,0,0
18534,1437,Small All Meat Combo,227,9,3,0,18,545,27,1,0,9,1,3,9,11,0,0,0
18535,1437,Small BBQ Chicken,214,6,2,0,16,496,34,2,0,9,14,3,10,11,0,0,0
18536,1437,Medium,237,7,3,0,14,542,33,2,0,9,2,5,13,12,0,0,0
18537,1437,Medium Pepperoni,263,10,4,0,19,632,33,2,0,10,2,5,12,12,0,0,0
18538,1437,Medium Pepperoni & Sausage,281,11,4,0,23,686,33,2,0,11,2,5,12,13,0,0,0
18539,1437,Medium Can Bacon & Pineapple,245,7,3,0,15,608,34,2,0,10,2,5,12,12,0,0,0
18540,1437,Medium Vegetarian,237,7,3,0,13,543,36,2,0,9,12,10,15,12,0,0,0
18541,1437,Medium Super Combo,270,10,4,0,20,639,35,2,0,10,8,5,12,13,0,0,0
18542,1437,Medium All Meat Combo,292,12,4,0,26,738,33,2,0,12,2,5,12,13,0,0,0
18543,1437,Medium BBQ Chicken,269,8,3,0,21,651,43,2,0,11,20,4,14,14,0,0,0
18544,1437,Large,262,8,3,0,15,596,36,2,0,10,2,5,14,13,0,0,0
18545,1437,Large Pepperoni,289,10,4,0,21,692,36,2,0,11,2,5,14,14,0,0,0
18546,1437,Large Pepperoni & Sausage,313,13,5,0,26,761,37,2,0,12,2,5,14,14,0,0,0
18547,1437,Large Canadian Bacon & Pineapple,272,8,3,0,17,678,38,2,0,11,2,5,14,14,0,0,0
18548,1437,Large Vegetarian,264,8,3,0,14,603,40,2,0,10,14,12,18,14,0,0,0
18549,1437,Large Super Combo,305,12,4,0,23,723,39,2,0,12,9,6,14,15,0,0,0
18550,1437,Large All Meat Combo,332,14,5,0,31,848,37,2,0,14,2,5,14,15,0,0,0
18551,1437,Large BBQ Chicken,296,8,3,0,24,715,47,2,0,12,22,5,16,15,0,0,0
18552,1438,Ham & Cheese,622,28,7,0,68,"2,296",70,5,0,33,22,21,39,11,0,0,0
18553,1438,Italian Sub,729,40,12,0,83,"2,503",69,5,0,33,22,21,41,12,0,0,0
18554,1438,Grilled Chicken Sub,652,31,9,0,98,"1,936",70,5,0,36,22,21,39,9,0,0,0
18555,1438,Hot Dog,170,17,6,0,40,830,27,1,0,12,0,0,2,12,0,0,0
18556,1438,Hot Dog,335,30,16,0,85,"1,100",28,1,0,22,0,9,32,12,0,0,0
18557,1439,French fries,241,9,0,0,0,411,37,3,0,4,14,0,0,3,0,0,0
18558,1439,French fries,482,17,0,0,0,822,74,6,0,9,28,0,0,6,0,0,0
18559,1440,Buffalo Wings,660,45,10,0,330,"1,680",3,0,0,60,18,18,6,18,0,0,0
18560,1440,Italian Bread Sticks,193,8,1,0,2,370,27,1,0,4,1,3,2,10,0,0,0
18561,1440,Mozzarella Sticks,105,6,2,0,10,256,7,0,0,3,1,3,6,1,0,0,0
18562,1441,Thousand Island,150,15,2.5,0,20,250,5,0,5,0,0,0,0,0,0,0,0
18563,1441,Blue Cheese,150,16,3,0,20,310,1,0,1,1,0,0,0,0,0,0,0
18564,1441,Olive Oil & Vinegar,100,11,1.5,0,0,180,1,0,1,0,2,0,0,0,0,0,0
18565,1441,Lite Ranch,80,8,105,0,5,250,1,0,1,1,0,0,0,0,0,0,0
18566,1441,French,35,0,0,0,0,200,8,0,7,0,0,0,0,0,0,0,0
18567,1442,2% Low Fat Milk,120,5,3,0,20,115,11,0,11,0,4,10,30,0,0,0,0
18568,1442,Apple Juice,110,0,0,0,0,25,28,0,26,0,0,0,0,0,0,0,0
18569,1442,Coke Cola Classic,99,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0
18570,1442,Diet Coke,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
18571,1442,Sprite,97,0,0,0,0,22,26,0,0,0,0,0,0,0,0,0,0
18572,1442,Hi-C Flashin Fruit Punch,104,0,0,0,0,9,28,0,0,0,60,0,0,0,0,0,0
18573,1442,Hi-C Poppin' Pink Lemonade,96,0,0,0,0,41,24,0,0,0,60,0,0,0,0,0,0
18574,1443,Apple Pie Pizza,194,2,0,0,0,220,40,1,0,3,0,0,1,8,0,0,0
18575,1443,Cinnamon Sticks,197,5,1,0,1,264,33,1,0,4,0,1,1,11,0,0,0
18576,1443,White Birthday Cake,310,13,4,0,30,360,44,1,29,3,0,2,4,2,0,0,0
18577,1443,Chocolate/White Birthday Cake,310,13,4,0,30,490,45,1,29,3,0,2,2,8,0,0,0
