food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
27034,1997,Hot Grilled Italian Chicken Panini,690,27,100,5,95,"1,460",68,3,4,47,40,40,35,8,0,0,0
27035,1997,Hot Grilled Country Grilled Cheese Panini,540,20,11,5,50,440,49,3,2,27,10,20,50,6,0,0,0
27036,1997,Hot Grilled Cheese Steak Panini,690,29,10,0.5,75,"1,890",69,2,2,40,2,10,35,15,0,0,0
27037,1997,Tasty Turkey on Asiago Bagel,600,18,10,5,85,710,81,3,6,36,20,20,15,30,0,0,0
27038,1997,Veg Out on Sesame Bagel,500,13,7,0,30,690,82,4,10,17,25,20,15,60,0,0,0
27039,1997,Club Mex™ on Challah,730,38,11,0,100,"1,390",60,3,10,36,30,10,20,20,0,0,0
27040,1997,Einstein Club on Grilled Rustic White,670,29,6,0,80,640,54,4,4,31,15,8,8,6,0,0,0
27041,1998,Bros Bistro™,810,69,13,0,25,530,37,4,23,15,50,70,25,15,0,0,0
27042,1998,Chicken Chipotle,630,40,9,0,80,"1,410",38,7,19,31,100,110,25,10,0,0,0
27043,1998,Asiago Chicken Caesar,740,54,11,1,90,"1,400",25,3,6,33,50,70,25,15,0,0,0
27044,1998,Broccoli Sharp Cheddar,380,23,14,0,80,"1,500",43,1,10,7,10,310,8,10,0,0,0
27045,1998,Crab Chowder,370,25,14,0,85,"1,120",25,1,2,13,20,20,20,35,0,0,0
27046,1999,Spicy Elmo Egg Sandwich,650,35,17,0,460,"1,060",50,2,10,31,15,25,35,25,0,0,0
27047,1999,Turkey Sausage & Cheddar Hot Bagel Omelet Sandwich,660,23,10,0,445,"1,170",74,2,7,42,0,20,35,30,0,0,0
27048,1999,Black Forest Ham & Swiss Hot Bagel Omelet Sandwich,660,21,10,0,445,"1,350",76,2,9,41,0,20,40,30,0,0,0
27049,1999,Smoked Bacon & Cheddar Hot Bagel Omelet Sandwich,680,26,13,0,440,"1,090",75,2,7,38,0,20,35,30,0,0,0
27050,1999,Cheddar Omelet Hot Bagel Sandwich,590,20,9,0,415,830,74,2,7,31,0,20,35,30,0,0,0
27051,1999,Santa Fe Omelet Hot Bagel Sandwich,720,28,14,0.5,460,"1,420",78,2,8,43,8,25,35,30,0,0,0
27052,1999,Steak & Egg Ranchero Hot Grilled Panini Omelet Sandwich,690,35,12,0.5,445,"1,630",67,2,4,46,20,20,60,20,0,0,0
27053,1999,Spinach and Bacon Panini Hot Grilled Panini Omelet Sandwich,930,49,20,0,490,"1,920",72,3,5,55,10,50,50,15,0,0,0
27054,1999,Lox & Bagel,660,27,19,0,85,"1,150",79,3,10,26,10,15,6,20,0,0,0
27055,2000,Plain,320,1,0,0,0,520,71,2,4,11,0,0,2,20,0,0,0
27056,2000,Wild Blueberry,350,1,0,0,0,510,77,3,9,11,0,0,2,20,0,0,0
27057,2000,Cinnamon Raisin Swirl,350,1,0,0,0,490,78,2,14,11,0,0,4,20,0,0,0
27058,2000,Cinnamon Sugar,500,21,4.5,2,0,730,72,2,4,11,0,20,2,20,0,0,0
27059,2000,Cranberry,350,1,0,0,0,490,78,3,13,10,0,0,2,20,0,0,0
27060,2000,Sesame Dipd,380,5,1,0,0,680,75,3,3,11,0,0,2,25,0,0,0
27061,2000,Potato,350,4.5,1,0,0,590,69,2,5,10,0,0,0,20,0,0,0
27062,2000,Poppy Dip,350,2,0,0,0,680,74,2,3,12,0,0,6,20,0,0,0
27063,2000,Asiago,360,3,1.5,0,5,570,71,2,4,13,0,0,10,20,0,0,0
27064,2000,Chocolate Chip,370,3,2,0,0,500,76,3,10,11,0,0,2,20,0,0,0
27065,2000,Honey Whole Wheat,320,1,0,0,0,470,71,3,11,10,0,0,2,20,0,0,0
27066,2000,Everything,340,2,0,0,0,820,75,2,5,13,2,0,2,26,0,0,0
27067,2000,Egg,340,3,1,0,35,510,69,2,5,11,0,0,2,20,0,0,0
27068,2000,Sun-Dried Tomato,320,1,0,0,0,520,69,3,3,11,0,0,2,20,0,0,0
27069,2000,Chopped Onion,330,1,0,0,0,500,71,2,4,11,0,0,4,20,0,0,0
27070,2000,Jalapeño,310,1,0,0,0,490,68,2,10,0,2,0,20,0,0,0,0
27071,2000,Pumpernickel,320,1,0,0,0,730,68,3,3,11,0,0,4,20,0,0,0
27072,2000,Powerbagels (Original Fruit & Nut),410,5,0.5,0,0,310,81,4,18,13,0,0,4,25,0,0,0
27073,2000,Top Shelf Bagels (Dutch Apple),390,6,1.5,0,0,620,77,4,15,10,2,0,4,20,0,0,0
27074,2000,Shmears - Plain,70,7,4.5,0,20,65,1,0,1,1,0,4,0,0,0,0,0
27075,2000,Shmears - Onion & Chive,70,6,4,0,20,60,3,0,1,1,0,4,2,0,0,0,0
27076,2000,Shmears - Smoked Salmon,60,6,3.5,0,20,120,2,0,1,1,0,2,0,0,0,0,0
27077,2000,25% Reduced Fat Shmears - Reduced Fat Plain,60,5,3.5,0,15,85,2,0,1,1,0,4,0,0,0,0,0
27078,2000,25% Reduced Fat Shmears - Maple Raisin & Walnut,60,5,3.5,0,15,45,4,0,3,1,0,2,0,0,0,0,0
27079,2000,25% Reduced Fat Shmears - Garden Veggie,60,5,3.5,0,15,100,3,0,1,1,2,8,2,0,0,0,0
27080,2000,25% Reduced Fat Shmears - Honey Almond,70,5,3,0,15,45,6,0,4,1,0,4,2,0,0,0,0
27081,2000,25% Reduced Fat Shmears - Strawberry,70,5,3.5,0,15,50,5,0,4,1,0,2,0,0,0,0,0
27082,2000,25% Reduced Fat Shmears - Jalapeño Salsa,60,5,3,0,15,110,3,0,1,1,0,4,0,0,0,0,0
27083,2000,25% Reduced Fat Shmears - Sun-dried Tomato,60,5,3.5,0,15,100,2,0,1,1,0,2,0,0,0,0,0
27084,2000,25% Reduced Fat Shmears - Blueberry,70,5,3.5,0,15,50,6,0,5,1,0,2,0,0,0,0,0
27085,2000,Chopped Garlic Bagel,380,3,1,0,0,680,79,4,3,13,0,0,4,30,0,0,0
27086,2000,Good Grains Bagel,280,4.5,0.5,0,0,400,53,9,4,13,0,0,4,20,0,0,0
27087,2000,Marble Rye Bagel,340,2,0,0,0,690,73,3,3,11,0,0,4,20,0,0,0
27088,2000,Orange Mango Bagel,380,1.5,0,0,0,480,84,2,17,10,0,0,2,20,0,0,0
27089,2000,Salt Bagel,330,1,0,0,0,"1,790",73,2,3,11,0,0,3,20,0,0,0
27090,2001,Green Chile Bagel,360,6,3,0,15,750,64,2,6,17,15,6,30,20,0,0,0
27091,2001,Spicy Nacho Bagel,450,9,5,0,20,890,77,3,5,17,2,10,20,20,0,0,0
27092,2001,Six-Cheese Bagel,390,6,3,0,15,650,72,2,4,16,0,4,20,20,0,0,0
27093,2001,Roasted Red Pepper & Pesto Bagel,410,7,3.5,0,15,710,73,2,5,17,15,8,20,20,0,0,0
27094,2001,Spinach Florentine Bagel,410,7,4,0,20,620,72,3,5,17,6,20,25,20,0,0,0
27095,2002,Artisan Wheat Bread,120,2,0,0,0,360,22,2,2,6,0,0,2,7,0,0,0
27096,2002,Challah Roll,270,5,1,0,0,400,51,2,7,9,15,0,2,20,0,0,0
27097,2002,Ciabatta Bread,310,2.5,0,0,0,680,63,2,1,11,0,0,2,4,0,0,0
27098,2002,Rustic White Bread,140,0,0,0,0,330,28,1,0,5,0,0,4,2,0,0,0
27099,2003,Whipped Pumpkin,70,5,3.5,0,15,50,5,0,4,0,0,2,0,0,0,0,0
27100,2004,Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27101,2004,Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27102,2004,Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27103,2004,"Coffee, Regular Decaffeinated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27104,2005,Café Latte,200,8,5,0,30,210,20,0,19,13,6,15,50,2,0,0,0
27105,2005,Café Latte,250,9,6,0,35,250,24,0,23,16,8,20,60,2,0,0,0
27106,2005,Cafe Latte Nonfat,100,0.5,0,0,5,150,14,0,14,10,4,10,35,2,0,0,0
27107,2005,Cafe Latte Nonfat,140,1,0.5,0,5,210,20,0,19,14,6,15,50,2,0,0,0
27108,2005,Café Latte Nonfat,180,1,0.5,0,10,260,25,0,23,16,8,20,60,2,0,0,0
27109,2005,Cappuccino,190,7,4.5,0,30,190,19,0,18,12,6,15,45,2,0,0,0
27110,2005,Cappuccino,230,9,5,0,35,240,23,0,22,15,8,20,60,2,0,0,0
27111,2005,Cappuccino (Nonfat Milk),130,1,0,0,5,200,19,0,18,13,6,15,45,2,0,0,0
27112,2005,Cappuccino (Nonfat Milk),170,1,0.5,0,10,250,23,0,22,15,8,20,60,2,0,0,0
27113,2005,Cappuccino (Nonfat Milk),60,0,0,0,5,95,9,0,8,6,2,10,20,0,0,0,0
27114,2005,Mocha,390,20,12,0,75,170,42,1,38,9,4,10,35,4,0,0,0
27115,2005,Mocha,470,22,13,0,85,230,56,1,50,13,6,15,45,6,0,0,0
27116,2005,Low Fat Mocha,240,10,6,0,40,135,29,0,27,7,4,8,25,4,0,0,0
27117,2005,Low Fat Mocha,350,15,9,0,60,180,42,1,38,10,4,10,35,4,0,0,0
27118,2005,Low Fat Mocha,420,16,9,0,65,240,56,1,50,13,6,15,45,6,0,0,0
27119,2005,Chai 2% Milk,210,2,1.5,0,10,75,41,0,41,4,2,4,15,0,0,0,0
27120,2005,Chai 2% Milk,270,3.5,2,0,15,110,53,0,53,6,2,6,20,0,0,0,0
27121,2005,Chai 2% Milk,340,4,2.5,0,15,130,67,0,67,7,4,8,25,0,0,0,0
27122,2005,Chai Skim Milk,190,0,0,0,0,75,41,0,41,4,2,4,15,0,0,0,0
27123,2005,Chai Skim Milk,250,0,0,0,5,110,53,0,53,6,2,6,20,0,0,0,0
27124,2005,Chai Skim Milk,310,0,0,0,5,130,67,0,67,7,4,8,25,0,0,0,0
27125,2005,"Espresso, Regular",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27126,2005,Americano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27127,2005,Americano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27128,2006,SpontaneiTEA,50,0,0,0,20,0,12,0,12,0,0,0,0,0,0,0,0
27129,2006,Java Drinks-Cappuccino,90,3.5,2,0,15,95,9,0,8,6,2,10,20,0,0,0,0
27130,2006,Java Drinks-Cafe Latte,140,5,3.5,0,20,140,13,0,13,9,4,15,30,0,0,0,0
27131,2006,Java Drinks-Cafe Mocha,230,6,4.5,0,15,135,34,0,32,8,2,10,25,4,0,0,0
27132,2007,Iced Americano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27133,2007,Iced Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27134,2007,Iced Latte,120,4.5,3,0,20,125,12,0,11,8,4,15,30,0,0,0,0
27135,2007,Iced Mocha,210,6,4,0,15,120,33,0,31,7,2,10,20,4,0,0,0
27136,2007,Iced Non Fat Latte,90,0,0,0,5,130,12,0,11,8,4,15,30,0,0,0,0
27137,2007,Low Fat Iced Mocha,180,2.5,2,0,5,115,32,0,30,7,2,10,20,4,0,0,0
27138,2007,Low Fat Mocha,190,2.5,2,0,5,130,34,0,31,8,2,10,25,4,0,0,0
27139,2007,Iced caramel coffee Island oasis,520,12,9,0,50,120,100,0,84,7,90,20,20,0,0,0,0
27140,2007,Iced caramel coffee Island oasis,720,16,13,0,70,160,142,0,120,9,130,25,30,0,0,0,0
27141,2007,Iced coffee Island oasis,430,17,13,0,70,140,68,0,47,9,130,25,25,0,0,0,0
27142,2007,Iced coffee Island oasis,560,21,16,0,95,180,89,0,62,12,170,35,35,0,0,0,0
27143,2007,Iced Mocha Island oasis,520,12,9,0,50,150,101,0,76,6,90,20,20,4,0,0,0
27144,2007,Iced Mocha Island oasis,730,16,13,0,70,220,144,0,108,9,130,25,25,6,0,0,0
27145,2008,Light Whipped Cream,30,2,1.5,0,10,0,2,0,1,0,0,0,0,0,0,0,0
27146,2008,On Top Reduced Fat Topping,20,1.5,1,0,0,5,2,0,2,0,0,0,0,0,0,0,0
27147,2008,"Syrup, Almond",90,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0
27148,2008,"Syrup, Vanilla",80,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0
27149,2008,"Syrup, Hazelnut",80,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0
27150,2008,"Syrup, Prem., Sugar Free Caramel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27151,2008,"Syrup, Premium, Sugar Free Vanilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27152,2008,"Syrup, Raspberry",80,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0
27153,2008,"Syrup, Blackberry",77,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0
27154,2009,Apple Juice Box,120,0,0,0,0,30,29,0,29,0,0,0,0,0,0,0,0
27155,2009,Cherry Coca Cola,104,0,0,0,0,4,28,0,28,0,0,0,0,0,0,0,0
27156,2009,Coca-Cola,99,0,0,0,0,6,27,0,27,0,0,0,0,0,0,0,0
27157,2009,Spring Water (.5L),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27158,2009,Diet Coca-Cola,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
27159,2009,Fresca,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27160,2009,Fresh Squeezed Orange Juice,143,0,0,0,0,71,34,2,31,1,300,15,4,6,0,0,0
27161,2009,Fruit Punch Juice Box,90,0,0,0,0,25,25,0,25,0,100,0,0,0,0,0,0
27162,2009,Half & Half,40,3,2,0,15,25,1,0,1,1,0,2,4,0,0,0,0
27163,2009,Hi C Fruit Punch,104,0,0,0,0,9,28,0,28,0,0,0,0,0,0,0,0
27164,2009,Hi C Grape,106,0,0,0,0,8,28,0,28,0,0,0,0,0,0,0,0
27165,2009,Hi C Light Fruit Punch,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27166,2009,Hi C Light Lemon Lime,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27167,2009,Hi C Light Orange,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27168,2009,Hi C Light Pink Lemonade,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27169,2009,Hi C Orange,110,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0
27170,2009,Hi C Pink Lemonade,96,0,0,0,0,41,25,0,25,0,0,0,0,0,0,0,0
27171,2009,"Iced Tea, Unsweetened",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
27172,2009,Low-fat 2% Milk,120,5,3,0,20,125,12,0,11,8,4,10,30,0,0,0,0
27173,2009,Lemonade Blackberry,310,0,0,0,0,0,76,0,75,2,70,0,0,4,0,0,0
27174,2009,Minute Maid Country Style OJ,100,0,0,0,0,25,27,0,24,0,130,0,2,0,0,0,0
27175,2009,Minute Maid Orange,106,0,0,0,0,0,29,0,29,0,0,0,0,0,0,0,0
27176,2009,Minute Maid Orig. Style Lemonade,96,0,0,0,0,48,26,0,26,0,0,0,0,0,0,0,0
27177,2009,Minute Maid Premium Orange Juice,110,0,0,0,0,25,27,0,24,0,2,80,10,15,0,0,0
27178,2009,Mr. Pibb,97,0,0,0,0,14,26,0,26,0,0,0,0,0,0,0,0
27179,2009,Mel's Cool Cap,290,16,11,0,40,55,32,0,25,4,0,15,10,0,0,0,0
27180,2009,Nestea Peach Iced Tea,78,0,0,0,0,9,21,0,21,0,0,0,0,0,0,0,0
27181,2009,Nestea Raspberry Iced Tea,78,0,0,0,0,9,21,0,21,0,0,0,0,0,0,0,0
27182,2009,Nestea Southern Style Iced Tea,123,0,0,0,0,14,33,0,33,0,0,0,0,0,0,0,0
27183,2009,Nestea Unsweetened Iced Tea,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
27184,2009,"Root Beer, Stewart's",160,0,0,0,0,30,40,0,40,0,0,0,0,0,0,0,0
27185,2009,Spontaneitea Large,50,0,0,0,20,0,12,0,12,0,0,0,0,0,0,0,0
27186,2009,Skim Milk,80,0,0,0,5,140,15,0,13,7,2,10,25,0,0,0,0
27187,2009,Sprite,97,0,0,0,0,22,26,0,26,0,0,0,0,0,0,0,0
27188,2010,Ancho Lime Mayo,115,12.5,2,0,6,110,0,0,0,0,0,0,0,0,0,0,0
27189,2010,Ancho Lime Salsa,20,1,0,0,0,670,3,0,0,0,15,6,0,0,0,0,0
27190,2010,Gorgonzola Mayo,115,7.5,3.5,0,15,70,0,0,0,1,0,0,2,0,0,0,0
27191,2010,Deli Mustard,4,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
27192,2010,French Dijon Mustard,10,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
27193,2010,Grained Dijon Mustard,5,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0
27194,2010,Honey Mustard,15,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0
27195,2010,Whole Kosher Pickle,5,0,0,0,0,650,1,1,0,0,0,2,0,0,0,0,0
27196,2010,Yellow Mustard,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
27197,2011,Cinnamon Apple Spice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
