food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
,0,Strawberry Sunshine,710 mL,290,1.9,1,0,5,47,69,5,48,4,16,76,9,7,1,0,0
,0,Very Berry,710 mL,280,1.9,0.9,0,5,52,62,6,49,3,1,43,8,5,1,0,0
,0,The Original,710 mL,330,1.8,1,0,5,48,80,5,62,5,1,221,9,8,1,0,0
,0,Mango Hurricane,710 mL,310,1.7,0.9,0,5,45,70,5,54,3,18,104,9,6,1,0,0
,0,Tropical Tornado,710 ml,340,1.7,1,0,5,46,80,4,61,4,18,85,9,3,1,0,0
,0,Breezy Banana,710 mL,350,1.8,1,0,5,44,80,5,60,4,20,63,8,4,1,0,0
,0,"SPIRIT
Orangesicle",710 mL,270,1.8,1.2,0,12,122,64,2,60,3,0,157,10,3,1,0,0
,0,Funky Monkey,710 mL,400,7,2,0,12,304,86,6,67,4,3,22,50,11,1,0,1
,0,Canadian Colada,710 mL,370,7.5,5.7,0,18,149,76,5,61,5,2,58,18,6,1,0,1
,0,Berry Cream Sensation,710 mL,260,3,1.5,0,11,97,57,5,44,4,0,66,13,6,1,0,1
,0,Pineapple Freeze,710 ml,310,3.4,2.1,0,18,147,70,4,58,5,1,79,18,6,1,0,1
,0,Pea(NOT) Butter 2.0,710 mL,590,27,5,0,5,260,74,6,55,25,0,15,17,13,1,0,1
,0,Spinach Is In It,710 mL,330,3,1,0,0,131,77,13,64,3,40,296,22,54,1,1,1
,0,Tropi-Kale,710 mL,290,0.8,0.2,0,0,28,72,9,52,3,26,158,7,8,1,1,1
,0,UnBEETable,710 mL,280,0.7,0.1,0,0,52,68,11,48,4,24,164,8,17,1,1,1
,0,Coco Crush,710 mL,290,2,1.5,0,0,49,65,5,47,2,2,53,2,3,1,1,1
,0,Wildberry Basil,710 mL,190,0.5,0,0,0,55,47,6,34,2,3,134,6,10,1,0,1
,0,Bananas-A-Whey,710 mL,350,3,1,0,14,290,55,3,45,28,1,26,23,2,1,0,1
,0,Ripped Berry,710 mL,390,3.4,1.4,0,15,305,65,3,59,28,1,18,26,4,1,0,1
,0,Strawberry Storm,710 mL,280,2.8,0.9,0,10,230,40,4,33,23,1,74,9,7,1,0,1
,0,Banango Burst,710 mL,330,2.5,0.2,0,0,25,56,6,39,23,15,90,1,3,1,0,1
,0,Nuttin' Better,710 mL,650,27,5,0,5,260,68,6,52,39,0,14,17,13,1,0,1
,0,Brazilian Thunder,710 mL,390,3.6,1.3,0,5,40,88,4,69,4,1300,36,9,7,1,0,1
,0,Pomegranate Passion,710 mL,280,2.4,1.5,0,11,97,63,5,48,4,1,89,13,9,1,0,1
,0,Matcha Monsoon,710 mL,270,3,2,0,18,320,52,2,50,4,0,22,47,12,1,0,1
,0,High Impact Acai,710 mL,460,6,2.1,0,19,325,76,3,70,26,9,27,22,6,1,0,1
,0,Mind Over Matcha,710 mL,350,6,2,0,12,343,48,5,44,24,0,48,38,6,1,0,1
,0,Pomegranate Punch,710 mL,350,2,0.7,0,7,200,52,4,41,22,1,30,6,4,1,0,1
,1,BBQ Chicken Panini,146 g,320,7.6,2.9,0.1,35,777,40,2,12,20,8,28,12,16,0,0,0
,1,Chipotle Chicken Panini,146 g,330,11.4,3.5,0.2,37,700,35,2,8,20,5,29,12,17,0,0,0
,1,Pesto Chicken Panini,145 g,380,10,3,0.1,35,750,32,2,4,21,6,25,10,15,0,0,0
,1,Chipotle Steak Panini,146 g,330,13.5,5,0.3,43,667,35,2,9,18,5,30,13,19,0,0,0
,1,Chicken Quesadilla Wrap,178 g,350,11,3,0,46,854,34,3,2,26,1,16,22,21,0,0,0
,1,Chipotle Chicken Wrap,181 g,390,15,4,0,48,870,38,3,5,26,5,19,22,21,0,0,0
,1,Chipotle Steak Wrap,167 g,400,18,5,0.2,40,1110,36,4,6,24,0,19,13,14,0,0,0
,1,Tuna Wrap,214 g,360,14,4,0.1,35,690,32,4,0,26,4,15,25,25,0,0,0
,1,Hummus & Veggie,207 g,340,14,1.5,0,0,740,41,7,2,10,0,0,6,31,0,0,0
,1,Egg White & Cheese,149 g,290,11,3.5,0.1,15,740,32,4,1,16,0,0,15,8,0,0,0
