food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
,,Never Ending Pasta,,,,,,,,,,,,0,0,0,0,0,0,0
,,Angel Hair,1 Serving,430,3.5,0,0,0,10,84,4,3,15,0,0,0,0,1,1,0
,,Cavatappi,1 Serving,430,4,0.5,0,0,10,83,3,4,15,0,0,0,0,1,1,0
,,Fettucine,1 Serving,430,3.5,0,0,0,10,84,4,3,15,0,0,0,0,1,1,0
,,Rigatoni,1 Serving,440,6,0.5,0,0,10,83,3,5,14,0,0,0,0,1,1,0
,,Rotini,1 Serving,430,6,0.5,0,0,0,87,2,0,8,0,0,0,0,1,1,0
,,Spaghetti,1 Serving,430,4,0,0,0,15,83,3,5,15,0,0,0,0,1,1,0
,,Whole grain linguine,1 Serving,350,6,0,0,0,10,57,14,2,17,0,0,0,0,1,1,0
,,Alfredo Sauce,1 Serving,660,65,41,1.5,215,900,8,0,2,11,0,0,0,0,0,0,0
,,Creamy Mushroom Sauce,1 Serving,650,65,40,1.5,185,820,10,0,5,8,0,0,0,0,0,0,0
,,Creamy Spinach & Artichoke Sauce,1 Serving,820,82,51,3,235,1070,14,2,6,11,0,0,0,0,0,0,0
,,Five Cheese Marinara Sayce,1 Serving,330,26,13,0,70,810,16,2,9,8,0,0,0,0,0,0,0
,,Marinara Sauce,1 Serving,140,7,0.5,0,0,720,17,2,10,2,0,0,0,0,1,1,0
,,Meat sauce,1 Serving,300,19,7,0,60,1040,19,2,13,14,0,0,0,0,0,0,0
,,Chicken Fritta Topping,1 Serving,240,12,1.5,0,50,730,14,1,0,20,0,0,0,0,0,0,0
,,Garden Veggies Topping,1 Serving,35,0,0,0,0,35,6,2,3,2,0,0,0,0,1,1,0
,,Grilled Chicken Topping,1 Serving,310,10,2,0,145,470,1,1,0,54,0,0,0,0,0,0,0
,,Italian sausage (2),2,470,39,14,0,115,1140,2,0,2,27,0,0,0,0,0,0,0
,,Meatballs (2),2,320,27,13,1.5,45,710,5,2,0,16,0,0,0,0,0,0,0
,,Shrimp Fritta Topping,1 Serving,160,10,1,0,75,440,11,0,0,9,0,0,0,0,0,0,0
,,Early Dinner Duos,,,,,,,,,,,,0,0,0,0,0,0,0
,,Cheese Ravioli with Marinara,1 Serving,780,39,20,0,125,2140,68,5,11,41,0,0,0,0,0,0,0
,,Cheese Ravioli with Meat Sauce,1 Serving,860,46,24,0,170,2190,65,4,11,50,0,0,0,0,0,0,0
,,Chicken Parmigiana,1 Serving,660,29,7,0,75,1740,65,5,12,35,0,0,0,0,0,0,0
,,Chicken Piccata,1 Serving,370,22,10,0,105,1250,12,3,3,32,0,0,0,0,0,0,0
,,Eggplant Parmigiana,1 Serving,1060,54,12,0,45,1990,113,11,23,30,0,0,0,0,0,0,0
